"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101613100","50/93/3328/121/111/2884/8282/","0.5047255925873412/0.21721282769243208/6.151632627651396E-29/0.12544382362351844/0.15261775609670844/3.7145572626315E-25/4.006974702422253E-71/","0/","no"
"1","100478800","152/50/22425/22425/50/246/249/","0.06216698780894408/0.4593553604218256/1.3368704575438659E-191/1.3368704575438659E-191/0.4593553604218256/0.00984227478149397/0.009280016565910773/","1/4/7/","no"
"2","104234000","1468/1468/50/1468/1468/64/1484/","4.779817353821156E-13/4.779817353821156E-13/0.5681997184811558/4.779817353821156E-13/4.779817353821156E-13/0.431800281516583/3.4927061785957293E-13/","2/8/9/","no"
"3","99244500","69/68/206/79/68/231/1484/","0.2422968264299869/0.24583394401485986/0.03327000644242465/0.20960734479964094/0.24583394401485986/0.02315793399750678/3.007210197212151E-10/","0/1/3/4/7/8/","no"
"4","104702900","914/68/22425/22425/50/68/69/","1.419025958381456E-8/0.22707503660511627/9.405682960451968E-192/9.405682960451968E-192/0.3231839601160511/0.22707503660511627/0.2226659524834568/","4/","no"
"5","103232600","2884/2884/97/22844/8449/50/2951/","5.264745293387878E-25/5.264745293387878E-25/0.28463838348688203/5.62909991557762E-195/2.1487474242372935E-72/0.7153616165131179/1.4152515326610586E-25/","5/","no"
"6","100610300","502/50/3989/3989/50/50/50/","3.539022697783965E-5/0.24999115244325554/7.162466358751654E-35/7.162466358751654E-35/0.24999115244325554/0.24999115244325554/0.24999115244325554/","1/4/5/6/7/","no"
"7","105077400","50/914/3328/425/1029/2884/8282/","0.9993596566299937/4.387956920906324E-8/1.218026896351551E-28/6.402948881799399E-4/4.602257100135603E-9/7.354845335831638E-25/7.933833595023863E-71/","0/","no"
"8","102854700","1484/1484/206/160/1551/1484/231/","1.1196290755904577E-4/1.1196290755904577E-4/0.31365716358634976/0.4173874134010945/7.384871181859457E-5/1.1196290755904577E-4/0.26854568557806013/","3/8/","no"
"9","105077800","1468/1468/50/3989/1468/54/3989/","4.3709676202260306E-13/4.3709676202260306E-13/0.5195977978776143/1.4886933841487072E-34/4.3709676202260306E-13/0.4804022021210744/1.4886933841487072E-34/","2/5/8/9/","no"
"0","102043300","93/8282/58441/58441/22425/8282/8282/","1.0/1.46405832932127E-38/2.650029714815576E-270/2.650029714815576E-270/6.64843564921239E-104/1.46405832932127E-38/1.46405832932127E-38/","0/","no"
"1","104190300","152/50/210/58441/79/320/320/","0.07711054812387133/0.5697741659065769/0.02472921109250889/0.0/0.3226643539835026/0.0028608604467701363/0.0028608604467701363/","1/7/","no"
"2","102537800","3989/3989/50/1535/4028/60/1535/","1.572541207610731E-34/1.572541207610731E-34/0.5488631556011001/1.2411681844345664E-13/7.319720359929474E-35/0.4511368443986518/1.2411681844345664E-13/","2/5/8/9/","no"
"3","105164600","157/89/565/60/79/592/3989/","0.07969815377994893/0.24298519590196163/9.923364397131486E-5/0.3908838102490747/0.28626986375747376/6.374266756967138E-5/4.1611301481570084E-29/","3/8/","no"
"4","111524600","914/50/22425/22844/97/93/97/","1.9723622488618434E-8/0.4492066114827325/1.3073343645607686E-191/3.534756185409606E-195/0.17873679659708186/0.19331977559948138/0.17873679659708186/","1/7/","no"
"5","101042000","2884/50/22425/22425/50/50/51/","1.8488642795666035E-25/0.25121947331530364/7.311287103007794E-192/7.311287103007794E-192/0.25121947331530364/0.25121947331530364/0.24634158005408907/","1/4/5/6/7/","no"
"6","104470100","214/214/1535/1535/214/214/1535/","0.2495982861857485/0.2495982861857485/5.35618419002007E-4/5.35618419002007E-4/0.2495982861857485/0.2495982861857485/5.35618419002007E-4/","0/1/4/5/7/","no"
"7","102732900","354/181/210/58441/157/181/8282/","0.0772493893124018/0.23089792258030392/0.19217980447995336/1.6757204582620775E-161/0.26877496104703696/0.23089792258030392/1.2479792964330377E-23/","1/4/5/7/","no"
"8","100847700","508/508/508/80/508/571/1484/","0.0049601544917616865/0.0049601544917616865/0.0049601544917616865/0.977880529960431/0.0049601544917616865/0.0022788230647231155/2.9007799140216818E-8/","3/8/","no"
"9","106405700","3989/3989/50/1535/4028/60/1535/","1.572541207610731E-34/1.572541207610731E-34/0.5488631556011001/1.2411681844345664E-13/7.319720359929474E-35/0.4511368443986518/1.2411681844345664E-13/","2/5/8/9/","no"
"0","102173100","246/119/1275/167/138/977/3041/","0.12084317224430839/0.34821738041234657/2.2811137117511487E-5/0.2334170904684139/0.2972262424141761/2.7330331437383596E-4/9.263600334009314E-12/","1/4/7/","no"
"1","102496000","914/54/1239/22844/97/113/97/","7.171986406359877E-8/0.4430226209163325/1.9469458953190183E-10/4.904391464810069E-181/0.20271532398608952/0.15154665919692972/0.20271532398608952/","1/7/","no"
"2","102457900","185/185/185/206/185/4028/195/","0.1712066868960816/0.1712066868960816/0.1712066868960816/0.15292816420119096/0.1712066868960816/1.8215300783654372E-10/0.16224508803232968/","0/1/2/3/4/6/7/8/9/","no"
"3","101796100","50/157/1468/68/157/10317/1484/","0.5133438414443061/0.06298563353060066/4.318358003364773E-13/0.36068489149374533/0.06298563353060066/1.9097136152827315E-88/3.1555087910802217E-13/","0/","no"
"4","103764000","122/109/210/58441/50/914/914/","0.15216968527203562/0.1963498877712137/0.02709925000975565/0.0/0.6243811221167354/2.7415129757331823E-8/2.7415129757331823E-8/","4/","no"
"5","105524800","2884/2884/97/58441/22425/60/3041/","5.073524200722066E-21/5.073524200722066E-21/0.3528449061441875/0.0/3.815612933196963E-160/0.6471550938558125/3.8684359804681524E-22/","5/","no"
"6","102640700","228/228/3989/3989/228/228/565/","0.23643152366405862/0.23643152366405862/1.741946740885677E-8/1.741946740885677E-8/0.23643152366405862/0.23643152366405862/0.05427387050483066/","0/1/4/5/7/","no"
"7","100767600","68/914/1275/391/1098/1029/3171/","0.9908109777916726/4.689891702516494E-6/2.5060194531183086E-8/0.009183095580446434/3.2586986135202665E-7/8.858061225556825E-7/2.91962699132687E-20/","0/","no"
"8","104762200","3989/3989/228/157/4028/3989/239/","1.3123982626752773E-11/1.3123982626752773E-11/0.28570874640866595/0.4477970029616952/1.0253364014570375E-11/1.3123982626752773E-11/0.26649425058001347/","3/8/","no"
"9","99655200","565/565/68/3989/565/64/3989/","2.3142884810883836E-4/2.3142884810883836E-4/0.4842837725726455/3.0698734850063565E-27/2.3142884810883836E-4/0.515021940883028/3.0698734850063565E-27/","2/5/8/9/","no"
"0","116702600","320/152/22425/181/156/1098/1124/","0.10625644786008447/0.31858671781595393/1.9086992351492093E-64/0.2635787602584956/0.31036558731117253/6.576306492695715E-4/5.548561050239689E-4/","1/3/4/7/8/","no"
"1","107443400","1098/50/22425/22425/50/79/80/","3.813253988756011E-10/0.3203476610442764/9.323137620514437E-192/9.323137620514437E-192/0.3203476610442764/0.18141357977596645/0.1778910977541554/","1/4/7/","no"
"2","99707500","203/214/60/565/214/10317/571/","0.07633228136498779/0.06373717993101148/0.7958082211622797/2.0203177419382515E-4/0.06373717993101148/7.50341948221337E-74/1.8310583651579018E-4/","2/8/9/","no"
"3","99766500","3989/3989/107/50/4028/3989/112/","1.7647004010536033E-34/1.7647004010536033E-34/0.20143970534256017/0.6159323686559767/8.214165321870082E-35/1.7647004010536033E-34/0.1826279260014631/","3/8/","no"
"4","105017300","914/50/3328/1092/122/152/122/","2.7057395358237807E-8/0.6162337010575174/7.51070165126966E-29/8.251123545090465E-10/0.1501840542937048/0.08339816247256523/0.1501840542937048/","1/7/","no"
"5","103984300","2884/2884/97/22844/8449/50/2951/","5.264745293387878E-25/5.264745293387878E-25/0.28463838348688203/5.62909991557762E-195/2.1487474242372935E-72/0.7153616165131179/1.4152515326610586E-25/","5/","no"
"6","103412200","502/79/3989/3989/1468/502/50/","9.036591663309508E-5/0.36148824941222757/1.8288745033129769E-34/1.8288745033129769E-34/5.369776826145592E-13/9.036591663309508E-5/0.6383310187539692/","6/","no"
