"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99088900","50/2314/328528/","1.0/5.2569183872777357E-20/0.0/","0/3/4/","no"
"1","99276500","64854/43267/53384/","0.2531336559686229/0.4168937447494763/0.32997259928190076/","1/5/","no"
"2","101651400","1333/684/50/","1.1871663944262452E-11/3.991367953198518E-6/0.9999960086201751/","2/5/","no"
"3","95547000","50/20053/1027418/","1.0/4.601418508962971E-171/0.0/","0/3/4/","no"
"4","96918600","1235/8624/8482/","0.9946533060834695/0.0025199495980204813/0.002826744318510026/","0/3/4/","no"
"5","98604700","1360/29474/23645/","0.999999921508958/1.0686496155515823E-9/7.74223923041119E-8/","0/3/4/","no"
"0","95123200","50/4192/328528/","1.0/5.3515009516763556E-36/0.0/","0/3/4/","no"
"1","99067300","25443/13924/21246/","0.21557781393293543/0.49301478580916896/0.29140740025789563/","1/5/","no"
"2","97384300","8405/4971/4004/","0.15728504836355445/0.3707351656751669/0.47197978596127854/","2/5/","no"
"3","95794200","60/20147/15295/","1.0/9.749065399263769E-144/3.4132904783558094E-109/","0/3/4/","no"
"4","99316100","5608/8674/8464/","0.45873884614655774/0.2655649873928021/0.2756961664606401/","0/3/4/","no"
"5","104106900","1307/29256/27884/","0.9999999979765691/5.249400737544877E-10/1.4984908407447296E-9/","0/3/4/","no"
"0","95850000","203/2314/1453/","0.9977907000460489/3.198476188274223E-5/0.002177315192068489/","0/3/4/","no"
"1","98152600","24972/13924/20855/","0.21954415270292815/0.4853870147522073/0.29506883254486455/","1/5/","no"
"2","97888400","3181/1694/894/","0.05224056996270011/0.27514876343315026/0.6726106666041497/","2/5/","no"
"3","97200700","50/20836/15984/","1.0/9.889950118181098E-178/2.0548443401026744E-136/","0/3/4/","no"
"4","94335400","1890/3329/3245/","0.5113402415862883/0.23890408975606414/0.24975566865764753/","0/3/4/","no"
"5","97947800","1277/30781/24953/","0.9999999909038673/9.415563638773348E-11/9.001977105561236E-9/","0/3/4/","no"
"0","95261500","50/4398/336576/","1.0/9.42467804425075E-38/0.0/","0/3/4/","no"
"1","97650200","64854/4497/54360/","1.4871525285063301E-6/0.9999831814914841/1.5331355987373026E-5/","1/5/","no"
