"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105097700","51/592/592/598/598/598/592/","0.9998280467089297/3.0310446923386414E-5/3.0310446923386414E-5/2.7007316766827213E-5/2.7007316766827213E-5/2.7007316766827213E-5/3.0310446923386414E-5/","0/","no"
"1","108337600","14902303/434/2364241/50/231/5996/17994/","0.0/5.21771460257032E-4/0.0/0.9715436148394783/0.027934613700264788/2.2585778193620902E-51/1.5273173895522752E-153/","3/","no"
"2","107500000","502/3989/64/193/203/64/239/","5.096287005925886E-4/2.564633361032467E-27/0.43025957183690566/0.059132062936668756/0.05070006250994167/0.43025957183690566/0.029139102178985642/","2/5/","no"
"3","109298600","1317511/50/80624/51/11115/51/109/","0.0/0.30528408667466234/0.0/0.2993564284024178/1.8190002128320956E-95/0.2993564284024178/0.09600305652050203/","1/3/5/","no"
"4","103270900","80624/78/3787/457/78/190/190/","0.0/0.4011583238893405/1.634800465310795E-21/0.003309800175479672/0.4011583238893405/0.09718677602291974/0.09718677602291974/","1/4/","no"
"5","107719900","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","109523300","48259941/19280164/7671210/1184063/1184063/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"7","111555000","8321/8449/2951/249/249/50/72/","2.1865606704267927E-71/1.7773278182763422E-72/1.1706196319232669E-25/0.011953849011739239/0.011953849011739239/0.5917084934294672/0.38438380854705423/","5/","no"
"8","105475300","58441/914/1212/93/181/93/186/","9.587285636422122E-271/5.825033633943809E-5/2.446203181207318E-6/0.3617803069460801/0.14186372701845557/0.3617803069460801/0.1345149625498636/","3/5/","no"
"9","111182100","80624/80868/30484/3787/3787/1173/327/","4.461733669035836E-107/2.1204640717725314E-107/1.092195437597344E-40/2.4375763868728375E-5/2.4375763868728375E-5/0.07048121854693691/0.9294700299253256/","6/7/8/9/","no"
"0","103710200","50/3989/3989/3989/3989/3989/10317/","1.0/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/3.720145175813745E-88/","0/","no"
"1","108631200","14902303/50/505/434/887/5996/17994/","0.0/0.9993298420804148/1.3338925032156928E-4/5.366941669076569E-4/7.450235595840725E-8/2.3231733306408122E-51/1.5709987924321092E-153/","1/","no"
"2","106585400","697/5922/269/79/80/79/107/","1.1666119087494213E-4/5.0357951598972446E-33/0.024569814837270776/0.26415040329495265/0.2608690742856011/0.26415040329495265/0.1861436430963479/","3/4/5/","no"
"3","107797100","1317511/50/207616/50/30484/128/409/","0.0/0.450950173790689/0.0/0.450950173790689/3.0976002978450613E-260/0.09770425299749873/3.9539942112323383E-4/","1/3/","no"
"4","107712400","80868/1173/30484/51/51/412/435/","0.0/2.1275851481029362E-10/3.371165275709767E-255/0.4996036226066993/0.4996036226066993/4.8263593704801956E-4/3.1011863679466183E-4/","3/4/","no"
"5","108550800","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","107963400","48259941/19280164/7671210/1184063/1184063/50/93/","0.0/0.0/0.0/0.0/0.0/0.6991255464583039/0.30087445354169606/","5/","no"
"7","105762000","3803/11076/1803/151/123/151/150/","3.7998940578954634E-14/1.279378873708525E-39/3.841680088451944E-7/0.23466291194646796/0.29411078578200006/0.23466291194646796/0.23656300615701714/","4/6/7/8/9/","no"
"8","109042500","22425/8674/3041/260/246/55/55/","1.5895172127292211E-174/6.979532249295358E-68/3.3821903226877824E-24/0.012490281437635647/0.016037838827507273/0.4857359398674285/0.4857359398674285/","5/6/7/8/9/","no"
"9","105669900","58441/58441/22425/2884/2884/914/257/","1.0601949491708716E-98/1.0601949491708716E-98/4.4827937218146285E-38/3.508710038060944E-5/3.508710038060944E-5/0.07265608818920008/0.9272737376100387/","6/7/8/9/","no"
"0","100479500","50/348/54/952/134/952/2474/","0.4716801195160311/0.001367745533046366/0.43609916946877675/9.830964930134495E-9/0.0908529458202161/9.830964930134495E-9/1.076183463300659E-21/","0/2/","no"
"1","110208600","14902303/50/505/434/887/5996/17994/","0.0/0.9993298420804148/1.3338925032156928E-4/5.366941669076569E-4/7.450235595840725E-8/2.3231733306408122E-51/1.5709987924321092E-153/","1/","no"
"2","106372000","50/79/79/83/50/83/283/","0.23865531189440847/0.13515102411604754/0.13515102411604754/0.12495597531296793/0.23865531189440847/0.12495597531296793/0.0024753773531521316/","0/4/","no"
"3","105538400","4494307/50/711063/50/50/1467/4824/","0.0/0.33333333333323806/0.0/0.33333333333323806/0.33333333333323806/2.8595955386083826E-13/7.404726257811123E-42/","1/3/4/","no"
"4","108491100","148646/260/8282/947/260/98/98/","0.0/0.08147380359204247/5.248129207937781E-37/7.89364327514268E-5/0.08147380359204247/0.4184867281915818/0.4184867281915818/","5/6/7/8/9/","no"
"5","110743000","930399/2364241/369719/1887/50724/1887/1887/","8.676103614560921E-215/0.0/8.145246636966513E-86/0.3333333333326849/1.945178491974887E-12/0.3333333333326849/0.3333333333326849/","3/5/6/7/8/9/","no"
"6","107853100","14902303/5951414/2364241/360971/360971/50724/93/","0.0/0.0/0.0/0.0/0.0/1.1939321483027685E-234/1.0/","6/7/8/9/","no"
"7","109062200","80868/80624/11076/80/80/304/400/","0.0/0.0/5.304725954084678E-60/0.4802631735020284/0.4802631735020284/0.030232035279827568/0.009241617716115643/","3/4/","no"
"8","110118800","148646/58686/22425/2884/2884/246/109/","0.0/4.172922426033794E-232/6.076341933563604E-89/8.591774088301257E-12/8.591774088301257E-12/0.22348797043132115/0.7765120295514952/","6/7/8/9/","no"
"9","106773100","148646/58686/22425/2884/2884/246/109/","0.0/4.172922426033794E-232/6.076341933563604E-89/8.591774088301257E-12/8.591774088301257E-12/0.22348797043132115/0.7765120295514952/","6/7/8/9/","no"
"0","117119500","97/3989/592/592/502/592/592/","0.9600140210324625/5.427282619149302E-18/0.006146774553745596/0.006146774553745596/0.015398880752555376/0.006146774553745596/0.006146774553745596/","0/","no"
"1","115725600","4494307/188/711063/188/106872/188/364/","0.0/0.2946311842147714/0.0/0.2946311842147714/2.113390401124057E-246/0.2946311842147714/0.11610644735568582/","1/3/5/","no"
"2","104134000","10317/535/157/55/55/55/73/","6.697471735787726E-81/4.87360769843789E-5/0.04162347359965792/0.25726144120742195/0.25726144120742195/0.25726144120742195/0.18654346670109184/","3/4/5/","no"
"3","111986000","4494307/128/711063/50/109/561/1839/","0.0/0.14150083420744083/0.0/0.6530915883365537/0.20537850285971823/2.9074596286859166E-5/3.807193157628477E-16/","3/","no"
"4","105759900","106872/229/39911/1557/50/303/321/","0.0/0.02870206207098753/0.0/1.4100204573078889E-13/0.9598460345442998/0.006726053565222659/0.00472584981934892/","4/","no"
"5","108410700","14902303/5951414/2364241/360971/360971/434/434/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","116544800","48259941/62940/7671210/1184063/1184063/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"7","107162200","22425/8282/3041/328/272/82/55/","1.9882692648499136E-174/9.574093302992487E-65/4.230658852021191E-24/0.004639002461882388/0.01261011609431167/0.37516146225585756/0.6075894191879484/","6/7/8/9/","no"
"8","106476900","373066/148646/58441/914/914/2884/152/","0.0/0.0/3.461216271311105E-166/0.006778216031000057/0.006778216031000057/1.7346790601795544E-8/0.9864435505912093/","6/7/8/9/","no"
"9","105843900","1317511/302/207616/302/11076/348/68/","0.0/0.03103846379396888/0.0/0.03103846379396888/4.775510586307322E-70/0.015935678660296913/0.9219873937517653/","6/7/8/9/","no"
"0","103422700","50/354/348/348/348/348/952/","0.986021338447072/0.002541853862848422/0.0028591967847471375/0.0028591967847471375/0.0028591967847471375/0.0028591967847471375/2.0551091295905215E-8/","0/","no"
"1","108356600","2364241/50/930399/50/289/1798/6063/","0.0/0.4977053357962647/0.0/0.4977053357962647/0.004589328407470038/6.4824894548356535E-16/3.110293140392935E-52/","1/3/","no"
"2","103413300","3989/83/64/83/83/83/241/","1.4711054096098638E-27/0.18424742547494707/0.24680221090584295/0.18424742547494707/0.18424742547494707/0.18424742547494707/0.016208087194368927/","2/","no"
"3","110423200","80624/207616/31884/4011/1173/445/107/","0.0/0.0/1.5786282045281968E-128/1.916228943838409E-16/4.9515512819379195E-5/0.04189939855492172/0.9580510859322587/","6/7/8/9/","no"
"4","108375300","12187/79/3787/373/79/157/219/","7.219898354891893E-67/0.3881511877661273/2.8803925784202853E-21/0.009839401862810907/0.3881511877661273/0.1464076600518404/0.0674505625530941/","1/4/","no"
"5","112436600","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","108169500","14902303/5951414/2364241/360971/360971/175/50/","0.0/0.0/0.0/0.0/0.0/0.0793668845556916/0.9206331154443084/","6/7/8/9/","no"
"7","110275800","1317511/302/80624/304/11115/304/50/","0.0/0.006999964443550467/0.0/0.00673076887654959/5.836467781173108E-95/0.00673076887654959/0.9795384978033503/","6/7/8/9/","no"
"8","107809000","373066/914/22425/51/51/322/320/","0.0/3.082789583680754E-8/6.80783879286708E-188/0.4972352614874508/0.4972352614874508/0.0027115618999457255/0.002817884297256814/","3/4/","no"
"9","109717300","58441/22425/8282/1004/914/282/64/","0.0/3.8115045422157593E-150/1.193697406356641E-55/5.06422877144159E-7/2.0222932737049E-6/0.03376935706500642/0.9662281142188427/","6/7/8/9/","no"
"0","98551500","1468/25963/112/25963/25963/25963/25963/","6.144174602214718E-6/4.4308509373264026E-100/0.9999938558253978/4.4308509373264026E-100/4.4308509373264026E-100/4.4308509373264026E-100/4.4308509373264026E-100/","2/","no"
"1","111321600","711063/364/278324/364/39911/364/54/","0.0/0.003528070147491112/0.0/0.003528070147491112/1.8793696E-315/0.003528070147491112/0.9894157895575266/","6/7/8/9/","no"
"2","109478700","697/2111/97/320/226/98/343/","8.972745950697282E-4/4.860449312009063E-10/0.40913928241573894/0.04203680053236646/0.10969777793724882/0.4049856199751706/0.03324324405836069/","2/5/","no"
"3","106293600","1317511/50/207616/128/11076/147/147/","0.0/0.6599726310521885/0.0/0.14299170210693307/8.448158512778E-95/0.09851783342043918/0.09851783342043918/","1/","no"
"4","112382700","712589/400/41310/403/1563/1935/1929/","0.0/0.47815014818338486/2.3597332471183124E-45/0.4745863127075372/0.026302800703640942/0.010401963913349138/0.010558774492087824/","1/3/","no"
"5","109368000","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","107171300","48259941/62940/7671210/1184063/1184063/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"7","109395800","1317511/11076/11076/1179/1632/304/122/","0.0/1.7136083319117272E-39/1.7136083319117272E-39/1.5091365442627486E-4/3.795366645651655E-6/0.18544784945318132/0.8143974415257468/","6/7/8/9/","no"
"8","109714300","8282/58441/3108/282/292/64/82/","6.776744763601418E-56/0.0/2.5168763990767914E-21/0.019171216460873865/0.016437476128626425/0.5485377850876141/0.4158535223228855/","5/","no"
"9","105005600","148646/58686/2884/366/246/97/97/","0.0/9.99748729275506E-261/1.9530533988434553E-13/0.028146432494310366/0.09576625804646328/0.43804365472951556/0.43804365472951556/","5/6/7/8/9/","no"
"0","104700200","50/125/952/952/952/952/952/","0.8131467095282361/0.18685320573195316/1.694796209055543E-8/1.694796209055543E-8/1.694796209055543E-8/1.694796209055543E-8/1.694796209055543E-8/","0/","no"
"1","107709800","4494307/50/711063/128/128/561/1839/","0.0/0.6976562426369067/0.0/0.15115634940972297/0.15115634940972297/3.1058543646748455E-5/4.066982519418496E-16/","1/","no"
"2","102036600","160/157/50/79/51/79/107/","0.03144861048291578/0.03335402083289825/0.27184105679678344/0.15394418389953596/0.2665627571428143/0.15394418389953596/0.08890518694551622/","2/4/","no"
"3","109504300","525508/51/80624/50/11076/50/109/","0.0/0.29759240233694806/0.0/0.30348513053017195/3.884843656171661E-95/0.30348513053017195/0.095437336602708/","1/3/5/","no"
"4","108538600","525508/3803/80624/11076/3787/375/158/","0.0/8.814729093435219E-11/1.3044286417056774E-220/1.201297815182472E-30/9.74791107895643E-11/0.2034645456077133/0.7965354542066603/","6/7/8/9/","no"
"5","107268900","14902303/137249/2364241/360971/137249/68/68/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","110395600","48259941/19280164/7671210/1184063/1184063/511/511/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"7","110560900","11076/4142/1471/150/50/150/94/","7.514403177895207E-95/8.37361281265381E-36/4.656095914578223E-13/0.08262292338127397/0.5870273892945297/0.08262292338127397/0.24772676394245677/","4/","no"
"8","106488200","101165/40251/15712/2111/2111/691/198/","4.1317446891912235E-221/3.580079135395156E-88/1.280624272966982E-34/6.166390408603936E-5/6.166390408603936E-5/0.07744916996634964/0.9224275022254783/","6/7/8/9/","no"
"9","106745300","373066/148646/58441/8282/8282/2884/914/","2.0618888907269796E-177/6.802989890934324E-71/4.441102516730235E-28/2.85034392749454E-4/2.85034392749454E-4/0.10399139155773644/0.8954385396567647/","6/7/8/9/","no"
"0","101933300","51/952/952/968/968/968/952/","0.9999998445935645/2.985470965013014E-8/2.985470965013014E-8/2.1947435454831544E-8/2.1947435454831544E-8/2.1947435454831544E-8/2.985470965013014E-8/","0/","no"
"1","109939200","14902303/50/2364241/50/289/1912/6283/","0.0/0.497705335796265/0.0/0.497705335796265/0.0045893284074700405/6.933713907681793E-17/4.162690728436708E-54/","1/3/","no"
"2","109884200","2127/2178/717/51/51/198/255/","2.2068772808643105E-18/8.27628654961132E-19/1.3177714583229418E-6/0.481005665870508/0.481005665870508/0.028472991533651768/0.009514358953874008/","3/4/","no"
"3","108483200","525508/51/80624/128/11076/128/128/","0.0/0.5943932256261989/0.0/0.1352022581246004/4.957832734597008E-93/0.1352022581246004/0.1352022581246004/","1/","no"
"4","105659900","1317511/11794/11794/1287/1625/68/529/","0.0/1.5652011370791696E-74/1.5652011370791696E-74/2.1228521092046406E-8/1.583092132512111E-10/0.998747227152949/0.0012527514602208207/","5/","no"
"5","108237500","14902303/5951414/2364241/360971/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/7/8/9/","no"
"6","106888100","2364241/1804/360971/51142/50724/1824/1824/","0.0/0.33580015972842614/1.282968453405164E-87/4.5190198730662125E-13/5.696626032474027E-13/0.33209992013527617/0.33209992013527617/","1/5/6/7/8/9/","no"
"7","108464100","208227/3854/3854/304/561/50/156/","0.0/3.571727949441816E-33/3.571727949441816E-33/0.0060698861309366045/3.932574676289432E-5/0.8833592790936812/0.1105315090286193/","5/","no"
"8","107842100","58441/22523/8282/941/914/257/54/","0.0/3.699621114099365E-178/1.0443426367719467E-65/9.667450302651414E-8/1.5794688217347457E-7/0.024341988358813207/0.9756577570198016/","6/7/8/9/","no"
"9","112138200","1317511/11076/207616/3787/1471/632/181/","0.0/9.261036453305029E-27/0.0/2.290419173369724E-9/7.698951157418944E-4/0.07735375513480901/0.92187634745903/","6/7/8/9/","no"
"0","100464500","69/2474/125/161/161/159/161/","0.39497895046603343/4.736487490768632E-16/0.1774754826610102/0.10611747755402436/0.10611747755402436/0.10919313421088274/0.10611747755402436/","0/","no"
"1","107881200","14902303/50/2364241/128/128/2290/6926/","0.0/0.6976779114967727/0.0/0.15116104425161364/0.15116104425161364/5.871648944474508E-20/1.9522710722279793E-59/","1/","no"
"2","103678100","320/102/54/2127/2127/2111/2178/","0.0055661087296575715/0.29304686972698457/0.7013870215433579/2.999189378225477E-17/2.999189378225477E-17/4.0118446010252434E-17/1.1865729965926702E-17/","2/","no"
"3","106002000","4494307/78/106872/78/50/78/435/","0.0/0.21130630452916455/0.0/0.21130630452916455/0.36588840000419814/0.21130630452916455/1.9268640830811574E-4/","4/","no"
"4","108605800","1793938/290/278324/561/50/1651/5283/","0.0/0.00896051325733583/0.0/4.411753389027491E-5/0.9909953692087509/2.3047887453973367E-14/2.7167617282524177E-45/","4/","no"
"5","109375800","14902303/5996/930399/137493/137493/6012/5996/","0.0/0.3336296458489668/3.7955289866043056E-68/1.0009974492877009E-10/1.0009974492877009E-10/0.3327407081018669/0.3336296458489668/","1/5/6/7/8/9/","no"
"6","109126200","2364241/2364241/930399/137249/137249/50/54/","0.0/0.0/0.0/0.0/0.0/0.5195977978782956/0.48040220212170437/","5/6/7/8/9/","no"
"7","108350900","30484/11244/4075/446/348/107/65/","4.436897740514307E-201/1.7803324740759117E-74/2.6551811458083923E-27/0.002012382077442654/0.008883251220079422/0.34229836530293717/0.6468060013995408/","6/7/8/9/","no"
"8","110169400","373066/914/22425/2899/920/322/79/","0.0/2.7969548056307737E-5/4.6808847267212224E-122/4.685474910543345E-16/2.594856602479296E-5/0.045757745134142304/0.9541883367517761/","6/7/8/9/","no"
"9","105019400","80624/31465/11469/1206/1173/315/55/","0.0/2.5302585092300913E-244/3.001345332856317E-89/1.17364035835601E-9/2.1157218405780182E-9/0.00953828846819966/0.9904617082424381/","6/7/8/9/","no"
"0","98313500","51/10317/10317/25963/25963/25963/10317/","1.0/1.8207364724150776E-86/1.8207364724150776E-86/3.8700710731016444E-217/3.8700710731016444E-217/3.8700710731016444E-217/1.8207364724150776E-86/","0/","yes"
"1","109791100","711063/64/41310/65/5064/65/64/","0.0/0.25192303899346336/6.57709373772049E-277/0.24807696100653662/9.862795944611966E-35/0.24807696100653662/0.25192303899346336/","1/3/5/6/7/8/9/","yes"
"2","109799600","3989/50/79/157/157/502/529/","1.5812435841494246E-34/0.5519005410922654/0.3125424812326083/0.06771641621096379/0.06771641621096379/7.813030672307994E-5/4.60149464757704E-5/","1/","yes"
"3","112215400","711063/128/278324/50/50/364/1494/","0.0/0.09764955805897171/0.0/0.450697731432475/0.450697731432475/9.549790758506306E-4/2.2771447054780896E-13/","3/4/","yes"
"4","109445700","711063/39911/39911/122/122/364/1946/","0.0/1.515850392166406E-141/1.515850392166406E-141/0.4673313996935171/0.4673313996935171/0.06533703104040772/1.6957255809756887E-7/","3/4/","yes"
"5","116356600","2364241/2364241/930399/360971/137249/50/54/","0.0/0.0/0.0/0.0/0.0/0.5195977978782956/0.48040220212170437/","5/6/7/8/9/","yes"
"6","110859200","5951414/2368056/930399/360971/137249/1798/50/","0.0/0.0/0.0/0.0/0.0/1.3024753782204269E-15/0.9999999999999987/","6/7/8/9/","yes"
"7","108348500","525508/31465/11469/3870/1235/55/55/","0.0/1.2773126347442761E-244/1.5151243641325192E-89/1.2961594320336991E-30/3.529919893396664E-10/0.49999999982350396/0.49999999982350396/","5/6/7/8/9/","yes"
"8","109139000","373066/148646/58441/914/914/152/152/50/","0.0/0.0/0.0/3.455473301125258E-8/3.455473301125258E-8/0.10650697155856031/0.10650697155856031/0.7869859877734134/","7/","yes"
"9","113622100","148646/58686/2884/2884/246/122/122/122/122/","0.0/3.7962836727188245E-208/4.0534000015039155E-11/4.0534000015039155E-11/0.08359884992068752/0.22910028749956116/0.22910028749956116/0.22910028749956116/0.22910028749956116/","5/6/7/8/9/","yes"
