"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104346400","7387/64/48259941/48259941/675/","1.1794501726740457E-49/0.9999172827771483/0.0/0.0/8.271722285166639E-5/","1/","no"
"1","108262400","1473/1467/1793938/1793938/280941/","0.4989782030573164/0.5010217969426837/0.0/0.0/1.047150693471212E-83/","0/1/","no"
"2","110796800","82735/4727/79351/395/82735/","4.982505057190874E-91/1.774491282615559E-5/2.5626630240267816E-87/0.9999822550871738/4.982505057190874E-91/","3/7/","no"
"3","106985000","24385354/675/92753/8750/24385354/","0.0/0.999993510160527/6.993911033692441E-60/6.4898394731228905E-6/0.0/","1/","no"
"4","106422500","24592/4317/24385/7671210/22128/","0.008828639588842934/0.9662878752358081/0.009262183281258031/0.0/0.01562130189409095/","1/","no"
"5","103133400","153196043/24385354/858/858/8750/","0.0/0.0/0.4999744218672171/0.4999744218672171/5.115626556587453E-5/","2/3/6/7/","no"
"6","103034400","1078/30332349/45260/45260/30332349/","1.0/0.0/1.647663733191588E-18/1.647663733191588E-18/0.0/","0/","no"
"7","100538300","48259941/187208/7671210/23013/7671210/","0.0/7.964334283526464E-4/4.6927745923409784E-145/0.9992035665716473/4.6927745923409784E-145/","3/7/","no"
"0","103632600","7748/156/1207458/1207458/675/","9.623117123603101E-22/0.964624945922982/0.0/0.0/0.03537505407701796/","1/","no"
"1","103234700","112/106872/711063/4494307/106872/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"2","103808500","36267/225755/3793268/50/235222/","3.902193508873893E-309/0.0/0.0/1.0/0.0/","3/7/","no"
"3","107417400","24385354/2158/92753/8750/24385354/","0.0/0.9549232940093254/5.705531989711034E-19/0.04507670599067455/0.0/","1/","no"
"4","102627500","1184063/24592/1185589/4323/50/","0.0/1.0249031919436622E-209/0.0/4.101425988398207E-37/1.0/","4/5/","no"
"5","105039100","1523968/1774/11323/5514/92656/","0.0/0.8879368559939325/0.004092607602351984/0.10797053640371553/5.152467528449531E-23/","1/","no"
"6","104696600","269066/30332349/261896/45260/259200/","0.006951389353353756/2.370193360832076E-291/0.008144607693843882/0.9762595165634542/0.008644486389348172/","3/7/","no"
"7","101958800","187208/11108/11108/1015/11108/","2.574963075026028E-80/4.848769072280494E-5/4.848769072280494E-5/0.9998545369278315/4.848769072280494E-5/","3/7/","no"
"0","103613000","122/8436/521/48259941/521/","0.9276242371918164/4.091568160296135E-30/0.03618788140409182/0.0/0.03618788140409182/","0/","no"
"1","103645700","112/106872/711063/4494307/106872/","1.0/0.0/0.0/0.0/0.0/","0/","no"
"2","108117900","36267/218830/50/83/24385354/","2.56119444499396E-309/0.0/0.6563473695421823/0.34365263045781763/0.0/","2/6/","no"
"3","108378700","698/9658374/3210/3210/9699259/","0.9478740195300555/0.0/0.026062990234972244/0.026062990234972244/0.0/","0/","no"
"4","106363200","24592/1184063/7671210/4323/50/","1.0249031919436622E-209/0.0/0.0/4.101425988398207E-37/1.0/","4/5/","no"
"5","114192100","153196043/24385354/61218842/61218842/8750/","0.0/0.0/0.0/0.0/1.0/","4/5/","no"
"6","105493700","478056859/30332349/45260/45260/30332349/","0.0/1.2139156241853748E-291/0.5/0.5/1.2139156241853748E-291/","2/3/6/7/","no"
"7","122045400","48259941/7671210/7671210/73305/7671210/","3.332886748342257E-286/9.703503181132032E-46/9.703503181132032E-46/1.0/9.703503181132032E-46/","3/7/","no"
"0","121575900","1184063/361/10451/48259941/10451/","0.0/0.9999999999984296/7.851291433817094E-13/0.0/7.851291433817094E-13/","1/","no"
"1","113828400","4907/55/4494307/4494307/110615/","2.3522595831139073E-38/1.0/0.0/0.0/0.0/","1/","no"
"2","102234600","1523968/9658374/50/50/2156/","0.0/0.0/0.5/0.5/5.8232116490099E-19/","2/3/6/7/","no"
"3","107072400","601256/2158/1472529/50/24385354/","0.0/1.1198540233966338E-18/0.0/1.0/0.0/","3/7/","no"
"4","102053500","48259941/455732/4323/4323/55/","0.0/0.0/7.953463128896734E-34/7.953463128896734E-34/1.0/","4/5/","no"
"5","107608400","1523968/1774/11323/5514/92656/","0.0/0.8879368559939325/0.004092607602351984/0.10797053640371553/5.152467528449531E-23/","1/","no"
"6","108606800","1078/76174004/11916807/45260/76174004/","1.0/0.0/0.0/1.647663733191588E-18/0.0/","0/","no"
"7","104543800","48259941/1689/73305/73305/1199391/","0.0/1.0/3.946327525040274E-19/3.946327525040274E-19/1.643454383680283E-308/","1/","no"
"0","104737500","155/455732/394/65808/1190605/","0.8223062430411594/0.0/0.17769375695884065/1.3838445347208053E-183/0.0/","0/","no"
"1","102731000","1467/1500/4494307/4494307/4494307/","0.505619654361465/0.494380345638535/0.0/0.0/0.0/","0/1/","no"
"2","103732300","1523968/9658374/50/50/2156/","0.0/0.0/0.5/0.5/5.8232116490099E-19/","2/3/6/7/","no"
"3","108899600","859/24385354/82735/82735/24385354/","1.0/0.0/4.4993041116355604E-42/4.4993041116355604E-42/0.0/","0/","no"
"4","107955600","24592/1184063/7671210/48259941/22128/","0.4721919495534392/8.295194112369666E-24/4.025294494035044E-151/0.0/0.5278080504465608/","0/4/5/","no"
"5","103881100","36267/9699259/675/24385354/3793268/","1.3614762172083304E-23/0.0/1.0/0.0/0.0/","2/6/","no"
"6","107738400","478056859/1048/1048/45221/1048/","0.0/0.3333333333333333/0.3333333333333333/1.7175111908448754E-19/0.3333333333333333/","1/2/4/5/6/","no"
"7","102281800","48259941/1689/73305/73305/73305/","0.0/1.0/3.946327525040274E-19/3.946327525040274E-19/3.946327525040274E-19/","1/","no"
"0","104503200","98/458959/395/48259941/521/","0.9400874985910325/0.0/0.04680420056412593/0.0/0.013108300844841537/","0/","no"
"1","102516700","106872/1467/16776/4494307/1861/","3.7173337978810216E-32/0.5666886930204841/1.6761612056731257E-5/0.0/0.43329454536745926/","1/","no"
"2","106994200","36267/218830/50/83/24385354/","2.56119444499396E-309/0.0/0.6563473695421823/0.34365263045781763/0.0/","2/6/","no"
"3","110796300","601256/2158/1472529/50/24385354/","0.0/1.1198540233966338E-18/0.0/1.0/0.0/","3/7/","no"
"4","102080500","1184063/24592/1185589/4323/50/","0.0/1.0249031919436622E-209/0.0/4.101425988398207E-37/1.0/","4/5/","no"
"5","105403000","153196043/600646/24385354/24385354/50/","0.0/0.0/0.0/0.0/1.0/","4/5/","no"
"6","107118100","11916807/1078/41318/41318/11916807/","0.0/1.0/6.360811948717063E-17/6.360811948717063E-17/0.0/","1/","no"
"7","103006300","48259941/1687/7671210/28393/7671210/","0.0/0.999999865417734/0.0/1.3458226597087863E-7/0.0/","1/","no"
"0","118936000","51/22128/19280164/390/3046549/","0.9985273687111544/4.13330024855966E-185/0.0/0.0014726312888455396/0.0/","0/","no"
"1","103104500","294/2292/16776/4494307/1855/","0.9938594712634516/0.001137365318746653/5.404767448193217E-25/0.0/0.005003163417801579/","0/","no"
