"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104546100","50/4494307/16776/215/16776/4824/215/","0.9270441641737913/0.0/3.4319544586544445E-143/0.03647791791310431/3.4319544586544445E-143/2.0593524793830599E-41/0.03647791791310431/","0/8/","no"
"1","103769500","1308/68/373066/373066/111/373066/215/","9.47294346701841E-9/0.6042231684394672/0.0/0.0/0.32400378831899435/0.0/0.07177303376859517/","1/8/","no"
"2","106409900","15809/101165/79/156/83/101165/868/","1.733373327361895E-86/0.0/0.4285925461047092/0.16369528669439007/0.40768984097647826/0.0/2.2326224422412927E-5/","2/4/7/8/","no"
"3","103107000","2319/711063/6483/50/6483/4494307/2319/","4.765992387622161E-20/0.0/1.6568616036408418E-55/1.0/1.6568616036408418E-55/0.0/4.765992387622161E-20/","3/8/9/","no"
"4","103512100","4494307/732/248/16776/50/4494307/248/","0.0/1.4956811857231065E-6/0.019786948330910624/3.5555301913663114E-143/0.960424607656993/0.0/0.019786948330910624/","4/7/8/","no"
"5","100736500","83/373066/8282/373066/373066/78/373066/","0.48418249494242943/0.0/4.091087239580794E-46/0.0/0.0/0.5158175050575705/0.0/","0/5/8/","no"
"6","103924800","197/1317511/1287/154/1287/1317511/50/","0.047214611994959/0.0/2.4665863376436756E-11/0.10971001699623537/2.4665863376436756E-11/0.0/0.8430753709594738/","6/8/","no"
"7","104765600","4494307/227/2502/1851/233/4494307/4494307/","0.0/0.5063597878740898/2.3498405396716675E-5/4.083790230699629E-4/0.49320833469744363/0.0/0.0/","1/4/7/8/","no"
"8","104076200","223/4494307/597/2502/2502/122/4494307/","0.3011241485678804/0.0/0.014394874805198393/2.7035829365378754E-9/2.7035829365378754E-9/0.6844809712197553/0.0/","5/8/","no"
"9","101600900","215/711063/16776/188/16776/4494307/215/","0.31710143967819554/0.0/2.7953195944153837E-39/0.3657971206436089/2.7953195944153837E-39/0.0/0.31710143967819554/","0/3/6/8/9/","no"
"0","104437400","50/4494307/16776/778/16776/128/778/","0.821919378283578/0.0/3.0427783097785683E-143/5.193837768531097E-7/3.0427783097785683E-143/0.17807958294886825/5.193837768531097E-7/","0/8/","no"
"1","106309300","373066/246/373066/3186/93/373066/373066/","0.0/0.1641512283614255/0.0/4.285398293327554E-15/0.8358487716385702/0.0/0.0/","4/7/8/","no"
"2","103982300","101165/101165/223/101165/753/331/2268/","1.1450274125535492E-196/1.1450274125535492E-196/0.5843114826781349/1.1450274125535492E-196/0.05483686971940618/0.36078829441664073/6.33531858181168E-5/","2/8/","no"
"3","102532900","186/711063/6483/50/6483/4494307/186/","0.0610056807389274/0.0/1.4547056636002407E-55/0.877988638522145/1.4547056636002407E-55/0.0/0.0610056807389274/","3/8/9/","no"
"4","110204400","4494307/156/14312/43203/50/4494307/14312/","0.0/0.11121092010264023/3.1595423610795715E-122/0.0/0.8887890798973597/0.0/3.1595423610795715E-122/","4/7/8/","no"
