"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","126269400","50/153196043/1517427/1923/153196043/403/1923/153196043/24409196/","0.9990146901749106/0.0/0.0/1.121744986226678E-16/0.0/9.85309825089085E-4/1.121744986226678E-16/0.0/0.0/","0/","no"
"1","116558900","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/11/","no"
"2","119202400","6128/356/209/6128/101165/697/146/101165/209/","8.27184081353135E-19/0.09339162826803746/0.2538647660512083/8.27184081353135E-19/1.3860791837505185E-299/0.00918042791110835/0.38969841171843767/1.3860791837505185E-299/0.2538647660512083/","6/10/","no"
"3","117432100","743/32368/12063026/50/12063026/6259/681/12063026/76233608/","1.2551684359271329E-6/6.216491426007133E-276/0.0/0.9999945116407003/0.0/1.3389776849279244E-53/4.233190863683258E-6/0.0/0.0/","3/9/","no"
"4","114466000","478056859/128/15536/6544/50/478056859/6052/128/17698/","0.0/0.15116104425161364/9.362953795176026E-133/3.4953522126784894E-56/0.6976779114967727/0.0/5.409477989739869E-52/0.15116104425161364/3.6369143942337316E-151/","4/11/","no"
"5","113312300","10169/153196043/572115/4838/153196043/50/89886/153196043/571505/","6.774315880367009E-87/0.0/0.0/1.6881544175473168E-41/0.0/1.0/0.0/0.0/0.0/","5/","no"
"6","112033100","743/1864415/4713220/2267/40600/972/687/12063026/76233608/","0.34354591588794575/0.0/0.0/0.037494883901164795/2.3799794799773586E-26/0.24628069849644144/0.3726785017144481/0.0/0.0/","0/6/10/","no"
"7","129657300","478056859/50/16768/6052/128/478056859/6544/50/17698/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/","1/7/11/","no"
"8","107157700","148646/373066/8881/373066/373066/8842/58686/373066/122/","0.0/0.0/1.183830975384316E-31/0.0/0.0/1.6255219102039025E-31/1.657040117300637E-207/0.0/1.0/","8/","no"
"9","118216300","282/2994/520/2994/5951414/56884/273/5951414/521/","0.3483070169600517/1.751450480250505E-5/0.14612628079145107/1.751450480250505E-5/0.0/6.712222855688188E-91/0.359937728035379/0.0/0.14559394520351324/","0/6/10/","no"
