"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","110887500","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","105115700","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","110442800","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","104292100","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","101833700","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","104646700","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","102921500","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","105160500","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","105539600","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","104060900","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","101749700","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","104224500","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","102730200","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","100938900","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","109850800","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","104633600","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","104326100","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","103401500","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","103225300","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","100957700","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","103612400","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","112440000","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","104597400","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","107221700","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","105396100","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","102318400","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
