"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100646900","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","109764300","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","100413600","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","96474400","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","98833500","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","98945200","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","97548400","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","101921000","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","98823700","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","98586500","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","98765600","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","102699000","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","98919100","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","98392800","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","101087900","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","97408500","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","97293000","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","97866800","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","97804900","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","98073900","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","97123400","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","99027800","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","97428600","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","98539100","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","96827200","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","97454400","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","98626300","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","96592300","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","97468100","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","103394900","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","98478700","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","97961000","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","97220900","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","108000900","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","98982200","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","100380200","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","96086700","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","99240300","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","97617100","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","98719800","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","97475300","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","96862400","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","98388000","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","98595400","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","97018700","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","101361100","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","97267300","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","100004600","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","98543200","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","no"
"1","98801100","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","no"
"2","97514500","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","no"
"3","102477200","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","no"
"4","102565200","4231/37460/2334/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/","2/","no"
"5","100051900","9441/1628/1618/","0.003981692406003165/0.49647114400544173/0.4995471635885551/","1/2/3/","no"
"0","98170100","15931/701/1768/","3.104614452877535E-10/0.8205300895816922/0.17946991010784652/","1/3/","yes"
"1","99883700","7068/50/21092978/","1.728514626643218E-60/1.0/0.0/","1/3/","yes"
"2","103820700","187257/30863/50/","0.0/4.0690472014029235E-263/1.0/","2/","yes"
"3","100293700","1330/8868/1264223/","0.9965413454320763/0.0034586545679237434/0.0/","0/4/5/","yes"
"4","109771900","4231/37460/2334/213456/","0.3073750497078078/2.0290626070046138E-7/0.6926247473859315/3.742907490612218E-40/","2/","yes"
"5","110371800","9441/1628/1618/3206878/661/","1.1841138694118486E-6/0.1581199986626105/0.16052664963907579/0.0/0.6813521675844442/","4/","yes"
