"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103172300","302/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","113493200","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","103424300","4494307/107919/60/4494307/316/","0.0/0.0/0.9851781685023758/0.0/0.01482183149762419/","2/6/7/","no"
"3","99413300","4494307/4494307/107116/50/287/","0.0/0.0/0.0/0.9905013243873066/0.009498675612693366/","3/6/7/","no"
"4","97013300","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","98955100","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","101444900","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","101510000","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","94972500","50/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","102371400","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","99825800","4494307/107919/50/4494307/316/","0.0/0.0/0.9945986280163965/0.0/0.005401371983603552/","2/6/7/","no"
"3","99452100","4494307/4494307/108163/50/283/","0.0/0.0/0.0/0.9897342915541921/0.01026570844580777/","3/6/7/","no"
"4","98723200","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","102733200","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","97212900","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","98967500","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","96168400","302/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","100520500","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","98131100","4494307/109325/50/4494307/316/","0.0/0.0/0.9945986280163965/0.0/0.005401371983603552/","2/6/7/","no"
"3","100028100","4494307/4494307/107919/51/283/","0.0/0.0/0.0/0.9885871677419513/0.011412832258048773/","3/6/7/","no"
"4","104389400","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","98947800","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","95543400","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","99603300","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","97077400","327/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","100068300","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
