"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","122711500","787/14449899/1469863019/","1.0/0.0/0.0/","0/4/5/","no"
"1","118762000","4622/36824800/1469863019/","1.0/0.0/0.0/","0/4/5/","no"
"2","120675600","2147483647/2147483647/50/","0.0/0.0/1.0/","2/","no"
"3","106864300","14146/153196043/61218842/","1.0/0.0/0.0/","0/4/5/","no"
"4","110347000","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/4/5/","no"
"5","111386700","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","111374100","4004/112196018/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","118253100","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/3/","no"
"2","113208200","289278/2147483647/534426/","0.7000308678090381/0.0/0.2999691321909619/","0/4/5/","no"
"3","108603100","153196043/153196043/61218842/","0.1540213676339739/0.1540213676339739/0.6919572647320522/","2/","no"
"4","109798300","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/4/5/","no"
"5","109398000","30769/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","112897800","4004/112196018/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","110212200","3849/5836162/1469863019/","1.0/0.0/0.0/","0/4/5/","no"
"2","116013300","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","107624400","478056859/478056859/687/","0.0/0.0/1.0/","2/","no"
"4","109440000","3450112/2147483647/2147483647/","1.0/1.296066389792543E-270/1.296066389792543E-270/","0/4/5/","no"
"5","104332400","2147483647/2147483647/2147483647/","0.3333333333333333/0.3333333333333333/0.3333333333333333/","0/1/2/3/4/5/","no"
"0","110500700","4004/44178309/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","110196200","14449899/50/1469863019/","0.0/1.0/0.0/","1/3/","no"
"2","109650000","63723708/2147483647/56652/","0.0/0.0/1.0/","2/","no"
"3","108176800","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","111413200","3522964/2147483647/2147483647/","1.0/5.042612116553768E-265/5.042612116553768E-265/","0/4/5/","no"
"5","104324400","23725841/1005298862/2147483647/","1.0/1.0779478827767092E-18/1.3342737824945709E-39/","0/4/5/","no"
"0","108275500","4004/711813722/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","111263100","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/3/","no"
"2","111680500","188193549/2147483647/188879/","0.0/0.0/1.0/","2/","no"
"3","107655700","478056859/478056859/687/","0.0/0.0/1.0/","2/","no"
"4","115264200","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/4/5/","no"
"5","109593200","30769/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","109961200","4004/711813722/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","110290200","14449899/36824800/1469863019/","0.824689284125801/0.17531071587419897/1.4913284912295113E-44/","0/4/5/","no"
"2","109179200","2147483647/38132/18081/","0.0/0.24807735845550247/0.7519226415444975/","2/","no"
"3","105305900","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","108006600","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/4/5/","no"
"5","108660400","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","117799000","50/112196018/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","109822700","14449899/36824800/1469863019/","0.824689284125801/0.17531071587419897/1.4913284912295113E-44/","0/4/5/","no"
"2","112563700","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","104732200","236513/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","109273900","1116045/133313418/2147483647/","1.0/3.6070123567645684E-52/0.0/","0/4/5/","no"
"5","108702000","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","108846900","97/283228681/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","112922200","37284/14449899/1469863019/","1.0/1.3253287144503153E-168/0.0/","0/4/5/","no"
"2","106850200","2147483647/5921/1202/","0.0/0.019403772677236947/0.980596227322763/","2/","no"
"3","108274000","153196043/153196043/61218842/","0.1540213676339739/0.1540213676339739/0.6919572647320522/","2/","no"
"4","108963700","2147483647/2147483647/469440/","0.0/0.0/1.0/","2/","no"
"5","114882000","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"0","105310700","50/283228681/2147483647/","1.0/0.0/0.0/","0/4/5/","no"
"1","110307600","755/787/1469863019/","0.51058043091515/0.48941956908484996/0.0/","0/1/3/4/5/","no"
"2","119673600","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","108181700","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","110803500","3450112/2147483647/2147483647/","1.0/1.296066389792543E-270/1.296066389792543E-270/","0/4/5/","no"
"5","114085800","23725841/1005298862/2147483647/","1.0/1.0779478827767092E-18/1.3342737824945709E-39/","0/4/5/","no"
"0","110013400","50/112196018/2147483647/","1.0/0.0/0.0/","0/4/5/","yes"
"1","115159000","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/3/","yes"
"2","107181200","5921/5921/1830/","0.08818400652548827/0.08818400652548827/0.8236319869490234/","2/","yes"
"3","106131700","1472529/3793268/153196043/","0.828640333005467/0.17135966699453298/1.4805583003541615E-45/","0/4/5/","yes"
"4","111392400","2147483647/2147483647/469440/166476/","0.0/0.0/0.13945127332308815/0.8605487266769118/","3/","yes"
"5","114499800","2147483647/2147483647/2147483647/23725841/2147483647/","1.3342737824945709E-39/1.3342737824945709E-39/1.3342737824945709E-39/1.0/1.3342737824945709E-39/","3/","yes"
