"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96852300","244/101165/691/","0.8611039952942156/1.0949871946405772E-179/0.13889600470578442/","0/","no"
"1","95313300","373066/79/373066/","0.0/1.0/0.0/","1/","no"
"2","95864400","143/373066/109/","0.4233366531422681/0.0/0.5766633468577319/","2/","no"
"3","87333700","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","87951600","1317511/216/716/","0.0/0.909219948278524/0.09078005172147598/","1/","no"
"5","88506200","535/1317511/143/","0.06167473878348326/0.0/0.9383252612165167/","2/","no"
"0","88338500","60/101165/60/","0.5/0.0/0.5/","0/2/","no"
"1","86474900","373066/50/373066/","0.0/1.0/0.0/","1/","no"
"2","89306200","1239/373066/68/","4.261691761593633E-8/0.0/0.9999999573830824/","2/","no"
"3","88298500","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","88398400","1317511/1477/525508/","0.0/1.0/1.0449584482285797E-154/","1/","no"
"5","87685100","1317511/1317511/143/","0.0/0.0/1.0/","2/","no"
"0","91797700","50/101165/54/","0.5195977978782956/0.0/0.48040220212170437/","0/2/","no"
"1","89164900","373066/109/373066/","0.0/1.0/0.0/","1/","no"
"2","88651500","1219/373066/50/","1.1099137419819342E-10/0.0/0.9999999998890086/","2/","no"
"3","85670800","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","86801800","1317511/216/1317511/","0.0/1.0/0.0/","1/","no"
"5","89009300","215/1317511/143/","0.3775406687981454/0.0/0.6224593312018546/","2/","no"
"0","91772400","111/101165/691/","0.9943955348885813/0.0/0.005604465111418631/","0/","no"
"1","86369600","373066/79/373066/","0.0/1.0/0.0/","1/","no"
"2","88970900","1239/373066/109/","3.456178952560932E-5/0.0/0.9999654382104745/","2/","no"
"3","85384400","1317511/128/1317511/","0.0/1.0/0.0/","1/","no"
"4","87698000","1317511/216/1836/","0.0/0.999427793237246/5.722067627540683E-4/","1/","no"
"5","88917700","251/1317511/215/","0.45842951678320015/0.0/0.5415704832167999/","0/2/","no"
"0","87258200","51/101165/51/","0.5/0.0/0.5/","0/2/","no"
"1","90749200","373066/109/373066/","0.0/1.0/0.0/","1/","no"
"2","93192600","139/373066/1098/","0.998941665565534/0.0/0.0010583344344660148/","0/","no"
"3","85742100","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","88374400","1317511/200/4773/","0.0/0.9999999998683986/1.3160135756775658E-10/","1/","no"
"5","89390400","1317511/1317511/215/","0.0/0.0/1.0/","2/","no"
"0","87999200","68/101165/50/","0.41266937561800915/0.0/0.5873306243819909/","2/","no"
"1","86424900","373066/109/373066/","0.0/1.0/0.0/","1/","no"
"2","90947800","3238/373066/50/","7.117657598103045E-28/0.0/1.0/","2/","no"
"3","85107300","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","88417400","1317511/207616/4773/","3.7949512686992256E-120/3.525453570115507E-19/1.0/","2/","no"
"5","90218400","215/1317511/215/","0.5/0.0/0.5/","0/2/","no"
"0","88805800","50/101165/51/","0.5049018037366292/0.0/0.4950981962633707/","0/2/","no"
"1","87074800","373066/60/373066/","0.0/1.0/0.0/","1/","no"
"2","88631500","295/373066/246/","0.45056687150616037/0.0/0.5494331284938397/","0/2/","no"
"3","87461200","1317511/3787/1317511/","2.4068311994382957E-151/1.0/2.4068311994382957E-151/","1/","no"
"4","86817800","1317511/216/1836/","0.0/0.999427793237246/5.722067627540683E-4/","1/","no"
"5","88341600","608/1317511/143/","0.038082762377593796/0.0/0.9619172376224062/","2/","no"
"0","88135100","50/101165/209/","0.9576148281723593/0.0/0.042385171827640594/","0/","no"
"1","86532300","373066/50/373066/","0.0/1.0/0.0/","1/","no"
"2","89037500","3186/373066/109/","7.105569663692613E-13/0.0/0.9999999999992895/","2/","no"
"3","85800500","1317511/128/1317511/","0.0/1.0/0.0/","1/","no"
"4","89758300","1317511/229/81915/","0.0/1.0/5.721137646972066E-155/","1/","no"
"5","86335800","222/1317511/215/","0.4918988571477974/0.0/0.5081011428522026/","0/2/","no"
"0","90530900","68/101165/50/","0.41266937561800915/0.0/0.5873306243819909/","2/","no"
"1","87660400","373066/109/373066/","0.0/1.0/0.0/","1/","no"
"2","91700900","1239/373066/50/","7.498556479843334E-11/0.0/0.9999999999250144/","2/","no"
"3","85134500","1317511/188/1317511/","0.0/1.0/0.0/","1/","no"
"4","87642900","1317511/246/1317511/","0.0/1.0/0.0/","1/","no"
"5","90578800","215/1317511/215/","0.5/0.0/0.5/","0/2/","no"
"0","87411400","68/101165/50/","0.41266937561800915/0.0/0.5873306243819909/","2/","yes"
"1","94677400","373066/79/373066/","0.0/1.0/0.0/","1/","yes"
"2","95477000","148646/373066/50/","0.0/0.0/1.0/","2/","yes"
"3","94215900","1317511/188/1317511/","0.0/1.0/0.0/","1/","yes"
"4","95235400","1317511/216/1317511/222/","0.0/0.5069120020441733/0.0/0.4930879979558267/","1/3/","yes"
"5","101536200","525508/1317511/143/1317511/1317511/","0.0/0.0/1.0/0.0/0.0/","2/","yes"
