"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103930600","1467/1793938/151/151/106872/","8.686730891404837E-5/0.0/0.499956566345543/0.499956566345543/5.965317607262636E-306/","2/3/","no"
"1","105761500","56786/50/128/5951414/1295/","0.0/0.8219202320507516/0.1780797679286926/0.0/2.0555827556041683E-11/","1/","no"
"2","106743300","360971/7572/5996/137249/360971/","1.1104441798257E-26/0.43467600641875836/0.5653239934045826/1.7665905318717218E-10/1.1104441798257E-26/","2/","no"
"3","100559700","141736/5951414/83/83/289/","0.0/0.0/0.4793660778660532/0.4793660778660532/0.04126784426789366/","2/3/","no"
"4","103247400","273/61218842/4403/153196043/8750/","0.9999997156309174/0.0/2.843690458590064E-7/0.0/3.6628253866489895E-14/","0/","no"
"5","103806300","11558/4694/2568/3793268/10327/","0.0199291840807288/0.28831163114803954/0.6595787075785511/0.0/0.032180477192680745/","2/","no"
"6","104463000","1077/91642/258153/191073762/743739/","1.0/3.2660753704469874E-37/2.701740118013111E-104/0.0/6.35816237590746E-300/","0/","no"
"7","99168000","3692/23445/65154/717/294/","8.028969048974677E-6/6.677220413706642E-35/2.637817286828919E-96/0.19249046422756885/0.8075015068033822/","4/","no"
"0","103490500","1467/43203/128/106872/106872/","3.105110964599984E-5/9.608651046596021E-146/0.9999689488903539/0.0/0.0/","2/","no"
"1","102482600","1045/50/6283/5951414/21934/","3.365114240041425E-9/0.9999999966348858/8.363765495439192E-54/0.0/4.4166132565534017E-187/","1/","no"
"2","99360100","7453/215/434/343/2008/","1.4612698868668334E-15/0.5219354840821483/0.1893609718808268/0.28857395433259964/1.2958970442379793E-4/","1/","no"
"3","100841700","936940/20026/3319/152/2364241/","0.0/3.864860016083462E-57/1.0242077948544538E-9/0.9999999989757923/0.0/","3/","no"
"4","102534300","588/61218842/327/153196043/50/","2.6104228513203663E-5/0.0/0.004357894784007076/0.0/0.9956160009874797/","4/","no"
"5","102574000","79861/601256/3566/1224/3539/","1.0175387976902228E-28/1.4434809794461073E-213/0.11379426172660255/0.7698755134394336/0.11633022483396381/","3/","no"
"6","104017900","743739/772/1430/4783331/44113/","0.0/0.700824885093959/0.2991751149060409/0.0/3.1285387990648575E-25/","1/","no"
"7","103022000","294/3325/405/283/360971/","0.3681884582121926/8.531924823986901E-6/0.24907395275055688/0.38272905711242655/0.0/","0/3/","no"
"0","101023200","1467/1793938/6024/4494307/1828/","0.5473903922598574/0.0/0.024555572436005854/0.0/0.42805403530413677/","0/","no"
"1","98848600","477/50/50/2920/477/","1.1553612583433342E-4/0.49988446387416563/0.49988446387416563/1.8161869872334425E-25/1.1553612583433342E-4/","1/2/","no"
"2","102599500","434/5951414/5996/137249/360971/","0.9999972008918117/0.0/2.799108188387015E-6/2.5520923745765207E-137/0.0/","0/","no"
"3","102552100","2804/846/846/50/3292/","3.532627395333023E-24/1.6657112019704345E-7/1.6657112019704345E-7/0.9999996668577597/2.468855837688009E-28/","3/","no"
"4","102561000","406/61218842/357/153196043/150/","0.12768173803258875/0.0/0.17662768759467742/0.0/0.6956905743727337/","4/","no"
"5","102613600","675/2074/1537/61218842/1500573/","0.7114221567179858/0.08981386634619581/0.1987639769358185/0.0/0.0/","0/","no"
"6","102478000","859/2100/1510/191073762/743739/","0.5864088070204349/0.1385171179696833/0.27507407500988196/0.0/0.0/","0/","no"
"7","103505000","3319/343/343/3292/3319/","8.743809844945337E-5/0.49986527315795387/0.49986527315795387/9.457748719322814E-5/8.743809844945337E-5/","1/2/","no"
"0","98977600","1500/6039/128/168/6196/","1.3870422359170129E-5/7.26078949229753E-21/0.5768961807158777/0.4230899488617632/2.1499278960450656E-21/","2/","no"
"1","108171100","21934/50/162/145479/1224/","3.974496147487856E-187/0.899896799479972/0.10010320042947467/0.0/9.055325071141992E-11/","1/","no"
"2","98323300","583/505/434/214/518/","0.0880756472259022/0.1265942095422941/0.17612946629993534/0.4900341793975566/0.1191664975343116/","3/","no"
"3","103714100","848/7739/936940/17994/215/","0.050663597816861104/7.071241687109133E-16/0.0/1.700438399905476E-36/0.9493364021831381/","4/","no"
"4","103524700","406/61218842/210600/218830/50/","9.29074467873763E-4/0.0/0.0/0.0/0.9990709255321262/","4/","no"
"5","105976800","5418/565984/1480596/94/3539/","4.583771182886311E-25/0.0/0.0/0.9999999999999999/1.7828328592280092E-16/","3/","no"
"6","102876800","45221/687/1195/191073762/45221/","5.231511785714944E-29/0.6766397752841147/0.3233602247158854/0.0/5.231511785714944E-29/","1/","no"
"7","102695300","21934/5951414/1135/360971/938/","1.0748201604010293E-10/0.0/0.44774212300245175/1.6757236752099127E-167/0.5522578768900662/","2/4/","no"
"0","100468900","50/291/1467/39911/272/","0.9787270986097847/0.008677753244283028/8.3962909341014E-13/0.0/0.012595148145092652/","0/","no"
"1","100287700","6400/1467/5351/43203/365/","6.576724067914552E-8/0.04693451681075805/1.1554464336512072E-6/1.4050191735459473E-51/0.9530642619755676/","4/","no"
"2","98809700","415/112/50/5951414/477/","6.007598748224805E-4/0.22851834774282725/0.7707027631987791/0.0/1.7812918357114092E-4/","2/","no"
"3","103534900","394/370329/322/50/394/","0.0011682439048954897/0.0/0.004793526640609612/0.9928699855495995/0.0011682439048954897/","3/","no"
"4","101052300","488/235222/1681/61218842/2568/","0.9079331686035685/3.049781878925536E-209/0.07916212552698772/0.0/0.01290470586944374/","0/","no"
"5","104661700","285/1574/1578/210600/28035/","0.9785598031082756/0.0107950629472888/0.010645133944435593/4.2144E-320/7.110080699453576E-43/","0/","no"
"6","108847400","17615/332/4774/191073762/16326/","2.882202123152325E-23/0.9999983901039549/1.6098960452234983E-6/0.0/1.3830003599464999E-21/","1/","no"
"7","102232700","361/56884/844/50724/2192/","0.7875797290934987/1.216662769269218E-68/0.2074126869270839/2.9879591931246085E-61/0.005007583979417444/","0/","no"
"0","100248000","1467/1793938/350/4494307/1828/","0.03927645964503384/0.0/0.9466803821075559/0.0/0.014043158247410302/","2/","no"
