"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","118585800","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","115615900","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/","1.957623101417677E-6/0.9185527048021663/0.048502862353783184/1.3816206266812745E-32/1.957623101417677E-6/4.0694242190661907E-104/0.0/1.957623101417677E-6/0.0/0.02490219985451373/3.534738348984788E-4/0.007678971039131351/0.0/0.0/1.957623101417677E-6/1.957623101417677E-6/0.0/","1/","no"
"2","116691600","512/170/79/1098/373066/1098/373066/373066/373066/186/22425/215/512/373066/373066/373066/373066/","0.002513324562857755/0.18065811970860343/0.5634656671525076/1.655928175514581E-6/0.0/1.655928175514581E-6/0.0/0.0/0.0/0.14791035839867706/2.7641480552828056E-122/0.1029358937581453/0.002513324562857755/0.0/0.0/0.0/0.0/","2/","no"
"3","116899100","15712/201/98/50/101165/320/101165/101165/101165/101165/201/101165/155/101165/101165/101165/101165/","2.616990254888891E-134/0.03183711092279647/0.23990438848323026/0.6148737322027985/0.0/0.0030873072973009188/0.0/0.0/0.0/0.0/0.03183711092279647/0.0/0.07846035017107728/0.0/0.0/0.0/0.0/","3/","no"
"4","114746800","1830/716/1317511/1317511/50/1317511/234/234/31465/1317511/716/234/1317511/234/716/716/3787/","6.274152801096133E-16/1.9226891192614887E-6/0.0/0.0/0.9021610389213134/0.0/0.024457817580552297/0.024457817580552297/2.7440927932553556E-268/0.0/1.9226891192614887E-6/0.024457817580552297/0.0/0.024457817580552297/1.9226891192614887E-6/1.9226891192614887E-6/1.3569654669193404E-32/","4/","no"
"5","114193000","713/234/234/234/1317511/50/31465/1317511/1317511/31465/234/1317511/3787/1317511/451/716/31465/","2.038481035943556E-6/0.024449420740627607/0.024449420740627607/0.024449420740627607/0.0/0.9018513096576469/2.743150693337913E-268/0.0/0.0/2.743150693337913E-268/0.024449420740627607/0.0/1.3564995945343034E-32/0.0/3.4704686978365764E-4/1.9220290230486433E-6/2.743150693337913E-268/","5/","no"
"6","117624600","512/373066/373066/373066/3041/512/50/2884/167/512/373066/138/373066/157/512/1308/474/","8.297524604184988E-5/0.0/0.0/0.0/2.415747803408842E-26/8.297524604184988E-5/0.7130920919429795/5.248042595726933E-25/0.07191557964941693/8.297524604184988E-5/0.0/0.12699152820744972/0.0/0.08749409956944577/8.297524604184988E-5/1.3821284286269843E-11/1.7479963271913474E-4/","6/","no"
"7","113480500","705/1179/1317511/1317511/1442/1317511/293/50/293/1317511/1179/293/716/293/4549/1179/525508/","2.5570024948327996E-6/2.351511697590334E-10/0.0/0.0/1.3544098681491722E-12/0.0/0.008244215192104503/0.9670185206086426/0.008244215192104503/0.0/2.351511697590334E-10/0.008244215192104503/2.060913636795553E-6/0.008244215192104503/4.7189896580748114E-39/2.351511697590334E-10/0.0/","7/","no"
"8","115345100","211/373066/373066/373066/22844/373066/3238/3238/54/373066/373066/3171/373066/246/373066/58686/54/","0.02757685252151238/0.0/0.0/0.0/5.301725787983156E-181/0.0/3.45585621831525E-26/3.45585621831525E-26/0.478914554603762/0.0/0.0/1.1684370157740022E-25/0.0/0.01459403827096365/0.0/0.0/0.478914554603762/","8/16/","no"
"9","116072000","713/1179/11833/1317511/1317511/713/293/1317511/1317511/50/1317511/12001/293/1317511/713/716/293/","2.2039413505191067E-6/2.371049657312999E-10/4.466546114458257E-101/0.0/0.0/2.2039413505191067E-6/0.008312713743284742/0.0/0.0/0.9750531686718793/0.0/1.6571228480961664E-102/0.008312713743284742/0.0/2.2039413505191067E-6/2.078037110035709E-6/0.008312713743284742/","9/","no"
"10","116186000","567/128/12187/3787/234/12187/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/","3.0489219249536545E-5/0.16691104605883067/3.412943148394363E-104/1.1587370590216377E-32/0.020884967454416026/3.412943148394363E-104/0.0/3.0489219249536545E-5/0.0/0.0/0.770371431320828/0.0/1.6418185943403882E-6/0.0/0.020884967454416026/0.020884967454416026/0.0/","10/","no"
"11","116172700","512/512/512/373066/1092/373066/109/977/200/373066/373066/50/373066/8674/373066/22942/8674/","8.50817187980797E-5/8.50817187980797E-5/8.50817187980797E-5/0.0/9.790412051111398E-10/0.0/0.22993983726555725/9.334529858606368E-9/0.03860971667442416/0.0/0.0/0.7311951905900532/0.0/2.6649434279028517E-74/0.0/8.422092328951631E-196/2.6649434279028517E-74/","11/","no"
"12","114473300","705/1317511/294/293/1317511/1179/30582/716/1317511/30582/716/1317511/50/1317511/1179/1317511/30582/","2.6002880506923943E-6/0.0/0.008220988670469265/0.00838377525821218/0.0/2.3913186555992633E-10/9.887699692357847E-261/2.0958012806393065E-6/0.0/9.887699692357847E-261/2.0958012806393065E-6/0.0/0.9833884437024428/0.0/2.3913186555992633E-10/0.0/9.887699692357847E-261/","12/","no"
"13","110647600","6128/101165/101165/101165/15712/101165/5922/343/50/101165/101165/5922/101165/60/101165/6128/60/","6.600048014701535E-53/0.0/0.0/0.0/1.6078547370609644E-134/0.0/3.7476254431132457E-51/0.0012082763299090015/0.3777727644074083/0.0/0.0/3.7476254431132457E-51/0.0/0.31050947963134135/0.0/6.600048014701535E-53/0.31050947963134135/","8/13/16/","no"
"14","115332100","210/215/373066/373066/215/257/3238/215/373066/3171/215/373066/257/373066/50/211/3238/","0.0339635187306869/0.0307917794803619/0.0/0.0/0.0307917794803619/0.013513894016498273/5.569834135430995E-28/0.0307917794803619/0.0/2.0719820733438825E-27/0.0307917794803619/0.0/0.013513894016498273/0.0/0.7825375214614753/0.03330405385339365/5.569834135430995E-28/","14/","no"
"15","113960500","670/716/1317511/1317511/716/276/80624/716/80624/276/716/80624/1317511/1287/197/50/1317511/","4.863994526846617E-6/1.973678844683194E-6/0.0/0.0/1.973678844683194E-6/0.011018712198682234/0.0/1.973678844683194E-6/0.0/0.011018712198682234/1.973678844683194E-6/0.0/0.0/2.709451643134317E-11/0.05186346250984996/0.9260863543557855/0.0/","15/","no"
"16","114784000","716/1317511/1317511/1317511/207616/716/678/80624/138/716/1317511/80624/1317511/3787/716/1317511/50/","1.8090197428729606E-6/0.0/0.0/0.0/0.0/1.8090197428729606E-6/3.810967749060595E-6/0.0/0.15116367261554872/1.8090197428729606E-6/0.0/0.0/0.0/1.276741671579647E-32/1.8090197428729606E-6/0.0/0.8488252803377307/","16/","no"
"17","116372100","567/1317511/294/234/1317511/716/80624/1317511/80624/716/1317511/80624/234/3787/716/451/1317511/","0.06379764427432703/0.0/0.2038569237734595/0.2631535080405384/0.0/0.033841021243655275/7.153772427540014E-150/0.0/7.153772427540014E-150/0.033841021243655275/0.0/7.153772427540014E-150/0.2631535080405384/7.145723539925919E-8/0.033841021243655275/0.10451528068293564/0.0/","3/12/","no"
"18","116153600","567/451/31465/4075/716/31465/234/716/1317511/234/451/1317511/234/1317511/567/716/234/","0.04279529723749634/0.07010858400121972/3.3883475790914406E-59/1.4073297427609496E-8/0.022700470831106285/3.3883475790914406E-59/0.17652270273898787/0.022700470831106285/0.0/0.17652270273898787/0.07010858400121972/0.0/0.17652270273898787/0.0/0.04279529723749634/0.022700470831106285/0.17652270273898787/","6/9/12/16/","no"
"19","114701900","509/403/920/1035/512/1035/373066/512/373066/214/403/373066/373066/373066/155/155/373066/","0.03028640293864743/0.059751006949780576/0.0021729451933041864/0.0010396706622651359/0.029709536681900947/0.0010396706622651359/0.0/0.029709536681900947/0.0/0.20068258985392415/0.059751006949780576/0.0/0.0/0.0/0.29292881671311544/0.29292881671311544/0.0/","14/15/","no"
