"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111347800","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","117637200","716/50/229/4075/716/31465/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/","1.965114820077203E-6/0.922067956759165/0.027572392629756436/4.892841776171341E-35/1.965114820077203E-6/2.80464343490143E-268/0.0/1.965114820077203E-6/0.0/0.02499749923833189/3.548265603146456E-4/0.02499749923833189/0.0/0.0/1.965114820077203E-6/1.965114820077203E-6/0.0/","1/","no"
"2","122151700","512/175/50/1056/373066/941/373066/373066/373066/211/3238/211/512/373066/373066/373066/373066/","9.932039531233353E-5/0.07358482328416811/0.8535628617498057/2.3150691398916656E-9/0.0/2.207269918593859E-8/0.0/0.0/0.0/0.03632682489381668/6.075368188392083E-28/0.03632682489381668/9.932039531233353E-5/0.0/0.0/0.0/0.0/","2/","no"
"3","113629700","15809/209/150/50/101165/328/101165/101165/101165/101165/209/101165/151/101165/101165/101165/101165/","4.632172449829812E-135/0.032270278477673525/0.10261759207312013/0.729087457876462/0.0/0.003129312407512357/0.0/0.0/0.0/0.0/0.032270278477673525/0.0/0.10062508068755846/0.0/0.0/0.0/0.0/","3/","no"
"4","113929800","1830/716/1317511/1317511/50/1317511/1836/234/31465/1317511/716/234/1317511/234/716/716/3787/","6.431452082918206E-16/1.9708928572345433E-6/0.0/0.0/0.9247791178889447/0.0/5.717623707434308E-16/0.025070999513208448/2.8128899423392574E-268/0.0/1.9708928572345433E-6/0.025070999513208448/0.0/0.025070999513208448/1.9708928572345433E-6/1.9708928572345433E-6/1.390985947479915E-32/","4/","no"
"5","118756000","713/234/234/234/1317511/50/12187/1317511/1317511/12187/234/1317511/3787/1317511/451/716/12187/","2.038481035943556E-6/0.024449420740627607/0.024449420740627607/0.024449420740627607/0.0/0.9018513096576469/3.995432752340348E-104/0.0/0.0/3.995432752340348E-104/0.024449420740627607/0.0/1.3564995945343034E-32/0.0/3.4704686978365764E-4/1.9220290230486433E-6/3.995432752340348E-104/","5/","no"
"6","115458900","512/373066/373066/373066/977/512/60/977/204/512/373066/109/512/3171/512/22942/425/","3.910610659563402E-4/0.0/0.0/0.0/1.9126658463968472E-7/3.910610659563402E-4/0.6460936829397673/1.9126658463968472E-7/0.0609643200356433/3.910610659563402E-4/0.0/0.28935833246085185/3.910610659563402E-4/4.5843410337144764E-23/3.910610659563402E-4/7.943789170917324E-164/0.0016279767007865496/","6/","no"
"7","116431200","713/1469/1317511/1317511/1179/1317511/208227/50/208227/1317511/1498/290/716/290/4600/1199/208227/","2.220170394338416E-6/8.102317941343909E-13/0.0/0.0/2.3885092275403227E-10/0.0/0.0/0.9822331149970414/0.0/0.0/4.588360337736583E-13/0.008881285546018814/2.09333903960338E-6/0.008881285546018814/1.7633329528710052E-39/1.6136723663508553E-10/0.0/","7/","no"
"8","113438400","156/373066/373066/373066/3328/373066/425/3328/50/373066/373066/425/373066/914/373066/512/109/","0.08683326705508689/0.0/0.0/0.0/8.458093517799865E-29/0.0/4.446268025293301E-4/8.458093517799865E-29/0.6939647604672605/0.0/0.0/4.446268025293301E-4/0.0/3.047038624538792E-8/0.0/8.074959376880699E-5/0.2182319388084389/","8/","no"
"9","113253200","643/1356/31465/1317511/1317511/643/265/1317511/1317511/50/1317511/31465/265/1317511/643/716/265/","8.539461771793105E-6/7.241413213147855E-12/2.9126146106202653E-268/0.0/0.0/8.539461771793105E-6/0.014135755072130737/0.0/0.0/0.9575650756246331/0.0/2.9126146106202653E-268/0.014135755072130737/0.0/8.539461771793105E-6/2.040766418032898E-6/0.014135755072130737/","9/","no"
