"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105466300","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","116859400","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","103148900","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","103428900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","109884300","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","103303500","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98886400","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","103442300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","99598700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","105442900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","105854700","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","100602600","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","102338700","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","102627000","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","100682400","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104495000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","101653900","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","100763200","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","105438100","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","100672400","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","102572600","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104358800","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","102411300","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","103809300","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98995000","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","103362100","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","101598100","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","101756100","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","109303900","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","102868100","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","100502100","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","101643900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","100016700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","102246000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","105417800","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","100735000","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98285100","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","103298800","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","100361200","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","106477300","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","106628800","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","105106800","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98726400","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","99172700","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","105644000","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","102195900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","104415000","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","103583100","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","99043600","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","102388900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","101110100","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","102569000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","104389700","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","100273400","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98183500","50/48054/38036/","1.0/0.0/0.0/","0/","yes"
"1","106015800","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","yes"
"2","106993800","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","yes"
"3","108513900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","yes"
"4","120255400","138071/9942/18012/2202285/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/1.208714316849849E-96/","1/","yes"
"5","117728900","2062/47485/1801/340979/3119/","0.3687199841541807/4.163312833378068E-12/0.42618629937129343/7.679838759357887E-83/0.20509371647036248/","0/2/","yes"
