"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99344400","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","95025700","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","96835800","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","92379100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","91589100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","91773900","691/79/5922/","4.758176188383357E-4/0.9995241823811617/1.9055049612076375E-32/","1/","no"
"0","92039600","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"1","90038400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","93524100","2111/2111/5922/","0.46198662742954716/0.46198662742954716/0.07602674514090568/","0/1/","no"
"3","88044600","691/79/5922/","4.758176188383357E-4/0.9995241823811617/1.9055049612076375E-32/","1/","no"
"4","90067300","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","90806600","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","87387800","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"1","89176300","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","92324700","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","88828500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","88609500","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/","no"
"5","88816800","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","89323400","140/2111/2111/","0.9999983011821353/8.494089323310916E-7/8.494089323310916E-7/","0/","no"
"1","91523500","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","87756500","79/2111/50/","0.36155359365622713/1.796875681302703E-18/0.6384464063437728/","2/","no"
"3","90357200","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"4","87975800","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/","no"
"5","89381400","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","88908100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","93143400","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","90285600","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","88929400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"4","89690700","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/","no"
"5","88907000","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"0","90105700","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","88586700","2111/50/140/","2.4029722069526365E-18/0.8537980596190329/0.1462019403809671/","1/","no"
"2","91597200","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","87229800","2111/50/5922/","2.8144503022469383E-18/1.0/9.920316645886167E-51/","1/","no"
"4","89653700","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","94096400","691/691/140/","0.019308983398609984/0.019308983398609984/0.96138203320278/","2/","no"
"0","88568100","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"1","90913000","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","90976600","5922/198/691/","2.971788482779686E-13/0.9225412772188718/0.07745872278083099/","1/","no"
"3","87224000","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/","no"
"4","90258200","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","90296700","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","90807200","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","90481800","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"2","90704300","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","89077900","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","90299300","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"5","91591600","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","no"
"0","89649600","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"1","89400400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"2","96387500","691/272/5922/","0.17729268723024227/0.8227073119242853/8.454725001275671E-10/","1/","no"
"3","91115900","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","no"
"4","91791600","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/","no"
"5","89142600","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/","no"
"0","89030400","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/","yes"
"1","94575900","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/","yes"
"2","92605400","272/2111/691/","0.8219046286046497/9.756616999742153E-4/0.17711970969537608/","0/","yes"
"3","93508700","50/2111/2111/","1.0/2.8144503022469383E-18/2.8144503022469383E-18/","0/","yes"
"4","97275300","50/2111/2111/50/","0.5/1.4072251511234692E-18/1.4072251511234692E-18/0.5/","0/3/","yes"
"5","109412000","79/691/2111/50/2111/","0.3615527904804217/2.2214571216500936E-6/1.796871689620424E-18/0.6384449880624566/1.796871689620424E-18/","3/","yes"
