"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","112687200","787/36824800/1469863019/","1.0/0.0/0.0/","0/","no"
"1","109077700","12059/234390286/1469863019/","1.0/0.0/0.0/","0/","no"
"2","117148100","2147483647/2147483647/50/","0.0/0.0/1.0/","2/","no"
"3","106096000","236513/153196043/596/","2.3959545803351398E-172/0.0/1.0/","2/","no"
"4","110097300","3450112/1005298862/2147483647/","1.0/7.743670695379666E-127/1.296066389792543E-270/","0/","no"
"5","110092200","23725841/1005298862/2147483647/","1.0/1.0779478827767092E-18/1.3342737824945709E-39/","0/","no"
"0","110303000","4004/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","111188600","2228338/5797843/1469863019/","0.8322793059287873/0.16772069407121273/7.656998006834813E-287/","0/","no"
"2","112254700","188193549/17757/9220/","0.0/0.2837732110965519/0.7162267889034482/","2/","no"
"3","107044300","236513/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","107189800","1116045/337659267/2147483647/","1.0/1.0931350539559425E-131/0.0/","0/","no"
"5","107946600","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","111000800","2550689/112196018/2147483647/","1.0/2.1438004874855867E-19/0.0/","0/","no"
"1","113243500","10334/50/478056859/","2.6656004983505577E-88/1.0/0.0/","1/","no"
"2","111011300","2147483647/17757/8742/","0.0/0.2628688473151193/0.7371311526848807/","2/","no"
"3","105886300","236513/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","109605100","3450112/397743778/2147483647/","1.0/2.3279283301491873E-50/1.296066389792543E-270/","0/","no"
"5","106941600","30769/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","111472300","4004/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","111464100","1795/36824800/1469863019/","1.0/0.0/0.0/","0/","no"
"2","113171700","2147483647/2147483647/2147483647/","0.3333333333333333/0.3333333333333333/0.3333333333333333/","0/1/2/","no"
"3","107733000","746966/478056859/687/","0.0/0.0/1.0/","2/","no"
"4","109868300","3522964/2147483647/2147483647/","1.0/5.042612116553768E-265/5.042612116553768E-265/","0/","no"
"5","110112400","23725841/397743778/2147483647/","0.9999998575334749/1.4246652517171134E-7/1.3342735924052215E-39/","0/","no"
"0","107468300","4004/44178309/2147483647/","1.0/0.0/0.0/","0/","no"
"1","112891400","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/","no"
"2","112036200","188193549/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","108010800","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","104718900","2147483647/2147483647/469440/","0.0/0.0/1.0/","2/","no"
"5","104461500","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","111011500","4004/44178309/2147483647/","1.0/0.0/0.0/","0/","no"
"1","110068300","37284/14449899/1469863019/","1.0/1.3253287144503153E-168/0.0/","0/","no"
"2","109427600","2147483647/38132/18081/","0.0/0.24807735845550247/0.7519226415444975/","2/","no"
"3","107312000","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","108862800","3450112/2147483647/2147483647/","1.0/1.296066389792543E-270/1.296066389792543E-270/","0/","no"
"5","105244600","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","112657700","4004/283228681/2147483647/","1.0/0.0/0.0/","0/","no"
"1","111790600","37284/14449899/1469863019/","1.0/1.3253287144503153E-168/0.0/","0/","no"
"2","111174200","2147483647/2147483647/50/","0.0/0.0/1.0/","2/","no"
"3","107535800","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","108067400","3450112/1005298862/2147483647/","1.0/7.743670695379666E-127/1.296066389792543E-270/","0/","no"
"5","105597100","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","110045700","50/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","110062100","3786/97/1469863019/","4.48657425347107E-17/1.0/0.0/","1/","no"
"2","110321800","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","106447300","153196043/153196043/61218842/","0.1540213676339739/0.1540213676339739/0.6919572647320522/","2/","no"
"4","109446700","3522964/2147483647/2147483647/","1.0/5.042612116553768E-265/5.042612116553768E-265/","0/","no"
"5","102895400","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","114070300","814132/36824800/1469863019/","1.0/6.170495026753516E-20/0.0/","0/","no"
"1","109258000","14449899/36824800/1469863019/","0.824689284125801/0.17531071587419897/1.4913284912295113E-44/","0/","no"
"2","109334800","289278/2147483647/534426/","0.7000308678090381/0.0/0.2999691321909619/","0/","no"
"3","107148800","210600/3793268/153196043/","0.9999999590796427/4.092035737908891E-8/3.29937715E-316/","0/","no"
"4","112160300","3450112/1005298862/2147483647/","1.0/7.743670695379666E-127/1.296066389792543E-270/","0/","no"
"5","108236000","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","114159300","4004/44178309/2147483647/","1.0/0.0/0.0/","0/","yes"
"1","112209400","1796212/11916807/478056859/","0.9964399239505574/0.0035600760494426537/7.023179338141759E-116/","0/","yes"
"2","109882000","114187/2147483647/64059/","0.31377779978532144/0.0/0.6862222002146785/","2/","yes"
"3","106622200","225999/153196043/61218842/","1.0/1.1067364730608427E-294/6.204064799860463E-118/","0/","yes"
"4","114599700","1116045/850994868/2147483647/134167684/","1.0/0.0/0.0/1.677727252972815E-52/","0/","yes"
"5","108124000","1116045/850994868/2147483647/52640370/2147483647/","1.0/0.0/0.0/8.912367219810195E-21/0.0/","0/","yes"
