"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","265725300","9406019/834/566/912/602/469440/523/566/787/29353/649/649/776/692/728/523/566/771/733/645/","0.0/0.04271627289906294/0.07123828094480678/0.036808359663345516/0.06650838550800085/0.0/0.07733072827683804/0.07123828094480678/0.046724778015691325/9.85978699808441E-26/0.0608026504584307/0.0608026504584307/0.047716009421755405/0.056012356175416084/0.052293392377228555/0.07733072827683804/0.07123828094480678/0.048173494039649656/0.05179678271444594/0.06126856888044568/","2/4/6/7/15/16/","no"
"1","274571500","3450112/50/3450112/6305/50/1286209/50/6305/6574/166476/1131/1239/6607/1131/6305/1131/6305/1131/6607/6305/","0.0/0.3333333330480029/0.0/1.811081007341289E-54/0.3333333330480029/0.0/0.3333333330480029/1.811081007341289E-54/9.273578948778913E-57/0.0/2.0774895321195212E-10/2.499518824662306E-11/4.855492605583261E-57/2.0774895321195212E-10/1.811081007341289E-54/2.0774895321195212E-10/1.811081007341289E-54/2.0774895321195212E-10/4.855492605583261E-57/1.811081007341289E-54/","1/4/6/","no"
"2","294111400","3450112/862/50/751/523/524810/523/750/978/29698/523/523/750/750/750/750/750/523/50/276/","0.0/6.048416957582355E-8/0.4969253136115393/5.331763642077016E-7/4.660394598989645E-5/0.0/4.660394598989645E-5/5.437339704122107E-7/6.220634224909861E-9/1.6843498700599137E-253/4.660394598989645E-5/4.660394598989645E-5/5.437339704122107E-7/5.437339704122107E-7/5.437339704122107E-7/5.437339704122107E-7/5.437339704122107E-7/4.660394598989645E-5/0.4969253136115393/0.005912490761981236/","2/18/","no"
"3","263835100","7910293/682/513/15931/682/513/682/513/147356/145561/808/808/17898/808/17898/808/808/808/18185/17898/","0.0/0.08429242899611605/0.11710673981914343/1.100112996439101E-14/0.08429242899611605/0.11710673981914343/0.08429242899611605/0.11710673981914343/9.91731119135792E-126/3.2587039277174592E-124/0.06596708225903494/0.06596708225903494/2.395842241225012E-16/0.06596708225903494/2.395842241225012E-16/0.06596708225903494/0.06596708225903494/0.06596708225903494/1.370765135175936E-16/2.395842241225012E-16/","2/5/7/","no"
"4","271264200","78730/388/78730/9167/523/69871/523/56652/63252/479954/2315/2315/2315/2315/8111/2315/2315/2315/8111/56652/","1.3948862530314376E-88/0.4060174600726625/1.3948862530314376E-88/6.417017939710576E-11/0.2869627630818723/1.084089932645526E-78/0.2869627630818723/6.212446021810565E-64/2.6593171434205844E-71/0.0/0.002865287394509201/0.002865287394509201/0.002865287394509201/0.002865287394509201/9.689292188986048E-10/0.002865287394509201/0.002865287394509201/0.002865287394509201/9.689292188986048E-10/6.212446021810565E-64/","1/","no"
"5","266070300","3450112/508/5151/10404/333/469440/305/50/7900/169252/1202/1769/1828/1769/78/1769/1769/1840/5299/6746/","0.0/7.923931098461248E-5/2.296739191117226E-44/4.253829171077365E-89/0.0024500043413443347/0.0/0.004242316245391971/0.6296155558908041/8.949268718670976E-68/0.0/9.752804202886225E-11/1.4480939397292893E-15/4.553838552711101E-16/1.4480939397292893E-15/0.36361288411394016/1.4480939397292893E-15/1.4480939397292893E-15/3.59907330703173E-16/1.2612643657051046E-45/6.008480404029912E-58/","7/","no"
"6","269032500","9381745/175/6758/8765/122/1286209/122/66693/69771/67477/1627/1446/7544/1446/7544/1312/6305/1627/7544/6305/","0.0/0.24525177001260257/1.399684795525912E-24/1.1471373124898675E-31/0.37735244742774016/0.0/0.37735244742774016/3.3463293066522304E-236/4.535384181537367E-247/5.7066693649413224E-239/1.831549895430317E-6/7.978155634441556E-6/2.348456823875666E-27/7.978155634441556E-6/2.348456823875666E-27/2.371572085741722E-5/5.565510983760081E-23/1.831549895430317E-6/2.348456823875666E-27/5.565510983760081E-23/","4/6/","no"
"7","271216900","3680860/489/122/11171/840/469440/377/5604/8845/181244/1312/1769/7691/1769/6193/1950/1769/7788/6096/7238/","0.0/0.04290686601917478/0.847907625439143/8.241248469143256E-40/0.0024728549258839576/0.0/0.10665517488683632/3.734494945806078E-20/1.345082183867908E-31/0.0/5.3289015865309443E-5/1.2972972659969349E-6/1.5971624141570619E-27/1.2972972659969349E-6/3.1085764467791934E-22/2.978212986496891E-7/1.2972972659969349E-6/7.258663858803009E-28/6.839966085918656E-22/6.350733384583182E-26/","2/","no"
"8","288326400","1116045/1009/234/1009/1009/408902/1009/234/1116/49722/1470/1578/1591/1470/1470/1470/1470/1470/1591/1470/","0.0/0.016670703505304453/0.45102611305745954/0.016670703505304453/0.016670703505304453/0.0/0.016670703505304453/0.45102611305745954/0.01057331896117406/1.5751719990994607E-92/0.002344215419691036/0.001480494719726116/0.0014008191225630554/0.002344215419691036/0.002344215419691036/0.002344215419691036/0.002344215419691036/0.002344215419691036/0.0014008191225630554/0.002344215419691036/","2/7/","no"
"9","271914000","432/5938/307/7544/5604/234/6758/307/6758/185844/6391/5938/7544/7092/7544/6758/5151/6391/432/6305/","0.12942192553699244/8.64132917449936E-12/0.2203005391914873/9.302369348951485E-15/3.579588728032965E-11/0.30055507023871264/2.637363651867187E-13/0.2203005391914873/2.637363651867187E-13/0.0/1.2572123334635872E-12/8.64132917449936E-12/9.302369348951485E-15/6.36674467381279E-14/9.302369348951485E-15/2.637363651867187E-13/2.4603962023695987E-10/1.2572123334635872E-12/0.12942192553699244/1.8127667747147706E-12/","5/","no"
"10","282531100","3450112/3161/3450112/63863/2230/3450112/2230/72723/3450112/72723/234/50/716/531/11091/531/531/50/7900/7722/","0.0/1.5889391004705577E-27/0.0/0.0/1.3462026511584668E-19/0.0/1.3462026511584668E-19/0.0/0.0/0.0/0.013372243686263623/0.49325403695468/1.0512249243422324E-6/3.95437264840288E-5/4.70514601371377E-95/3.95437264840288E-5/3.95437264840288E-5/0.49325403695468/7.011044886003854E-68/2.2990882674134017E-66/","11/17/","no"
"11","281814700","3493484/8570/3450112/10719/1769/469440/1769/166476/8839/174171/305/127/839/512/6746/305/512/512/7193/7238/","0.0/1.3679673656412041E-29/0.0/6.993241672612644E-37/1.6269080710617076E-6/0.0/1.6269080710617076E-6/0.0/1.6725485757319804E-30/0.0/0.1508711325390546/0.6061036709090721/0.0023269328931382963/0.029941292434512712/2.11238027782887E-23/0.1508711325390546/0.029941292434512712/0.029941292434512712/6.428865546937064E-25/4.523271844623289E-25/","11/","no"
"12","278676800","70868269/1453/1499/248281/1299/10638081/1343/1499/6255/4020599/50/234/1723/572/188879/572/234/234/188879/206908/","0.0/1.043894419487532E-12/4.235844264325497E-13/0.0/2.1382358154349022E-11/0.0/9.023399057071636E-12/4.235844264325497E-13/1.3392160711554269E-53/0.0/0.9247250390197035/0.025069533421167443/5.2414385102283276E-15/3.318034224624224E-5/0.0/3.318034224624224E-5/0.025069533421167443/0.025069533421167443/0.0/0.0/","10/","no"
"13","268205200","3450112/1131/3450112/6797/1131/1334301/1328/6305/6797/174171/50/50/239/512/6305/697/50/234/6338/6305/","0.0/2.042221570807206E-10/0.0/1.1503698146603417E-58/2.042221570807206E-10/0.0/4.290757576320902E-12/1.7803356611372019E-54/1.1503698146603417E-58/0.0/0.32767458631918145/0.32767458631918145/0.00805375665739347/3.812814603989402E-5/1.7803356611372019E-54/1.0135933307217638E-6/0.32767458631918145/0.008883342232956346/9.321543155942222E-55/1.7803356611372019E-54/","10/11/16/","no"
"14","278311800","50/8322/68/8322/7266/388/7266/406/76471/72271/7266/7266/7650/7650/5151/7266/7650/7650/50/7650/","0.36970326224725814/1.3396502630395559E-71/0.2597603599438585/1.3396502630395559E-71/1.316563717779915E-62/4.893142829917505E-4/1.316563717779915E-62/3.438012786335664E-4/0.0/0.0/1.316563717779915E-62/1.316563717779915E-62/7.070659135163495E-66/7.070659135163495E-66/1.3486197466735255E-44/1.316563717779915E-62/7.070659135163495E-66/7.070659135163495E-66/0.36970326224725814/7.070659135163495E-66/","0/18/","no"
"15","279217400","3661170/1477/3661170/7439/1477/24416585/1593/7169/7439/184189/188/188/372/799/7169/661/188/188/7169/7169/","0.0/2.4248034027872075E-4/0.0/4.840258880624814E-18/2.4248034027872075E-4/0.0/1.3125789109839884E-4/2.0197112236569798E-17/4.840258880624814E-18/0.0/0.22213186170813565/0.22213186170813565/0.08390843994067217/0.00876237462734714/2.0197112236569798E-17/0.018185520027782048/0.22213186170813565/0.22213186170813565/2.0197112236569798E-17/2.0197112236569798E-17/","10/11/16/17/","no"
"16","267408800","3450112/2315/3493484/10404/1840/476379/1769/166476/8015/166476/305/50/310/50/6924/333/50/50/6779/6746/","0.0/1.2833412660731316E-20/0.0/1.6820197783365732E-89/1.4231207325557382E-16/0.0/5.725953134354711E-16/0.0/3.711479986710651E-69/0.0/0.0016774674167041369/0.24895823860469926/0.001520814353489737/0.24895823860469926/7.245073648331575E-60/9.687638110084068E-4/0.24895823860469926/0.24895823860469926/1.2439462799144308E-58/2.375831861335983E-58/","11/13/16/17/","no"
"17","266248000","1007268457/2155/9105447/11505/8392/1286209/1769/184506/8570/186465/431/204/1106/175/9179/305/50/638/9357/8392/","0.0/1.0397051451566741E-18/0.0/2.490320121024039E-98/8.039883019750465E-72/0.0/2.0133687832162443E-15/0.0/2.4517536594237743E-73/0.0/4.986166736086396E-4/0.042736900379614425/8.907413127475716E-10/0.0754666000957524/1.5976799445109534E-78/0.0058983377132288/0.8753909334741538/8.61077289868687E-6/4.872107766891711E-80/8.039883019750465E-72/","16/","no"
"18","277322400","50/8053/50/8053/7266/50/7266/50/8053/199524/7266/7266/7266/7266/5151/7266/7266/7266/388/5151/","0.2499173065805983/1.7685811228840776E-69/0.2499173065805983/1.7685811228840776E-69/8.899895994675811E-63/0.2499173065805983/8.899895994675811E-63/0.2499173065805983/1.7685811228840776E-69/0.0/8.899895994675811E-63/8.899895994675811E-63/8.899895994675811E-63/8.899895994675811E-63/9.116592930268523E-45/8.899895994675811E-63/8.899895994675811E-63/8.899895994675811E-63/3.307736776066868E-4/9.116592930268523E-45/","0/2/5/7/","no"
"19","274227200","93/252/682/6975/78/469440/50/50/7067/176947/1202/1131/1190/1131/78/1131/1131/1202/5568/5151/","0.11939663780019387/0.00528463726743058/1.1516396535156509E-6/2.9701868743954474E-60/0.1602233354476574/0.0/0.27743545078271914/0.27743545078271914/4.890469914348978E-61/0.0/4.2975012372353245E-11/1.7291077359999802E-10/5.437546041702047E-11/1.7291077359999802E-10/0.1602233354476574/1.7291077359999802E-10/1.7291077359999802E-10/4.2975012372353245E-11/2.8457852774815674E-48/1.0120411842690494E-44/","6/7/","no"
"0","273204400","50/590/5420/21410/416/9955/387/8859/6305/9036/2047/1975/1298/2083/711/1975/2083/2154/18451/18754/","0.9978629142444582/2.515699253907969E-5/1.8638742621970988E-46/1.2773889868466338E-182/7.627273264874329E-4/4.4902449615412156E-85/0.0013468557059319603/9.668155037733985E-76/5.421631720395973E-54/3.0066736156242282E-77/9.850572311759543E-18/4.0418769234575806E-17/2.3530407197542428E-11/4.8629595003750725E-18/2.3457070531560373E-6/4.0418769234575806E-17/4.8629595003750725E-18/1.2086334491703064E-18/2.0133472970104317E-157/5.2929591084183115E-160/","0/","no"
"1","274246600","3570341/50/3450112/6797/697/1286209/50/6305/6797/174171/1131/1131/6830/1131/6797/1131/1131/1328/6830/6797/","0.0/0.4999992258957486/0.0/1.7553513175529914E-58/1.546643840851043E-6/0.0/0.4999992258957486/2.716617307440812E-54/1.7553513175529914E-58/0.0/3.11622947626631E-10/3.11622947626631E-10/9.190729263918E-59/3.11622947626631E-10/1.7553513175529914E-58/3.11622947626631E-10/3.11622947626631E-10/6.547274510257565E-12/9.190729263918E-59/1.7553513175529914E-58/","1/6/","no"
