"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111730700","952/78/78/78/375/60/78/148/","1.0568906766697825E-7/0.1764186306779987/0.1764186306779987/0.1764186306779987/0.0013552789429053032/0.23697193616011197/0.1764186306779987/0.05599815649592033/","5/","no"
"1","108902800","2178/691/80/724/123/83/97/269/","1.6297691327905192E-12/1.5307875107110146E-4/0.28899433892254917/1.0185447658676092E-4/0.169956564572023/0.2784866331598818/0.23428318036926618/0.02802434974699243/","2/5/6/","no"
"2","105772600","239/68/502/82/78/79/78/1468/","0.018704709181246247/0.22296976729397874/4.1361533364424016E-4/0.18202383478728537/0.1928877962691327/0.190112480521647/0.1928877962691327/3.439330285867905E-10/","1/3/4/5/6/","no"
"3","101055900","375/50/54/50/54/54/54/134/","2.8982192571868747E-4/0.16970479468917576/0.15690319976757783/0.16970479468917576/0.15690319976757783/0.15690319976757783/0.15690319976757783/0.03268778962561843/","1/2/3/4/5/6/","no"
"4","104518300","15712/198/691/753/60/691/753/328/","3.28417874265693E-112/0.09324312549317328/2.8817948372892776E-5/1.042915195850875E-5/0.8956103279361902/2.8817948372892776E-5/1.042915195850875E-5/0.011068052369973632/","4/","no"
"5","105005700","565/89/214/90/89/50/93/1535/","1.4402238845117802E-5/0.1628715289685275/0.014040995940946101/0.15970907534534773/0.1628715289685275/0.3499070705647039/0.15058539797302312/7.912601147693813E-14/","5/","no"
"6","103671300","1535/79/83/79/83/54/83/168/","4.851988359610489E-13/0.15236286335342453/0.14167527768210866/0.15236286335342453/0.14167527768210866/0.24004115536304105/0.14167527768210866/0.030207284883298713/","5/","no"
"7","102454200","10317/102/72/571/1535/102/10317/1468/","4.821985601346082E-62/0.2849096625141436/0.42971880825855485/4.6186373473843163E-4/8.500549606925805E-10/0.2849096625141436/4.821985601346082E-62/2.1283647188447358E-9/","2/","no"
"0","103138100","50/123/50/123/50/123/123/348/","0.25260036487257487/0.06036660805925291/0.25260036487257487/0.06036660805925291/0.25260036487257487/0.06036660805925291/0.06036660805925291/7.324731452638723E-4/","0/2/4/","no"
"1","105116200","6089/50/282/272/54/282/282/97/","1.5856759858663117E-52/0.42246472622545495/0.004468649989532455/0.005436659330720219/0.3905963143534892/0.004468649989532455/0.004468649989532455/0.16809635012173818/","1/4/","no"
"2","107587700","529/80/50/83/79/51/90/160/","1.9860851021438683E-5/0.13227945901027366/0.238209870157224/0.12472274938443878/0.13489876948787002/0.23358458253496892/0.1087268057760226/0.027557902798180715/","2/5/","no"
"3","100714700","952/50/123/68/123/123/123/50/","5.69692648540358E-9/0.2733329825307842/0.06532130321516379/0.19204881638084992/0.06532130321516379/0.06532130321516379/0.06532130321516379/0.2733329825307842/","1/7/","no"
"4","102186500","4028/1484/79/10317/203/80/4028/1484/","1.6586331518483216E-22/1.0722964448218344E-8/0.4545814446886834/1.1988790826762222E-56/0.09648399057440672/0.44893454329098104/1.6586331518483216E-22/1.0722964448218344E-8/","2/5/","no"
"5","103526400","3989/50/50/89/60/50/89/214/","5.977629189241734E-35/0.2086368486842618/0.2086368486842618/0.09711436379247831/0.17148859161008007/0.2086368486842618/0.09711436379247831/0.008372134752177853/","1/2/4/5/","no"
"6","108825400","3989/79/60/79/182/89/79/565/","2.692106379016304E-29/0.18520663831746711/0.2528882206416455/0.18520663831746711/0.034224698967740094/0.15720296472436002/0.18520663831746711/6.420071385331E-5/","2/","no"
"7","104310000","10317/3989/182/103/1468/182/97/3989/","1.8413190855184726E-46/2.033031800490656E-18/0.15106203152714273/0.338259382915192/3.0209820168050026E-7/0.15106203152714273/0.3596162519323209/2.033031800490656E-18/","3/6/","no"
"0","104475800","348/68/69/125/69/68/50/69/","6.163274617765022E-4/0.14933904869562575/0.14643935334297165/0.04884109927690383/0.14643935334297165/0.14933904869562575/0.2125464158411532/0.14643935334297165/","6/","no"
"1","105727500","308/93/93/84/93/64/102/868/","0.005530368594907074/0.1511007412103036/0.1511007412103036/0.17354003345708108/0.1511007412103036/0.2360634490620853/0.13156292262643635/1.0026285792731683E-6/","5/","no"
"2","101561900","10317/3989/182/1551/60/182/10317/3989/","7.420237996848344E-74/8.377812690856123E-29/0.10650697891716816/1.9084059374501205E-11/0.7869860421465796/0.10650697891716816/7.420237996848344E-74/8.377812690856123E-29/","4/","no"
"3","103179900","64/55/159/952/2474/65/161/161/","0.2707240734623893/0.31792465119995017/0.04963377510309814/3.51444891103802E-8/5.525271675671572E-20/0.2659326231373297/0.04789242097637175/0.04789242097637175/","0/1/5/","no"
"4","104870700","806/122/97/140/272/140/140/2111/","1.8596738274144806E-4/0.19981818028313833/0.25788400616001533/0.16629018840591459/0.043241280650002864/0.16629018840591459/0.16629018840591459/3.063582975747943E-10/","2/","no"
"5","105082300","3989/68/68/228/78/68/1535/89/","4.4519128827128103E-26/0.2127172210062001/0.2127172210062001/0.020928735166920367/0.18401847248771838/0.2127172210062001/1.2425798822827093E-10/0.15690112920250301/","1/2/4/5/","no"
"6","104407900","592/60/54/60/54/54/54/168/","9.539982810092354E-6/0.1514815260615909/0.16894185228827532/0.1514815260615909/0.16894185228827532/0.16894185228827532/0.16894185228827532/0.021259998740906953/","1/2/3/4/5/6/","no"
"7","102673800","4028/97/68/112/1468/97/3989/1468/","4.1842159679990973E-26/0.23110605019199443/0.3518364904760153/0.1859514080545735/5.427111989457201E-10/0.23110605019199443/7.363510096406257E-26/5.427111989457201E-10/","2/","no"
"0","103097700","50/60/60/60/60/60/60/148/","0.16452607914639095/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.024082861971934474/","0/1/2/3/4/5/6/","no"
"1","104809000","15712/93/111/97/93/111/97/691/","1.2358598994115917E-73/0.17953765464724758/0.14824934200009313/0.17205802414994423/0.17953765464724758/0.14824934200009313/0.17205802414994423/3.0995840543006576E-4/","1/2/3/4/5/6/","no"
"2","106047500","3989/79/79/182/182/79/1535/102/","1.380960051092162E-22/0.23244698548319578/0.23244698548319578/0.06414602850267181/0.06414602850267181/0.23244698548319578/2.898440221275757E-9/0.17436698364662873/","1/2/5/","no"
"3","105700500","952/348/60/348/78/60/68/159/","1.1624582143964348E-7/0.0023206234673786275/0.2606418808033617/0.0023206234673786275/0.19404020768771144/0.2606418808033617/0.22860595935501032/0.05142870816997604/","2/5/6/","no"
"4","105586200","2127/274/51/83/79/201/282/697/","2.0803196742020295E-18/0.0062236749554387/0.4534214742204281/0.24504392598428773/0.264637393121946/0.025335503564665/0.005336203298373824/1.8248548607137138E-6/","2/","no"
"5","105708000","214/68/69/73/69/54/72/565/","0.011403925009520694/0.16214695436774954/0.1592254673786198/0.1480565001761794/0.1592254673786198/0.2091493320651871/0.15077305768448457/1.9295939639178214E-5/","5/","no"
"6","104464100","565/193/93/168/89/93/64/93/","1.1402842931236979E-4/0.034874972141540776/0.16242737516257322/0.05123304971003739/0.17273686781692782/0.16242737516257322/0.25375895641446194/0.16242737516257322/","6/","no"
"7","105893100","10317/3989/203/25963/565/203/10317/3989/","1.3551515108958037E-22/4.014508397588153E-9/0.4609215568780645/6.657393187654046E-56/0.0781568782148542/0.4609215568780645/1.3551515108958037E-22/4.014508397588153E-9/","2/5/","no"
"0","103076000","348/50/50/51/50/50/54/123/","4.7172888150795895E-4/0.1626802134116675/0.1626802134116675/0.15952147453580912/0.1626802134116675/0.1626802134116675/0.1504085142079437/0.03887742872806899/","1/2/3/4/5/6/","no"
"1","105835700","2178/297/132/285/126/93/107/717/","6.706678698404937E-11/0.032886472548463004/0.19025790632130413/0.03736449712893727/0.20279798598935758/0.2880903569777291/0.24822559755365006/3.7718341349199245E-4/","5/6/","no"
"2","104727600","3989/50/68/97/50/68/97/157/","6.626437880735228E-35/0.23128218122442445/0.1625031444901803/0.09202588547303348/0.23128218122442445/0.1625031444901803/0.09202588547303348/0.028377577624723534/","1/4/","no"
"3","101643400","348/50/51/50/51/51/51/125/","4.711162491118609E-4/0.16246894127454176/0.15931430464012336/0.16246894127454176/0.15931430464012336/0.15931430464012336/0.15931430464012336/0.03733378264131118/","1/2/3/4/5/6/","no"
"4","103795400","2335/89/89/308/79/89/297/89/","1.2167303257438248E-13/0.1896757945354616/0.1896757945354616/0.012278088735156917/0.21493083316207948/0.1896757945354616/0.014087899960795524/0.1896757945354616/","1/2/4/5/7/","no"
"5","103365300","157/50/97/97/68/79/97/157/","0.03308976762694327/0.2696873473196374/0.10730708611694048/0.10730708611694048/0.18948732555462577/0.1527245335210289/0.10730708611694048/0.03308976762694327/","1/","no"
"6","103511300","182/89/97/89/79/89/89/565/","0.04921909601027164/0.15739863731570675/0.1424201765911225/0.15739863731570675/0.17835602238911952/0.15739863731570675/0.15739863731570675/4.101557466595525E-4/","1/3/4/5/6/","no"
"7","102263700","2474/148/50/6209/68/60/2474/952/","8.54228475662606E-22/0.054803544816361814/0.3743995361708773/1.336256801175774E-53/0.26306004899009255/0.3077368622192682/8.54228475662606E-22/7.803400138490294E-9/","2/5/","no"
"0","102907800","54/82/2474/55/54/82/136/2474/","0.22679677349875235/0.13631432557788095/1.7647356864562692E-20/0.22271045670336892/0.22679677349875235/0.13631432557788095/0.05106734514336438/1.7647356864562692E-20/","0/3/4/","no"
"1","104367900","308/64/102/65/93/83/72/5922/","0.00484408831373951/0.20676961675859212/0.11523687889502131/0.20361289050378886/0.1323501900701988/0.15436154082406617/0.1828247946345932/1.4980686752143148E-40/","1/3/6/","no"
"2","106304000","193/72/72/61/50/54/82/1535/","0.013098614079797267/0.14047864000510552/0.14047864000510552/0.17429368535902776/0.21624845424847297/0.19993586202748712/0.11546610427495507/4.8901205811932016E-14/","3/4/5/","no"
"3","106851800","952/50/50/60/60/50/60/375/","3.812024848019347E-9/0.1828972383372389/0.1828972383372389/0.15033197639642165/0.15033197639642165/0.1828972383372389/0.15033197639642165/3.1235198699373754E-4/","1/2/3/4/5/6/","no"
"4","108310800","5922/209/282/282/93/282/282/717/","6.414124506940322E-28/0.15924930538585613/0.0732497758612373/0.0732497758612373/0.5470353829794528/0.0732497758612373/0.0732497758612373/7.162081897418037E-4/","4/","no"
"5","105407700","3989/50/68/97/50/68/97/157/","6.626437880735228E-35/0.23128218122442445/0.1625031444901803/0.09202588547303348/0.23128218122442445/0.1625031444901803/0.09202588547303348/0.028377577624723534/","1/4/","no"
"6","104935200","3989/79/203/50/203/68/157/68/","8.970752218937303E-35/0.1773124131623128/0.015588612407328138/0.31310565008865077/0.015588612407328138/0.2199938293027246/0.03841705332893106/0.2199938293027246/","3/","no"
"7","100514500","4028/1484/69/25963/68/69/4028/1484/","4.0025603388467665E-26/4.117054459062693E-10/0.3317191563779279/3.473373631000738E-164/0.3365616864207332/0.3317191563779279/4.0025603388467665E-26/4.117054459062693E-10/","2/4/5/","no"
"0","103727000","50/123/50/123/50/123/123/348/","0.25260036487257487/0.06036660805925291/0.25260036487257487/0.06036660805925291/0.25260036487257487/0.06036660805925291/0.06036660805925291/7.324731452638723E-4/","0/2/4/","no"
"1","106598800","15712/111/68/107/115/68/107/753/","8.197681203193143E-100/0.12832249520713163/0.23930406813569344/0.13598133091298278/0.12109502580704753/0.23930406813569344/0.13598133091298278/1.1680888468516441E-5/","2/5/","no"
"2","104496100","565/80/50/89/83/51/80/206/","9.972824472717624E-6/0.1345468524319072/0.24229300972102222/0.1127803244671841/0.12686061374825025/0.23758844035081975/0.1345468524319072/0.011373934024436509/","2/5/","no"
"3","101425700","54/134/123/54/123/134/54/134/","0.23414102255645275/0.054673445787903424/0.06677829748346575/0.23414102255645275/0.06677829748346575/0.054673445787903424/0.23414102255645275/0.054673445787903424/","0/3/6/","no"
"4","109057900","2178/132/89/136/691/89/132/343/","2.1336339225852904E-11/0.15925061915125685/0.2567895711340563/0.15232779393812845/3.196169828266136E-4/0.2567895711340563/0.15925061915125685/0.01527220848708227/","2/5/","no"
"5","103248700","228/78/529/79/78/79/79/1535/","0.029276273048423947/0.19549045830477205/6.483340618744416E-4/0.19303149145615806/0.19549045830477205/0.19303149145615806/0.19303149145615806/1.91168328481257E-9/","1/3/4/5/6/","no"
"6","103278400","1535/50/168/50/168/54/168/54/","5.4545311873088174E-14/0.24120753636259223/0.02385353011176031/0.24120753636259223/0.02385353011176031/0.22301216846974/0.02385353011176031/0.22301216846974/","1/3/5/7/","no"
"7","107076200","4028/1468/68/10317/68/68/3989/1468/","3.9641671410444944E-26/5.141698990662493E-10/0.3333333329905534/1.0337436977652162E-65/0.3333333329905534/0.3333333329905534/6.976261500402876E-26/5.141698990662493E-10/","2/4/5/","no"
"0","100644500","50/60/60/60/60/60/60/148/","0.16452607914639095/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.13523184314694575/0.024082861971934474/","0/1/2/3/4/5/6/","no"
"1","105813100","2268/753/132/760/132/79/115/297/","4.783050514870439E-13/8.019674075007178E-5/0.18852442913760545/7.347776732010871E-5/0.18852442913760545/0.3656686502056074/0.23316062553663025/0.023968191474003066/","5/","no"
