"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","173002700","50/371977/1227/1385/7666/402177/368677/384147/","0.9999999999008395/0.0/9.487779957149306E-11/4.2825581412332705E-12/1.3975178673380879E-65/0.0/0.0/0.0/","0/","no"
"1","169388200","45803/10289/15187/46247/14056/18094/3920/3773/","6.3994016954478145E-6/0.07814953468244003/0.021344559091063746/5.689130599988178E-6/0.02880298128609699/0.00988013912774645/0.4225143736788819/0.43929632360147547/","6/7/","no"
"2","171410200","1577/1696/406/1212/52985/117687/1724/1133/","0.039008181772597905/0.029118919593967493/0.6929246688463251/0.0956386770577315/5.440027550385556E-57/4.948985315896204E-126/0.02718300745033343/0.11612654527904463/","2/","no"
"3","192239700","3025800/1317158/1013312/4960/8500/18955/1198625/18091/","2.1921268900612636E-265/8.285683265824562E-116/3.2925344898064016E-89/0.6171640272053712/0.30234508227891416/0.036749734644079934/1.9720196542090457E-105/0.043741155871634546/","3/","no"
"4","182031900","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","183838100","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","182657100","14562/31986/5724862/14729/105414/30096298/50/6578/","2.6419886851794964E-124/1.1130086710990333E-272/0.0/9.996072896219114E-126/0.0/0.0/1.0/2.572209372642442E-56/","6/","no"
"7","196993200","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","162649100","305/369104/1218/1427/7215/398159/351074/373237/","0.9292222570261275/0.0/0.04702539724979213/0.023752345579199103/1.4488125038734002E-10/0.0/0.0/0.0/","0/","no"
"1","166461800","46261/8694/14872/46261/14246/16326/3996/3931/","8.588207663335334E-6/0.12112289444945354/0.025168547676742006/8.588207663335334E-6/0.02951213744665291/0.017388494270123896/0.4000611807887794/0.40672956895292156/","6/7/","no"
"2","152783700","1472/1420/160/1004/49952/102536/1383/925/","2.8470061725505174E-4/3.9323977047844063E-4/0.9851079276326558/0.005209663058106871/4.791783767937134E-135/6.857138930543274E-277/4.948393643449325E-4/0.008509629557158928/","2/","no"
"3","179956100","3025800/1319045/1011426/4960/8490/18907/1200512/18043/","2.1890783241860627E-265/5.656303571806709E-116/4.8087215684051884E-89/0.6163057442285645/0.3025338244926141/0.037055426943170114/1.3462187071261384E-105/0.04410500433565103/","3/","no"
"4","180256600","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","188163900","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","199844900","14538/31924/5724862/14715/105328/30058632/68/6553/","8.395397406765508E-92/3.1219077444525623E-201/0.0/6.456267275139354E-93/0.0/0.0/1.0/1.5226946576385163E-41/","6/","no"
"7","179016700","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","159849800","305/363951/1171/1367/7077/403553/346242/378632/","0.9173405283623594/0.0/0.05413134425332213/0.028528127159784786/2.2453366164860944E-10/0.0/0.0/0.0/","0/","no"
"1","150405800","16447/3617/4647/16447/4740/5319/1168/868/","9.195147904118104E-9/0.02374238976228725/0.007257182167480805/9.195147904118104E-9/0.006520636928434367/0.0033490910329543586/0.3975989628496091/0.5615317188689383/","7/","no"
"2","155691200","1454/1859/263/1099/50581/112145/1453/991/","0.00972017563516168/0.0020961719046631504/0.8849820162091294/0.037296543599641456/1.4827373128088896E-83/7.850676477786006E-185/0.009757064303059268/0.05614802834834484/","2/","no"
"3","184000800","3025800/1316740/1011982/4960/8491/18978/1198206/17727/","2.1840261695963813E-265/8.980756386842263E-116/4.288969633934085E-89/0.6148833776279957/0.30177477378741924/0.03644457553411828/2.1378802190239716E-105/0.04689727305046668/","3/","no"
"4","187913900","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","184974200","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","182851900","14561/31986/5724862/14700/105414/30094772/50/6577/","2.6943036001069753E-124/1.1130086710990333E-272/0.0/1.7651482187201123E-125/0.0/0.0/1.0/2.6231425637118467E-56/","6/","no"
"7","196599500","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","154999700","50/374388/1305/1410/7728/399766/371088/381737/","0.9999999999768204/0.0/2.055651615778331E-11/2.623093769608492E-12/4.1437307514502203E-66/0.0/0.0/0.0/","0/","no"
"1","159731500","44156/9186/17632/44600/13260/18069/3601/3344/","2.307337897028011E-6/0.08005778784646125/0.006409530935042883/2.0205282930705307E-6/0.023684279178841004/0.005624563476047652/0.42513421763805953/0.45908529305935764/","6/7/","no"
"2","159184100","627/1431/68/685/49394/110540/1348/545/","3.0266715093789083E-4/2.633240075697351E-9/0.9985734258706632/1.305888685169513E-4/3.4314095047667E-311/0.0/8.768042756419756E-9/9.933067085991132E-4/","2/","no"
"3","181254400","3025800/1316837/1013875/4960/8494/18970/1198625/18106/","2.1918575456189544E-265/8.83844483727022E-116/2.9389417537657132E-89/0.61708819687754/0.30267377599385353/0.03663428477990419/1.971777354123045E-105/0.04360374234870225/","3/","no"
"4","174542400","65375578/9433/3883834/66913035/50/3962204/9248/8447/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/0.0/4.717510245470281E-79/3.123855174918378E-72/","4/","no"
"5","189232600","133386/13006/40080/115063/45574/7116/18697/76347/","1.1962256466453686E-8/0.2652508754569167/0.005909404848728081/1.5700791729233885E-7/0.002730789191979466/0.6068441327484632/0.11922844997658832/3.617880715035181E-5/","5/","no"
"6","184567700","14529/31903/5724862/14715/105328/30045915/50/6545/","5.045974248960644E-124/5.6661951516859633E-272/0.0/1.3153687129615455E-125/0.0/0.0/1.0/4.912701681917751E-56/","6/","no"
"7","191830000","20697/21757/19780/18823/15992/18865/11726/50/","1.509591541701513E-176/1.4201907925045957E-185/9.719514007116888E-169/1.37104834612498E-160/1.756524872828818E-136/6.017256018881647E-161/3.733450334784745E-100/1.0/","7/","no"
"0","156558300","50/369750/1182/1367/7159/401104/351721/379774/","0.9999999997646252/0.0/2.2927970657698997E-10/6.095139826969818E-12/2.9023878932953033E-61/0.0/0.0/0.0/","0/","no"
"1","149923000","42675/8694/17160/43119/12667/16673/3364/3155/","1.6692616674216765E-6/0.07918100233409375/0.005415292495722124/1.4501935100051837E-6/0.02248535954802629/0.006318843159635579/0.42862527048950977/0.45797111251783496/","6/7/","no"
