"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","143343700","50/50/201/40251/198/691/198/198/198/201/","0.43043673054107334/0.43043673054107334/0.022287278213020463/0.0/0.023637621198860738/1.4976963690827949E-6/0.023637621198860738/0.023637621198860738/0.023637621198860738/0.022287278213020463/","0/1/","no"
"1","146295300","78/50/269/101165/40251/269/101165/269/269/269/","0.3509115278139391/0.6076224641804276/0.008293201601126723/0.0/0.0/0.008293201601126723/0.0/0.008293201601126723/0.008293201601126723/0.008293201601126723/","1/","no"
"2","202975200","2147483647/2147483647/5085/709/216862/216862/16420/16420/50/50/","0.0/0.0/6.653250237120906E-44/1.222372359587211E-6/0.0/0.0/1.9904733193424174E-140/1.9904733193424174E-140/0.4999993888138202/0.4999993888138202/","8/9/","no"
"3","207457300","2147483647/2147483647/5085/709/216862/216862/20541/20541/709/50/","0.0/0.0/1.3306451677925605E-43/2.4447357540421856E-6/0.0/0.0/3.2157887403982436E-175/3.2157887403982436E-175/2.4447357540421856E-6/0.999995110528492/","9/","no"
"4","190539900","4496716/31331541/535/534/50/50/50/50/534/535/","0.0/0.0/1.852900649163309E-5/1.8895905639891748E-5/0.24998128754393423/0.24998128754393423/0.24998128754393423/0.24998128754393423/1.8895905639891748E-5/1.852900649163309E-5/","4/5/6/7/","no"
"5","191939200","4496716/31331541/51/51/51/51/50/51/51/51/","0.0/0.0/0.12469136798612236/0.12469136798612236/0.12469136798612236/0.12469136798612236/0.12716042409714343/0.12469136798612236/0.12469136798612236/0.12469136798612236/","2/3/4/5/6/7/8/9/","no"
"6","200459900","11945988/81330290/50/50/50/50/50/482/50/50/","0.0/0.0/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/2.9933619285063483E-5/0.14285286662581642/0.14285286662581642/","2/3/4/5/6/8/9/","no"
"7","192223000","11945988/81330290/50/50/50/50/50/482/50/50/","0.0/0.0/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/2.9933619285063483E-5/0.14285286662581642/0.14285286662581642/","2/3/4/5/6/8/9/","no"
"8","207723100","131258114/879781035/54/51/54/54/54/54/54/50/","0.0/0.0/0.12281727318962866/0.13025853370634602/0.12281727318962866/0.12281727318962866/0.12281727318962866/0.12281727318962866/0.12281727318962866/0.13283782715588208/","2/3/4/5/6/7/8/9/","no"
"9","204949700","340908187/2147483647/50/51/50/50/50/534/50/50/","0.0/0.0/0.14325295630898927/0.14047143375818105/0.14325295630898927/0.14325295630898927/0.14325295630898927/1.0828387883130893E-5/0.14325295630898927/0.14325295630898927/","2/3/4/5/6/8/9/","no"
"0","152178000","50/50/2899/148646/58441/2884/2884/2884/2884/2899/","0.5/0.5/2.7421301524255397E-25/0.0/0.0/3.6797789899951505E-25/3.6797789899951505E-25/3.6797789899951505E-25/3.6797789899951505E-25/2.7421301524255397E-25/","0/1/","no"
"1","143074400","50/50/502/25963/10317/502/25963/502/502/502/","0.4998231052082324/0.4998231052082324/7.075791670708465E-5/1.0830328535601982E-221/1.859414513600652E-88/7.075791670708465E-5/1.0830328535601982E-221/7.075791670708465E-5/7.075791670708465E-5/7.075791670708465E-5/","0/1/","no"
"2","211275200","2147483647/2147483647/3439/51/191147/191147/16420/16427/51/51/","0.0/0.0/1.68625358458892E-29/0.3333333333333333/0.0/0.0/6.486149167803913E-138/5.669231787988696E-138/0.3333333333333333/0.3333333333333333/","3/8/9/","no"
"3","199693600","2147483647/2147483647/16420/50/576679/576679/59379/66138/50/50/","0.0/0.0/1.3269838349633065E-140/0.33333333333333337/0.0/0.0/0.0/0.0/0.33333333333333337/0.33333333333333337/","3/8/9/","no"
"4","186015800","4496716/747002/600/600/600/600/600/629/600/629/","0.0/0.0/0.12648964454993294/0.12648964454993294/0.12648964454993294/0.12648964454993294/0.12648964454993294/0.12053106635020118/0.12648964454993294/0.12053106635020118/","2/3/4/5/6/7/8/9/","no"
"5","195812700","11945988/81330290/50/50/50/50/50/482/50/50/","0.0/0.0/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/0.14285286662581642/2.9933619285063483E-5/0.14285286662581642/0.14285286662581642/","2/3/4/5/6/8/9/","no"
"6","193762900","4496716/31331541/50/51/50/50/50/1399/50/50/","0.0/0.0/0.14325450752429597/0.14047295485375783/0.14325450752429597/0.14325450752429597/0.14325450752429597/4.662227596973616E-13/0.14325450752429597/0.14325450752429597/","2/3/4/5/6/8/9/","no"
"7","202093300","1775085/12631480/229/229/229/229/229/229/229/229/","0.0/0.0/0.125/0.125/0.125/0.125/0.125/0.125/0.125/0.125/","2/3/4/5/6/7/8/9/","no"
"8","198193900","340908187/2147483647/34028/34487/1846/34487/1846/34028/34028/34028/","0.0/0.0/1.3547308360811062E-8/1.0566374939185176E-8/0.49999996233900834/1.0566374939185176E-8/0.49999996233900834/1.3547308360811062E-8/1.3547308360811062E-8/1.3547308360811062E-8/","4/6/","no"
"9","199988500","340908187/2147483647/774/774/774/774/773/774/774/51/","0.0/0.0/9.154477200854399E-7/9.154477200854399E-7/9.154477200854399E-7/9.154477200854399E-7/9.332228508519347E-7/9.154477200854399E-7/9.154477200854399E-7/0.9999935740908286/","9/","no"
"0","145842500","50/50/2111/101165/40251/2111/101165/2111/2111/2111/","0.5/0.5/1.4072251511234692E-18/0.0/0.0/1.4072251511234692E-18/0.0/1.4072251511234692E-18/1.4072251511234692E-18/1.4072251511234692E-18/","0/1/","no"
"1","142890400","78/78/269/269/40251/269/101165/5922/269/101165/","0.4243585510984507/0.4243585510984507/0.037820724450774584/0.037820724450774584/6.035910790280322E-222/0.037820724450774584/0.0/3.169101099279908E-33/0.037820724450774584/0.0/","0/1/","no"
