"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101659700","50/109/95/109/109/109/109/109/95/109/","0.24820580233032905/0.07805357930506514/0.10270957126710753/0.07805357930506514/0.07805357930506514/0.07805357930506514/0.07805357930506514/0.07805357930506514/0.10270957126710753/0.07805357930506514/","0/","no"
"1","121333000","14902303/50/505/434/887/5996/17994/17994/50724/17994/","0.0/0.9993298420804148/1.3338925032156928E-4/5.366941669076569E-4/7.450235595840725E-8/2.3231733306408122E-51/1.5709987924321092E-153/1.5709987924321092E-153/0.0/1.5709987924321092E-153/","1/","no"
"2","108678300","50/65/64/136/64/136/2335/50/122/64/","0.17733163459246926/0.13214555100102895/0.13476220992067164/0.03284327847817063/0.13476220992067164/0.03284327847817063/6.175758608375871E-21/0.17733163459246926/0.043217993095676276/0.13476220992067164/","0/7/","no"
"3","113075900","1317511/525508/207616/50/30484/1173/50/302/302/451/","0.0/0.0/0.0/0.49635743415548667/3.409505141007646E-260/1.3576891612096336E-10/0.49635743415548667/0.00354706261997053/0.00354706261997053/1.9100631331666105E-4/","3/6/","no"
"4","111447200","4494307/302/278324/1926/123/362/361/302/289/302/","0.0/0.10434046873688739/0.0/2.1408982167170646E-7/0.4419548276993405/0.06431470651269316/0.06483547053323774/0.10434046873688739/0.11587337495424478/0.10434046873688739/","4/","no"
"5","109969500","14902303/5951414/2364241/360971/360971/50/50/17994/5996/1798/","0.0/0.0/0.0/0.0/0.0/0.4999999999999997/0.4999999999999997/7.860261578707523E-154/1.1623656338553874E-51/6.512376891102139E-16/","5/6/","no"
"6","116005600","14902303/5951414/2364241/360971/360971/50/50/17994/5996/1798/","0.0/0.0/0.0/0.0/0.0/0.4999999999999997/0.4999999999999997/7.860261578707523E-154/1.1623656338553874E-51/6.512376891102139E-16/","5/6/","no"
"7","109623400","30484/11469/4231/361/302/73/73/60/73/78/","5.903885347324924E-218/1.412483490513652E-82/4.803032350125857E-31/0.0017151281571829201/0.004511821353624971/0.19263539949112438/0.19263539949112438/0.23839144144184699/0.19263539949112438/0.177475410573972/","5/6/7/8/","no"
"8","108312100","2884/8282/1302/112/97/112/112/97/112/112/","7.08792506462875E-14/8.48926326614613E-38/7.265623625140267E-7/0.13641079764283637/0.15897264261169233/0.13641079764283637/0.13641079764283637/0.15897264261169233/0.13641079764283637/0.13641079764283637/","3/4/5/6/7/8/9/","no"
"9","115144400","373066/58441/22425/51/2899/51/50/50/50/246/","0.0/0.0/5.840972514774867E-192/0.1968017912673964/1.1006840801022018E-25/0.1968017912673964/0.20069873035176616/0.20069873035176616/0.20069873035176616/0.004300226409908662/","3/5/6/7/8/","no"
"0","106963800","50/157/157/10317/157/10317/10317/157/10317/157/","0.619776879824507/0.0760446240350986/0.0760446240350986/2.3056599695600352E-88/0.0760446240350986/2.3056599695600352E-88/2.3056599695600352E-88/0.0760446240350986/2.3056599695600352E-88/0.0760446240350986/","0/","no"
"1","112846800","711063/364/278324/364/128/50/1494/1467/4824/1467/","0.0/0.001735513852728415/0.0/0.001735513852728415/0.17746164812375467/0.8190673241689693/4.138327509955339E-13/7.026603798042479E-13/1.8194907966572386E-41/7.026603798042479E-13/","5/","no"
"2","112678200","10317/535/50/170/170/55/216/55/50/55/","7.517454120684577E-89/1.4978058791082132E-5/0.20207421391935887/0.019215050440996605/0.019215050440996605/0.18320317994761956/0.0077969533776392356/0.18320317994761956/0.20207421391935887/0.18320317994761956/","2/5/7/8/9/","no"
"3","111814900","4494307/50/711063/50/50/1467/4824/4824/4824/14312/","0.0/0.33333333333323806/0.0/0.33333333333323806/0.33333333333323806/2.8595955386083826E-13/7.404726257811123E-42/7.404726257811123E-42/7.404726257811123E-42/1.1849614389364995E-122/","1/3/4/","no"
"4","111002700","1317511/50/207616/50/11076/68/348/302/1173/302/","0.0/0.3676726571704524/0.0/0.3676726571704524/4.706493485401275E-95/0.25833361920468123/0.0010661518551686225/0.002627457249337816/1.0056969980973352E-10/0.002627457249337816/","1/3/","no"
"5","111838400","361582/363588/138296/18033/18033/5996/1939/434/50/54/","0.0/0.0/0.0/3.801067461994957E-154/3.801067461994957E-154/1.2075882672997951E-51/4.2620558984366755E-17/2.789742678851923E-4/0.5194528434630378/0.480268182269077/","8/9/","no"
"6","113439300","7671210/7671210/3030195/455732/455732/50/54/22128/7304/2165/","0.0/0.0/0.0/0.0/0.0/0.5195977978782956/0.48040220212170437/5.113691545033586E-189/8.783425755165426E-63/5.072472134656548E-19/","5/6/","no"
"7","109875200","80624/30484/11469/1377/1235/384/55/50/55/60/","0.0/1.8888634797583445E-260/1.5845928614793807E-98/1.3776269924087252E-12/2.230199583485721E-11/3.936413145988203E-4/0.24930205630145832/0.2749816737351426/0.24930205630145832/0.22602057232366218/","6/7/8/9/","no"
"8","109943800","101165/198/5922/697/201/80/79/50/50/50/","0.0/0.012987575918582163/2.3461684435818255E-51/7.315678965433842E-7/0.01224563653740743/0.13133071608125813/0.1339312401780127/0.23650136657228102/0.23650136657228102/0.23650136657228102/","7/8/9/","no"
"9","110317900","148646/58686/22425/2884/2884/246/109/50/109/50/","0.0/0.0/1.0980806629293737E-191/2.77680534927664E-25/2.77680534927664E-25/0.008084262432316731/0.11865187339302885/0.3773059953908128/0.11865187339302885/0.3773059953908128/","7/9/","no"
"0","104857700","64/2474/952/952/952/952/952/952/952/952/","0.9999906684203757/7.901196252310245E-17/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/1.1664474530686967E-6/","0/","no"
"1","113128000","14902303/50/2364241/50/289/1912/6283/5996/17994/5996/","0.0/0.497705335796265/0.0/0.497705335796265/0.0045893284074700405/6.933713907681793E-17/4.162690728436708E-54/1.1570311562320686E-51/7.824188256954221E-154/1.1570311562320686E-51/","1/3/","no"
"2","108990100","697/691/50/272/201/79/343/50/78/50/","7.344574474404465E-7/8.261522831615827E-7/0.2374355009693265/0.0030555354131512344/0.012294004419881434/0.13446024252629724/7.594186842753162E-4/0.2374355009693265/0.13712273543868456/0.2374355009693265/","2/7/9/","no"
"3","111255300","1317511/128/80624/304/11115/129/128/302/128/1173/","0.0/0.2218439920987734/2.2196830422736927E-272/0.056692011563252605/2.2748406720231215E-38/0.22013091962414857/0.2218439920987734/0.057577806362160595/0.2218439920987734/6.728615411803732E-5/","1/5/6/8/","no"
"4","109912200","1793938/303/278324/1920/122/361/361/302/289/302/","0.0/0.10265977236170733/0.0/2.0045493016661222E-7/0.4471817248012311/0.06406355415389026/0.06406355415389026/0.10349780668487796/0.11503558070459503/0.10349780668487796/","4/","no"
"5","110832700","14902303/17994/2364241/17994/360971/50/17994/5996/2170/434/","0.0/1.5712084918136655E-153/0.0/1.5712084918136655E-153/0.0/0.9994632341943136/1.5712084918136655E-153/2.323483431458859E-51/8.845885237555488E-19/5.367658056863927E-4/","5/","no"
"6","114647200","19280164/7680747/3030195/455732/455732/203/50/22128/7304/2165/","0.0/0.0/0.0/0.0/0.0/0.047425873177566774/0.9525741268224331/9.374886264415216E-189/1.6102578096753462E-62/9.299319077625023E-19/","6/","no"
"7","110237700","58686/8842/3108/285/285/65/64/64/51/64/","0.0/9.20464935074432E-75/7.133878289239162E-27/0.0026946661866404293/0.0026946661866404293/0.18531249523951832/0.1889106841511043/0.1889106841511043/0.24256611993388796/0.1889106841511043/","8/","no"
"8","109824700","22425/8282/3041/328/272/82/55/50/55/60/","6.952029101683407E-192/1.8964103542072785E-71/8.092393954596054E-27/0.0010252749311014618/0.003074062626191893/0.1275476746910845/0.21656743533706807/0.2388751891139772/0.21656743533706807/0.19634292796350872/","6/7/8/9/","no"
"9","110599800","80624/80868/30484/3787/3787/1173/327/50/50/50/","0.0/0.0/2.28634823113723E-260/5.006454657998721E-33/5.006454657998721E-33/9.104401031196081E-11/0.001456902310500766/0.3328476991994851/0.3328476991994851/0.3328476991994851/","7/8/9/","no"
"0","103047300","160/10317/10317/25963/25963/25963/10317/10317/1484/10317/","0.9997318249704971/3.995456622158444E-28/3.995456622158444E-28/2.493301044697377E-70/2.493301044697377E-70/2.493301044697377E-70/3.995456622158444E-28/3.995456622158444E-28/2.6817502950297255E-4/3.995456622158444E-28/","0/","no"
"1","111901400","14902303/434/2364241/50/231/5996/17994/17994/50724/17994/","0.0/5.21771460257032E-4/0.0/0.9715436148394783/0.027934613700264788/2.2585778193620902E-51/1.5273173895522752E-153/1.5273173895522752E-153/0.0/1.5273173895522752E-153/","3/","no"
"2","107326000","502/508/50/168/157/54/214/54/54/54/","2.8540099325893926E-5/2.537242700628488E-5/0.2016028980484582/0.019936942567118057/0.02473602531095112/0.18639508591466716/0.008089877888471894/0.18639508591466716/0.18639508591466716/0.18639508591466716/","2/5/7/8/9/","no"
"3","112230500","1317511/525508/30484/78/3787/78/78/50/78/302/","0.0/0.0/2.070732370274135E-260/0.17409687178147154/4.5343170298564334E-33/0.17409687178147154/0.17409687178147154/0.30145823620263423/0.17409687178147154/0.002154276671479548/","7/","no"
"4","108984800","373066/2884/58441/914/366/181/181/97/93/93/","0.0/3.3546502686635177E-14/6.978273447004577E-271/4.2398525586047255E-5/0.014427636126654575/0.10325799364787036/0.10325799364787036/0.25235773657733296/0.2633281207373261/0.2633281207373261/","7/8/9/","no"
"5","112034300","14902303/5951414/2364241/360971/360971/50/50/17994/5996/1798/","0.0/0.0/0.0/0.0/0.0/0.4999999999999997/0.4999999999999997/7.860261578707523E-154/1.1623656338553874E-51/6.512376891102139E-16/","5/6/","no"
