"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105811400","434/83/18712/68/332/332/","0.002681851351438893/0.4341820345212673/2.4235716207625083E-118/0.5396146020743525/0.011760756026470549/0.011760756026470549/","1/3/","no"
"1","107585500","462/50/2364241/50/18386/20069/","1.5505454190659507E-4/0.4999224727290467/0.0/0.4999224727290467/3.607971085729676E-157/1.6809126503239647E-171/","1/3/","no"
"2","108889800","3184/458/434/218/229/185/","3.187972603186152E-8/0.07387494126632217/0.08404950233255723/0.26845847898251174/0.25304225140460807/0.3205747941342748/","3/5/","no"
"3","106164300","462/50/3115/434/60/567/","1.7015102899806212E-4/0.548596139836681/4.355178331997481E-27/2.9462579404759896E-4/0.45091737138769195/2.171195258143493E-5/","1/4/","no"
"4","103290400","50/60/610/61/50/17994/","0.2756375350623144/0.2265596560761129/4.694773393360612E-6/0.22216057902586486/0.2756375350623144/4.333166252999918E-154/","0/1/3/4/","no"
"5","102844900","595/779/436/779/23993/329/","0.16657570552855058/0.09538049821821845/0.2696886312014387/0.09538049821821845/2.684212228587885E-32/0.372974666833574/","5/","no"
"0","100866700","50/6153/1167/462/360971/1140/","0.9996899381629688/1.069774693102573E-52/3.0758461548380695E-10/3.100610071884157E-4/0.0/5.22258139835164E-10/","0/","no"
"1","101996600","1867/50/810/50/121/121/","1.348225649901231E-16/0.4004681212730614/1.3512279257696043E-7/0.4004681212730614/0.09953181116554236/0.09953181116554236/","1/3/","no"
"2","102036500","3184/17994/50/1798/18386/60/","1.126269663368919E-27/8.62841594788113E-154/0.5488631556012358/7.148807461829776E-16/3.961178989656865E-157/0.45113684439876345/","2/5/","no"
"3","107877000","569/50/1798/434/60/459/","2.0876784638137478E-5/0.5485909424033225/7.145261951950688E-16/2.9462300274481895E-4/0.4509130993689558/1.8045844033818718E-4/","1/4/","no"
"4","103665200","50/60/610/61/50/17994/","0.2756375350623144/0.2265596560761129/4.694773393360612E-6/0.22216057902586486/0.2756375350623144/4.333166252999918E-154/","0/1/3/4/","no"
"5","105298100","3929/22520/61/2234/22128/50/","5.144672713898223E-34/2.501760497786613E-192/0.4462865019743961/1.397212915202853E-19/5.4494457920849835E-189/0.5537134980256039/","2/5/","no"
"0","104742600","64/390/186/186/128/128/","0.4854553868550893/0.003221035130487988/0.07430396503090808/0.07430396503090808/0.1813578239763032/0.1813578239763032/","0/","no"
"1","101176000","434/50/930399/50/200/247/","2.589022357996715E-4/0.482078521379698/0.0/0.482078521379698/0.025455467110328485/0.010128587894475781/","1/3/","no"
"2","106393000","487/218/119/193/193/160/","0.014222257996965455/0.13381722397355705/0.3053549494550232/0.16481245679908324/0.16481245679908324/0.21698065497628782/","2/","no"
"3","104875800","139/128/764/50/103/307/","0.09970174533150616/0.12370125899513187/4.747516284592378E-7/0.5709383422992838/0.20195916744132503/0.0036990111811247097/","3/","no"
"4","108300200","93/50/415/50/434/185/","0.17196898743185482/0.3995949503087844/3.114827450868817E-4/0.3995949503087844/2.146040975920563E-4/0.028315025107897608/","1/3/","no"
"5","106238400","128/1798/68/1798/1798/50/","0.11288759218732086/6.78626511758296E-16/0.36608412343504615/6.78626511758296E-16/6.78626511758296E-16/0.5210282843776309/","5/","no"
"0","102676400","434/235/50724/314/109/119/","0.02136751688149719/0.1304464470627122/6.000855828355403E-201/0.06361065304466458/0.41010667986983723/0.37446870314128883/","4/5/","no"
"1","101331700","61/50/476/50/18386/468/","0.2871862635567871/0.35631575204587895/8.39844266146395E-5/0.35631575204587895/2.571552592452323E-157/9.824792484033554E-5/","0/1/3/","no"
"2","103031400","104/487/50/122/60/160/","0.1371869214104121/7.51356948281674E-5/0.3955067741642669/0.0963900720500682/0.32508590932715903/0.04575518735326568/","2/4/","no"
"3","101916200","434/50/111/50/121/121/","1.918055715103474E-4/0.3571438694629207/0.1079923363539259/0.3571438694629207/0.08876405957436122/0.08876405957436122/","1/3/","no"
"4","104343200","109/367102/462/214/434/50/","0.23200567412374087/0.0/2.2882293167332177E-4/0.029604852964220836/3.9621939601270197E-4/0.7377644305843523/","5/","no"
