"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111637400","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","118066100","716/50/229/4075/716/31465/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/1317511/451/657/","1.9644055213514634E-6/0.9217351407729983/0.02756244050748955/4.891075728507547E-35/1.9644055213514634E-6/2.803631112367294E-268/0.0/1.9644055213514634E-6/0.0/0.024988476511427958/3.546984873773707E-4/0.024988476511427958/0.0/0.0/1.9644055213514634E-6/1.9644055213514634E-6/0.0/0.0/3.546984873773707E-4/6.246694294742326E-6/","1/","no"
"2","111775200","512/175/50/1056/373066/941/373066/373066/373066/211/3238/211/512/373066/373066/373066/373066/512/3238/941/","9.93105295592276E-5/0.07357751391234592/0.8534780751314285/2.314839178054668E-9/0.0/2.207050664733798E-8/0.0/0.0/0.0/0.036323216455847844/6.074764706273573E-28/0.036323216455847844/9.93105295592276E-5/0.0/0.0/0.0/0.0/9.93105295592276E-5/6.074764706273573E-28/2.207050664733798E-8/","2/","no"
"3","115758200","15809/209/150/50/101165/328/101165/101165/101165/101165/209/101165/151/101165/101165/101165/101165/151/209/328/","4.077528037676245E-135/0.02840631835310201/0.09033042559811089/0.6417884013619995/0.0/0.0027546165904830658/0.0/0.0/0.0/0.0/0.02840631835310201/0.0/0.0885764923998088/0.0/0.0/0.0/0.0/0.0885764923998088/0.02840631835310201/0.0027546165904830658/","3/","no"
"4","112533700","1830/716/1317511/1317511/50/1317511/1836/234/31465/1317511/716/234/1317511/234/716/716/3787/1317511/716/716/","6.431426731612192E-16/1.970885088427857E-6/0.0/0.0/0.9247754726221977/0.0/5.717601169875696E-16/0.025070900689090264/2.812878854573572E-268/0.0/1.970885088427857E-6/0.025070900689090264/0.0/0.025070900689090264/1.970885088427857E-6/1.970885088427857E-6/1.3909804645329908E-32/0.0/1.970885088427857E-6/1.970885088427857E-6/","4/","no"
"5","118119800","713/234/234/234/1317511/50/12187/1317511/1317511/12187/234/1317511/3787/1317511/451/716/12187/716/3787/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/3.995282470323516E-104/0.0/0.0/3.995282470323516E-104/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/3.995282470323516E-104/1.921956728902828E-6/1.3564485719023298E-32/3.5691494966399086E-5/","5/","no"
"6","113527000","512/373066/373066/373066/977/512/60/977/204/512/373066/109/512/3171/512/22942/425/22942/512/373066/","3.9090819698013807E-4/0.0/0.0/0.0/1.9119181696394068E-7/3.9090819698013807E-4/0.6458411196230891/1.9119181696394068E-7/0.06094048858321805/3.9090819698013807E-4/0.0/0.28924521991682844/3.9090819698013807E-4/4.5825489772266453E-23/3.9090819698013807E-4/7.94068387861533E-164/0.0016273403113497196/7.94068387861533E-164/3.9090819698013807E-4/0.0/","6/","no"
"7","111778800","713/1469/1317511/1317511/1179/1317511/208227/50/208227/1317511/1498/290/716/290/4600/1199/208227/1317511/4600/4600/","2.220170394338416E-6/8.102317941343909E-13/0.0/0.0/2.3885092275403227E-10/0.0/0.0/0.9822331149970414/0.0/0.0/4.588360337736583E-13/0.008881285546018814/2.09333903960338E-6/0.008881285546018814/1.7633329528710052E-39/1.6136723663508553E-10/0.0/0.0/1.7633329528710052E-39/1.7633329528710052E-39/","7/","no"
"8","115637100","156/373066/373066/373066/3328/373066/425/3328/50/373066/373066/425/373066/914/373066/512/109/512/373066/373066/","0.08682625587019689/0.0/0.0/0.0/8.457410585330763E-29/0.0/4.445909019946007E-4/8.457410585330763E-29/0.6939087276193926/0.0/0.0/4.445909019946007E-4/0.0/3.046792597274264E-8/0.0/8.074307379839812E-5/0.2182143180908985/8.074307379839812E-5/0.0/0.0/","8/","no"
"9","112444300","643/1356/31465/1317511/1317511/643/265/1317511/1317511/50/1317511/31465/265/1317511/643/716/265/716/265/716/","8.420398709886635E-6/7.140448438935123E-12/2.872004930178877E-268/0.0/0.0/8.420398709886635E-6/0.013938664631746412/0.0/0.0/0.9442140433318064/0.0/2.872004930178877E-268/0.013938664631746412/0.0/8.420398709886635E-6/2.012312646020066E-6/0.013938664631746412/2.012312646020066E-6/0.013938664631746412/2.012312646020066E-6/","9/","no"
"10","117512500","567/128/31465/4075/234/31465/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/1317511/128/211/","2.541409293281355E-5/0.13912763069906176/1.9531842111077632E-268/3.407428261911018E-35/0.017408530518320288/1.9531842111077632E-268/0.0/2.541409293281355E-5/0.0/0.0/0.6421381599881314/0.0/1.3685273471219563E-6/0.0/0.017408530518320288/0.017408530518320288/0.0/0.0/0.13912763069906176/0.02732879034557152/","10/","no"
"11","112258900","58441/512/512/373066/920/373066/109/920/181/512/373066/50/373066/8282/373066/148646/8321/148646/373066/373066/","0.0/8.362418136791632E-5/8.362418136791632E-5/0.0/2.8052787637877472E-8/0.0/0.22600073114223584/2.8052787637877472E-8/0.055079275959810756/8.362418136791632E-5/0.0/0.7186690642482743/0.0/5.705454215417038E-71/0.0/0.0/2.6557224180271433E-71/0.0/0.0/0.0/","11/","no"
