"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101980200","78/975/975/79/107919/975/79/107919/79/79/","0.20203157478295014/2.3672972302960517E-6/2.3672972302960517E-6/0.1994903308313397/0.0/2.3672972302960517E-6/0.1994903308313397/0.0/0.1994903308313397/0.1994903308313397/","0/3/6/8/9/","no"
"1","110228900","975/54/158/975/158/975/705/4494307/975/975/","4.101773575162576E-8/0.7681219733221377/0.11593613151153255/4.101773575162576E-8/0.11593613151153255/4.101773575162576E-8/5.558566118161735E-6/0.0/4.101773575162576E-8/4.101773575162576E-8/","1/","no"
"2","110870800","975/163/128/692/163/692/975/4494307/692/692/","5.459792104861224E-4/0.29571591989859575/0.38788817637819467/0.00489700635091038/0.29571591989859575/0.00489700635091038/5.459792104861224E-4/0.0/0.00489700635091038/0.00489700635091038/","2/","no"
"3","107860600","202/395/2041/50/395/242/202/4494307/60/68/","0.019148073414155375/4.351294874329019E-4/4.187713877453284E-18/0.37713162423776253/4.351294874329019E-4/0.008739809386201275/0.019148073414155375/0.0/0.309982495901427/0.26497966467143264/","3/8/","no"
"4","104993300","214/1179/1179/4773/128/4773/4773/214/4773/4773/","0.25323752422932005/1.4280256375214114E-4/1.4280256375214114E-4/1.1352453748376198E-16/0.493239346413855/1.1352453748376198E-16/1.1352453748376198E-16/0.25323752422932005/1.1352453748376198E-16/1.1352453748376198E-16/","4/","no"
"5","108733600","395/395/2056/245/395/50/395/200/245/245/","0.00102744190053169/0.00102744190053169/7.368550898487151E-18/0.019457811167444432/0.00102744190053169/0.8904954592791198/0.00102744190053169/0.04702133961642026/0.019457811167444432/0.019457811167444432/","5/","no"
"6","104021700","199/2061/395/199/395/395/60/4494307/199/199/","0.07202244660056646/3.988474315721319E-15/0.0028975428208480275/0.07202244660056646/0.0028975428208480275/0.0028975428208480275/0.7032175851351861/0.0/0.07202244660056646/0.07202244660056646/","6/","no"
"7","103198800","671/6483/6483/6483/671/272/6483/171/6483/6483/","0.0328141121140521/6.933413758377743E-17/6.933413758377743E-17/6.933413758377743E-17/0.0328141121140521/0.33382807405178383/6.933413758377743E-17/0.6005437017201115/6.933413758377743E-17/6.933413758377743E-17/","7/","no"
"8","107396700","191/395/2112/50/395/254/191/4494307/138/50/","0.02709797968374628/4.963168105017521E-4/1.1871659391322448E-18/0.43016336581853626/4.963168105017521E-4/0.00787871687149477/0.02709797968374628/0.0/0.07660595850293662/0.43016336581853626/","3/9/","no"
"9","105103200","193/395/2097/50/395/251/193/4494307/54/54/","0.0202446175419218/3.8562289002751595E-4/1.2377955551630775E-18/0.33422369905869215/3.8562289002751595E-4/0.006492411646161152/0.0202446175419218/0.0/0.3090117042156241/0.3090117042156241/","3/8/9/","no"
"0","102388400","50/975/975/114/6400/975/114/6400/114/114/","0.4671990671445309/6.202863813578375E-9/6.202863813578375E-9/0.13320022856171942/3.94077084037728E-55/6.202863813578375E-9/0.13320022856171942/3.94077084037728E-55/0.13320022856171942/0.13320022856171942/","0/","no"
"1","105337800","975/54/158/975/158/975/705/4494307/975/975/","4.101773575162576E-8/0.7681219733221377/0.11593613151153255/4.101773575162576E-8/0.11593613151153255/4.101773575162576E-8/5.558566118161735E-6/0.0/4.101773575162576E-8/4.101773575162576E-8/","1/","no"
"2","103995900","975/177/133/657/177/657/975/4494307/657/657/","7.395604027355129E-4/0.2852952363053299/0.3961855926980199/0.007936203471462318/0.2852952363053299/0.007936203471462318/7.395604027355129E-4/0.0/0.007936203471462318/0.007936203471462318/","2/","no"
"3","105129500","241/395/1798/60/395/203/241/4494307/50/60/","0.008615056369210125/4.2059015205298173E-4/4.747916343705313E-16/0.299624798710173/4.2059015205298173E-4/0.018148890916611985/0.008615056369210125/0.0/0.3645302186205153/0.299624798710173/","3/8/9/","no"
"4","103100600","581/104/104/716/60/716/716/4600/716/716/","9.90088865947647E-5/0.2464419482905279/0.2464419482905279/1.0827561299897556E-5/0.5069629567258497/1.0827561299897556E-5/1.0827561299897556E-5/2.410324097832855E-33/1.0827561299897556E-5/1.0827561299897556E-5/","4/","no"
