"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106177500","50/4494307/16776/778/4494307/128/778/16776/229/778/","0.8022026871068461/0.0/2.969786332903114E-143/5.069244897247263E-7/0.0/0.17380770393657827/5.069244897247263E-7/2.969786332903114E-143/0.023988088183106427/5.069244897247263E-7/","0/","no"
"1","106826500","101165/50/101165/146/223/101165/101165/753/101165/146/","0.0/0.7473282641798076/0.0/0.11376689687731138/0.025137171055553735/0.0/0.0/7.710100160204927E-7/0.0/0.11376689687731138/","1/","no"
"2","105823700","101165/101165/50/356/272/126/272/356/126/101165/","0.0/0.0/0.6750588830686968/0.0016733036757844925/0.008687270078644178/0.15210998471122283/0.008687270078644178/0.0016733036757844925/0.15210998471122283/0.0/","2/","no"
"3","125336500","306/6113/6483/50/4494307/2130/306/586/6483/128/","0.005372056767612633/1.906244935510204E-52/1.3471464610192623E-55/0.8130712052587848/0.0/1.5766169151697458E-18/0.005372056767612633/2.217066561639986E-5/1.3471464610192623E-55/0.17616251054037352/","3/","no"
"4","106441100","4494307/705/259/16776/50/4494307/259/705/16776/4494307/","0.0/2.5592067094843225E-6/0.01607138066266336/3.583027139175292E-143/0.9678521202612542/0.0/0.01607138066266336/2.5592067094843225E-6/3.583027139175292E-143/0.0/","4/","no"
"5","102722600","2899/373066/171/373066/373066/93/373066/373066/920/373066/","7.561441866313369E-14/0.0/0.303658121388798/0.0/0.0/0.6962367091840971/0.0/0.0/1.0516942702917834E-4/0.0/","5/","no"
"6","111001700","214/1317511/1179/171/1179/608/50/4773/4773/214/","0.034194492989424105/0.0/2.0721601852842707E-10/0.07945587707991557/2.0721601852842707E-10/1.5094488697939195E-5/0.8521400420381063/5.145596387110743E-41/5.145596387110743E-41/0.034194492989424105/","6/","no"
"7","108728800","4494307/246/2502/1920/222/4494307/4494307/50/2502/1920/","0.0/0.02029525473439519/1.2481028245776617E-21/1.1280200175280055E-16/0.03249139669094139/0.0/0.0/0.9472133485746632/1.2481028245776617E-21/1.1280200175280055E-16/","7/","no"
"8","110249900","1851/4494307/822/2502/4494307/518/4494307/2502/50/4494307/","4.60679455759607E-16/0.0/2.6664207838811243E-7/1.3175209123308751E-21/0.0/1.0343426223722053E-4/0.0/1.3175209123308751E-21/0.999896299095684/0.0/","8/","no"
"9","104793200","293/5972/6483/129/4494307/827/293/1473/6483/51/","0.007667886285096145/2.849096437261273E-50/1.537902076235311E-54/0.1796278389453959/0.0/2.659533145073524E-7/0.007667886285096145/1.07036438787133E-12/1.537902076235311E-54/0.805036122530027/","9/","no"
"0","106305000","50/4494307/6483/233/4494307/1473/293/6483/1473/293/","0.9572145512543928/0.0/1.585972036419702E-55/0.0264641837892879/0.0/7.300316500452947E-13/0.008160632477429751/1.585972036419702E-55/7.300316500452947E-13/0.008160632477429751/","0/","no"
"1","106451000","373066/50/373066/3238/348/373066/215/72/215/22844/","0.0/0.577629392279286/0.0/4.111368232844305E-28/0.0016749699390699651/0.0/0.022728925298331346/0.37523778718498135/0.022728925298331346/4.545300570029753E-195/","1/","no"
"2","105752800","101165/101165/198/156/122/83/122/156/83/101165/","0.0/0.0/0.05846811730533293/0.09639762865909267/0.14449479802879867/0.22987351465944214/0.14449479802879867/0.09639762865909267/0.22987351465944214/0.0/","5/8/","no"
"3","105488200","705/6243/6483/50/4494307/2130/705/259/6483/438/","2.5997387204722896E-6/1.80159975766859E-53/1.6289943439283544E-55/0.9831806955685068/0.0/1.9064742488430612E-18/2.5997387204722896E-6/0.016325914763092527/1.6289943439283544E-55/4.8819019095953416E-4/","3/","no"
"4","104790000","4494307/705/259/16776/50/4494307/259/705/16776/4494307/","0.0/2.5592067094843225E-6/0.01607138066266336/3.583027139175292E-143/0.9678521202612542/0.0/0.01607138066266336/2.5592067094843225E-6/3.583027139175292E-143/0.0/","4/","no"
"5","103155600","430/373066/3395/373066/373066/79/373066/373066/123/373066/","0.007821765385286315/0.0/6.2699712516957955E-19/0.0/0.0/0.6291755311954543/0.0/0.0/0.3630027034192594/0.0/","5/","no"
"6","113237100","197/1317511/1287/154/1287/608/50/4773/4773/197/","0.04508525583441638/0.0/2.3553444870459713E-11/0.10476214830276583/2.3553444870459713E-11/1.4260407927548039E-5/0.8050530795733669/4.861264596576545E-41/4.861264596576545E-41/0.04508525583441638/","6/","no"
"7","106463500","4494307/2407/2502/223/794/4494307/4494307/50/2502/223/","0.0/7.952563196537376E-21/1.2346026696324452E-21/0.03151589523623229/4.326478665092296E-7/0.0/0.0/0.9369677768796689/1.2346026696324452E-21/0.03151589523623229/","7/","no"
"8","104811900","1920/4494307/794/2502/4494307/545/4494307/2502/50/4494307/","1.1908096302139636E-16/0.0/4.6172485369577394E-7/1.317576674092514E-21/0.0/6.092032245436551E-5/0.0/1.317576674092514E-21/0.9999386179526918/0.0/","8/","no"
"9","106321700","284/6113/6483/128/4494307/827/284/1530/6483/50/","0.008222110502682562/1.8953032230804755E-52/1.339413934677754E-55/0.17515135006706536/0.0/1.9544493213710274E-7/0.008222110502682562/2.0163829936705748E-13/1.339413934677754E-55/0.8084042334824357/","9/","no"
"0","106776200","50/4494307/6483/824/4494307/51/973/6483/151/973/","0.4720101458717154/0.0/7.82055487223758E-56/1.2103024228099166E-7/0.0/0.4628451911037273/6.517375883853599E-9/7.82055487223758E-56/0.06514452895956334/6.517375883853599E-9/","0/5/","no"
"1","103780700","101165/79/101165/895/80/101165/101165/272/101165/895/","0.0/0.4814072856929596/0.0/1.789406222606774E-5/0.47542714834638267/0.0/0.0/0.04312977783620572/0.0/1.789406222606774E-5/","1/4/","no"
"2","103564600","101165/101165/272/101165/98/2335/320/101165/780/101165/","0.0/0.0/0.13476974537039638/0.0/0.781443999817618/1.201150136655524E-10/0.08298992771211589/0.0/7.963269797546169E-4/0.0/","4/","no"
"3","107152400","205/6113/6483/50/4494307/2130/205/4981/6483/50/","0.02284267663533123/1.1186950481366553E-52/7.905836479789568E-56/0.47715732336466876/0.0/9.252502146775893E-19/0.02284267663533123/4.8791716657997695E-43/7.905836479789568E-56/0.47715732336466876/","3/9/","no"
"4","103690600","4494307/197/5112/16776/50/4494307/5112/197/16776/4494307/","0.0/0.05036200595636305/7.047527413836123E-44/3.329155563616085E-143/0.8992759880872739/0.0/7.047527413836123E-44/0.05036200595636305/3.329155563616085E-143/0.0/","4/","no"
"5","105186400","78/373066/8488/215/373066/246/373066/215/78/373066/","0.40447594041334456/0.0/2.364673941418584E-47/0.0714083664549487/0.0/0.04823138626341344/0.0/0.0714083664549487/0.40447594041334456/0.0/","0/8/","no"
"6","106455500","197/1317511/1287/154/1287/608/50/4773/4773/197/","0.04508525583441638/0.0/2.3553444870459713E-11/0.10476214830276583/2.3553444870459713E-11/1.4260407927548039E-5/0.8050530795733669/4.861264596576545E-41/4.861264596576545E-41/0.04508525583441638/","6/","no"
"7","105169400","4494307/246/2502/1920/222/4494307/4494307/50/2502/1920/","0.0/0.02029525473439519/1.2481028245776617E-21/1.1280200175280055E-16/0.03249139669094139/0.0/0.0/0.9472133485746632/1.2481028245776617E-21/1.1280200175280055E-16/","7/","no"
"8","104826300","1920/4494307/794/2502/4494307/545/4494307/2502/50/4494307/","1.1908096302139636E-16/0.0/4.6172485369577394E-7/1.317576674092514E-21/0.0/6.092032245436551E-5/0.0/1.317576674092514E-21/0.9999386179526918/0.0/","8/","no"
"9","111155500","778/16177/16776/188/4494307/868/778/229/16776/50/","5.761892886454566E-7/4.257732571947667E-138/3.3755699502970355E-143/0.06091948814133839/0.0/9.866500758303778E-8/5.761892886454566E-7/0.027265756037342208/3.3755699502970355E-143/0.9118135047777346/","9/","no"
