"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111474200","3787/4027/386/678/30484/30484/","1.0373243397686593E-4/5.579363500945049E-5/0.6800547093212491/0.3197857646097646/1.1384882814687932E-34/1.1384882814687932E-34/","2/","no"
"1","114085200","421/348/466/12393/4075/4533/","0.3213660639240411/0.39613296055654745/0.2824894010172751/4.065196738549577E-16/9.119564933675488E-6/2.4549372022850914E-6/","0/1/","no"
"2","112052000","716/3854/302/31982/30484/30484/","0.20321105054088345/6.4595827907037535E-6/0.7967824898763257/3.1182915872794236E-46/4.3754505051866864E-44/4.3754505051866864E-44/","2/","no"
"3","111368800","376/4494307/1861/50/304/304/","0.0016492137864385426/0.0/3.7294390417163485E-16/0.9848167113714397/0.00676703742106065/0.00676703742106065/","3/","no"
"4","109804000","54/3854/4403/113/93/11076/","0.5452070222332305/5.379734872573573E-31/2.4872092105270286E-35/0.18650131819286125/0.2682916595739082/5.057632479298743E-88/","0/","no"
"5","110841200","1356/294/294/249/1356/1356/","0.004411224880170588/0.3086328557893215/0.3086328557893215/0.3695006137808453/0.004411224880170588/0.004411224880170588/","1/2/3/","no"
"0","107523200","302/703/30903/1317511/207616/207616/","0.7897521921841579/0.21024780781584199/1.0879646839425464E-44/0.0/5.638968657654873E-298/5.638968657654873E-298/","0/","no"
"1","110194600","181/128/459/716/107/207616/","0.2127231133561043/0.34748869201225613/0.016214684928250622/0.0015012343640326655/0.42207227533935643/0.0/","1/4/","no"
"2","111967800","716/4075/50/210/30484/207616/","2.042549273637486E-6/5.08564197564257E-35/0.9584016242108653/0.04159633323986108/6.583310816038683E-260/0.0/","2/","no"
"3","110317900","210/110615/65/1467/289/106872/","0.09708912548807001/0.0/0.8735794427660528/5.197982043000887E-10/0.029331431226078983/0.0/","2/","no"
"4","109259200","294/4690/4690/4690/50/50/","0.004162530385503867/1.5306510450052387E-40/1.5306510450052387E-40/1.5306510450052387E-40/0.4979187348072481/0.4979187348072481/","4/5/","no"
"5","109427900","3854/283/1803/1652/11469/140/","2.6674080495886585E-12/0.26615598076485003/5.538346363080243E-6/1.6161275050155825E-5/9.356368797595646E-36/0.7338223196110694/","5/","no"
"0","105104900","3787/703/525508/4027/3787/4690/","0.01206550512140123/0.9639432109329698/0.0/0.00858006486902585/0.01206550512140123/0.0033457139552018687/","1/","no"
"1","105755000","1173/50/3854/4773/1534/150/","2.397817408188001E-10/0.876617807894385/3.5444698431732236E-33/5.293403903881534E-41/2.0215869398452456E-13/0.12338219186563097/","1/","no"
