"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102290300","50/102/239/50/64/193/","0.31193155240326287/0.11252505829947804/0.007666816169783009/0.31193155240326287/0.23705068439962754/0.018894336324585544/","0/3/","no"
"1","100973700","565/50/72/565/565/112/","2.1148490812069882E-5/0.5138094532729158/0.33377927934047047/2.1148490812069882E-5/2.1148490812069882E-5/0.15234782191417753/","1/","no"
"2","99858900","868/2194/84/839/331/103/","5.321265606588311E-5/8.933487194759512E-12/0.539191285096517/7.48489987945844E-5/0.029494035128635118/0.43118661811105385/","2/","no"
"3","101202600","50/3989/216/50/170/170/","0.4486794285023517/1.2855060193546112E-34/0.017312117749643807/0.4486794285023517/0.04266451262282644/0.04266451262282644/","0/3/","no"
"4","95142900","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"5","98104500","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"0","99834200","50/1535/82/50/193/193/","0.3766343240653887/8.5169961843043E-14/0.20110431904448392/0.3766343240653887/0.022813516412326745/0.022813516412326745/","0/3/","no"
"1","101114600","592/50/69/565/108/108/","1.040205637312041E-5/0.42910395812199514/0.2956422760441013/1.7661997181950632E-5/0.13761285089017422/0.13761285089017422/","1/","no"
"2","99343100","868/2194/84/839/331/103/","5.321265606588311E-5/8.933487194759512E-12/0.539191285096517/7.48489987945844E-5/0.029494035128635118/0.43118661811105385/","2/","no"
"3","98921400","50/10317/82/50/193/193/","0.3766343240654208/1.401134363717846E-88/0.20110431904450105/0.3766343240654208/0.022813516412328688/0.022813516412328688/","0/3/","no"
"4","95879200","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"5","96646500","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"0","98632900","50/10317/239/157/193/193/","0.7883827619321961/2.932898328496776E-88/0.01937728216524185/0.0967320219235385/0.04775396698951175/0.04775396698951175/","0/","no"
"1","97167600","529/50/78/529/529/112/","4.448416183793033E-5/0.533540400863383/0.308127971321739/4.448416183793033E-5/4.448416183793033E-5/0.1581981753293643/","1/","no"
"2","98260000","354/2111/198/112/354/354/","0.06455777805832004/1.140895528428165E-8/0.25674710678255647/0.5495795476335281/0.06455777805832004/0.06455777805832004/","3/","no"
"3","99557800","50/102/239/50/64/193/","0.31193155240326287/0.11252505829947804/0.007666816169783009/0.31193155240326287/0.23705068439962754/0.018894336324585544/","0/3/","no"
"4","100062300","280/40251/354/280/50/198/","0.01019052559659266/0.0/0.0023880521493867893/0.01019052559659266/0.9263594619012072/0.05087143475622079/","4/","no"
"5","100634900","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","98757100","50/1468/239/157/193/193/","0.7883827619316733/6.632044128792438E-13/0.019377282165229/0.09673202192347435/0.04775396698948009/0.04775396698948009/","0/","no"
"1","97910200","1535/50/61/1468/108/108/","9.239838080701881E-14/0.40859947506047334/0.32932632324032873/3.4372260283353815E-13/0.13103710084938086/0.13103710084938086/","1/2/","no"
"2","99279300","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","99356200","50/1468/239/50/193/193/","0.46604345878621034/3.9204570848710136E-13/0.011454658876651503/0.46604345878621034/0.028229211775267885/0.028229211775267885/","0/3/","no"
"4","100696600","280/155/354/280/198/198/","0.12145111505865318/0.2706411809216466/0.07557706485792275/0.12145111505865318/0.20543976205156209/0.20543976205156209/","1/","no"
"5","99087300","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","99092800","54/1468/231/157/185/185/","0.7254279874495697/4.9576742821925106E-12/0.029037264562530127/0.11150110882497154/0.06701681957898543/0.06701681957898543/","0/","no"
"1","98125200","112/502/50/10317/112/112/","0.15690987340584853/7.491604160544374E-5/0.529195463740849/1.9686839514980374E-88/0.15690987340584853/0.15690987340584853/","2/","no"
"2","102744900","868/127/127/839/331/331/","0.0012683652818238761/0.41438330031970033/0.41438330031970033/0.0015908864739837085/0.08418707380239587/0.08418707380239587/","1/2/","no"
"3","98196000","54/1468/231/50/185/185/","0.44131226681959235/4.0153055505579007E-13/0.013724251873486502/0.47731854892298614/0.03382246619176683/0.03382246619176683/","0/3/","no"
"4","98095700","280/40251/354/280/50/198/","0.01019052559659266/0.0/0.0023880521493867893/0.01019052559659266/0.9263594619012072/0.05087143475622079/","4/","no"
"5","101827700","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","99963200","50/3989/216/157/170/170/","0.7399407654134766/2.1199953630142794E-34/0.02855032088580039/0.09078834520262136/0.0703602842490508/0.0703602842490508/","0/","no"
"1","98682100","529/50/78/529/529/112/","4.448416183793033E-5/0.533540400863383/0.308127971321739/4.448416183793033E-5/4.448416183793033E-5/0.1581981753293643/","1/","no"
"2","98353500","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","98840800","50/3989/216/50/170/170/","0.4486794285023517/1.2855060193546112E-34/0.017312117749643807/0.4486794285023517/0.04266451262282644/0.04266451262282644/","0/3/","no"
"4","105702600","280/40251/354/280/50/198/","0.01019052559659266/0.0/0.0023880521493867893/0.01019052559659266/0.9263594619012072/0.05087143475622079/","4/","no"
"5","107037900","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","103962300","54/1468/231/157/185/185/","0.7254279874495697/4.9576742821925106E-12/0.029037264562530127/0.11150110882497154/0.06701681957898543/0.06701681957898543/","0/","no"
"1","100929600","1468/50/64/1468/1468/112/","4.090646198267E-13/0.4862746515624051/0.3695417730939769/4.090646198267E-13/4.090646198267E-13/0.14418357534239068/","1/","no"
"2","100182300","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","101178000","157/112/239/50/64/193/","0.0541875471070684/0.1309484933107654/0.010854806601333877/0.441637910601826/0.3356203249026926/0.026750917476313817/","3/","no"
"4","97921900","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"5","97658000","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","98511600","54/1468/231/157/185/185/","0.7254279874495697/4.9576742821925106E-12/0.029037264562530127/0.11150110882497154/0.06701681957898543/0.06701681957898543/","0/","no"
"1","98888300","1468/50/64/1468/1468/112/","4.090646198267E-13/0.4862746515624051/0.3695417730939769/4.090646198267E-13/4.090646198267E-13/0.14418357534239068/","1/","no"
"2","104011400","354/2111/50/40251/354/354/","0.0025581057644896883/2.792851317620795E-18/0.9923256827065308/0.0/0.0025581057644896883/0.0025581057644896883/","2/","no"
"3","99844300","50/3989/216/50/170/170/","0.4486794285023517/1.2855060193546112E-34/0.017312117749643807/0.4486794285023517/0.04266451262282644/0.04266451262282644/","0/3/","no"
"4","96288200","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"5","95509100","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"0","97199300","54/1468/79/50/185/185/","0.3512004524538965/3.1954179208733723E-13/0.21511248376892164/0.37985459038898356/0.026916236693939492/0.026916236693939492/","0/3/","no"
"1","97127500","565/50/72/565/565/112/","2.1148490812069882E-5/0.5138094532729158/0.33377927934047047/2.1148490812069882E-5/2.1148490812069882E-5/0.15234782191417753/","1/","no"
"2","101641900","354/2111/50/40251/354/354/","0.0025581057644896883/2.792851317620795E-18/0.9923256827065308/0.0/0.0025581057644896883/0.0025581057644896883/","2/","no"
"3","99847700","54/1468/231/50/185/185/","0.44131226681959235/4.0153055505579007E-13/0.013724251873486502/0.47731854892298614/0.03382246619176683/0.03382246619176683/","0/3/","no"
"4","101221500","280/155/354/280/198/198/","0.12145111505865318/0.2706411809216466/0.07557706485792275/0.12145111505865318/0.20543976205156209/0.20543976205156209/","1/","no"
"5","96298900","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","100431700","50/1468/239/50/193/193/","0.46604345878621034/3.9204570848710136E-13/0.011454658876651503/0.46604345878621034/0.028229211775267885/0.028229211775267885/","0/3/","yes"
"1","101934000","529/50/78/529/529/112/","4.448416183793033E-5/0.533540400863383/0.308127971321739/4.448416183793033E-5/4.448416183793033E-5/0.1581981753293643/","1/","yes"
"2","103689300","40251/2111/50/40251/354/112/","0.0/2.1664877300347534E-18/0.7697729564828772/0.0/0.0019843894717672802/0.2282426540453554/","2/","yes"
"3","103739300","157/10317/241/157/193/193/","0.23922714850801086/2.831561884983989E-29/0.14057876590634577/0.23922714850801086/0.19048346853881631/0.19048346853881631/","0/3/","yes"
"4","118238800","280/40251/356/280/50/198/","0.010191461545941527/0.0/0.0022964264285970804/0.010191461545941527/0.9264445434337509/0.050876107045769024/","4/","yes"
"5","99911900","280/40251/356/280/50/50/","0.005433798814384244/0.0/0.0012243895685404035/0.005433798814384244/0.4939540064013455/0.4939540064013455/","4/5/","yes"
