"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102272600","327/1317511/1317511/1317511/1317511/1317511/31465/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/5.904100304991123E-42/0.0/","0/","no"
"1","107514400","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","107148200","4494307/107116/54/4494307/316/316/4494307/316/","0.0/0.0/0.9750356219516718/0.0/0.008321459349442712/0.008321459349442712/0.0/0.008321459349442712/","2/","no"
"3","102772200","4494307/4494307/108163/50/283/283/4494307/283/","0.0/0.0/0.0/0.9698224622704641/0.010059179243178583/0.010059179243178583/0.0/0.010059179243178583/","3/","no"
"4","100831000","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","107099600","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","101668100","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","103229900","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","103399400","327/1317511/1317511/1317511/1317511/1317511/31465/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/5.904100304991123E-42/0.0/","0/","no"
"1","109286600","2502/50/711063/4494307/4494307/4494307/6483/6483/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/0.0/1.6568616036408418E-55/1.6568616036408418E-55/","1/","no"
"2","101922900","4494307/278324/50/2130/335/335/4494307/335/","0.0/0.0/0.9888997244736124/1.9175639512600398E-18/0.0037000918421292227/0.0037000918421292227/0.0/0.0037000918421292227/","2/","no"
"3","106324500","4494307/4494307/107919/51/283/283/4494307/283/","0.0/0.0/0.0/0.9665255791265811/0.011158140291139668/0.011158140291139668/0.0/0.011158140291139668/","3/","no"
"4","107553100","14902303/14902303/931925/14902303/50/405/14902303/405/","0.0/0.0/0.0/0.0/0.9981068857253993/9.465571373003857E-4/0.0/9.465571373003857E-4/","4/","no"
"5","102947600","14902303/14902303/364198/283/283/50/14902303/254/","0.0/0.0/0.0/0.009982278378303074/0.009982278378303074/0.9624083199909267/0.0/0.017627123252467146/","5/","no"
"6","104154400","278324/4494307/4494307/4494307/4494307/4494307/50/4494307/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/0.0/","6/","no"
"7","102166600","1317511/525508/11675/1317511/177/114/525508/50/","0.0/0.0/7.418558975346531E-100/0.0/0.060594928525699775/0.2084095886308891/0.0/0.7309954828434112/","7/","no"
"0","102660100","128/1317511/1317511/1317511/1317511/1317511/80624/1317511/","1.0/0.0/0.0/0.0/0.0/0.0/1.0005603583284803E-271/0.0/","0/","no"
