"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","115176900","156/861/82388/2568/9658374/153196043/","0.9889085452870455/0.011091244303568767/3.3452691113260676E-228/2.104093856700416E-7/0.0/0.0/","0/","no"
"1","117443700","858/3666/1469863019/38394/587572708/93157409/","0.9633469628166672/0.03665303718333285/0.0/1.0145576051745278E-19/0.0/0.0/","0/","no"
"2","107561200","478056859/478056859/50/152/30230137/478056859/","0.0/0.0/0.8807970779778824/0.11920292202211755/0.0/0.0/","2/","no"
"3","110700400","2147483647/1107925/5127/5127/283228681/1107925/","0.0/2.0049906399501485E-94/0.5/0.5/0.0/2.0049906399501485E-94/","2/3/","no"
"4","110453200","48259941/48259941/524/55/458959/48259941/","0.0/0.0/2.3050672199314E-4/0.9997694932780069/0.0/0.0/","3/","no"
"5","112423800","7671210/1676/48259941/1676/3030195/62940/","0.0/0.5/0.0/0.5/0.0/6.81344042172386E-17/","1/3/","no"
"0","114284300","156/861/82388/2568/9658374/153196043/","0.9889085452870455/0.011091244303568767/3.3452691113260676E-228/2.104093856700416E-7/0.0/0.0/","0/","no"
"1","118933600","1948/6390/20895/108155/587572708/14720974/","0.9070833695032293/0.0928622179886971/5.4412508073648515E-5/1.9570689996685966E-24/0.0/0.0/","0/","no"
"2","114936900","1796212/290369/294/290369/191073762/76174004/","0.0/0.0/1.0/0.0/0.0/0.0/","2/","no"
"3","111625800","2147483647/2147483647/2078/50/283228681/2147483647/","0.0/0.0/5.375361306346019E-18/1.0/0.0/0.0/","3/","no"
"4","113331100","48259941/48259941/175/511/50/48259941/","0.0/0.0/0.07935821499702235/1.09233954662433E-4/0.9205325510483152/0.0/","4/","no"
"5","108016700","7671210/11041/48259941/11041/3030195/62940/","2.592965787138049E-302/0.4977368009002709/0.0/0.4977368009002709/8.917062153830255E-120/0.004526398199458228/","1/3/","no"
"0","106443100","153196043/3604/92237/596/61218842/153196043/","0.0/0.0064415355047612805/2.1473323323007572E-67/0.9935584644952388/0.0/0.0/","3/","no"
"1","120959400","12059/37284/1469863019/301048/587572708/234390286/","0.890086524533928/0.10991347543118965/0.0/3.488234631906141E-11/0.0/0.0/","0/","no"
"2","106062100","478056859/478056859/50/3010/30230137/478056859/","0.0/0.0/1.0/6.221411010397912E-26/0.0/0.0/","2/","no"
"3","110738400","711813722/711813722/5040/5040/6677220/44178309/","0.0/0.0/0.5/0.5/0.0/0.0/","2/3/","no"
"4","109163200","48259941/48259941/175/511/50/48259941/","0.0/0.0/0.07935821499702235/1.09233954662433E-4/0.9205325510483152/0.0/","4/","no"
"5","106131900","7671210/1676/48259941/1676/3030195/62940/","0.0/0.5/0.0/0.5/0.0/6.81344042172386E-17/","1/3/","no"
"0","113969100","50/10334/1892459/91642/191073762/76174004/","1.0/2.6656004983505577E-88/0.0/0.0/0.0/0.0/","0/","no"
"1","118248000","12059/37284/1469863019/301048/587572708/234390286/","0.890086524533928/0.10991347543118965/0.0/3.488234631906141E-11/0.0/0.0/","0/","no"
"2","110005700","478056859/478056859/122/122/30230137/478056859/","0.0/0.0/0.5/0.5/0.0/0.0/","2/3/","no"
"3","112912200","50/126124/17862208/4004/1783526897/711813722/","1.0/0.0/0.0/2.135031492359913E-34/0.0/0.0/","0/","no"
"4","108796500","14902303/14902303/152/152/930399/14902303/","0.0/0.0/0.5/0.5/0.0/0.0/","2/3/","no"
"5","106335100","7671210/912/48259941/912/3030195/62940/","0.0/0.5/0.0/0.5/0.0/1.5616482958691544E-30/","1/3/","no"
"0","124635800","8750/8750/601256/26718/61218842/24385354/","0.4698548066087892/0.4698548066087892/1.8496339907425092E-30/0.06029038678242161/0.0/0.0/","0/1/","no"
"1","117884700","12059/37284/1469863019/301048/587572708/14720974/","0.890086524533928/0.10991347543118965/0.0/3.488234631906141E-11/0.0/0.0/","0/","no"
"2","106835900","478056859/478056859/50/3010/30230137/478056859/","0.0/0.0/1.0/6.221411010397912E-26/0.0/0.0/","2/","no"
"3","111995800","150/15500/2147483647/150/283228681/17260660/","0.5/3.5521493291099815E-45/0.0/0.5/0.0/0.0/","0/3/","no"
"4","108098500","48259941/48259941/547/64/464479/48259941/","0.0/0.0/5.923802668969995E-4/0.999407619733103/0.0/0.0/","3/","no"
"5","105451300","1184063/375/3050363/375/464479/7304/","0.0/0.49999999751870655/0.0/0.49999999751870655/0.0/4.962586924153783E-9/","1/3/","no"
"0","109648100","2746/9194/153196043/27828/61218842/1472529/","0.9126282143965027/0.08727295613344126/0.0/9.882947005616015E-5/0.0/3.8987787044005537E-233/","0/","no"
"1","115630800","1795/12059/1469863019/301048/587572708/14720974/","0.996714423130231/0.003285576869769131/0.0/4.3209840390680024E-73/0.0/0.0/","0/","no"
"2","109287000","478056859/478056859/50/3010/30230137/478056859/","0.0/0.0/1.0/6.221411010397912E-26/0.0/0.0/","2/","no"
"3","111549500","2147483647/2147483647/138418/43267/283228681/395/","0.0/0.0/4.26313515792522E-152/9.597073431269851E-48/0.0/1.0/","5/","no"
"4","111010500","48259941/48259941/511/276/3030195/48259941/","0.0/0.0/0.2997737546978375/0.7002262453021624/0.0/0.0/","3/","no"
"5","110179000","62940/10884/48259941/509/19280164/50/","0.0/5.522980704427313E-93/0.0/1.2339457598623172E-4/0.0/0.9998766054240138/","5/","no"
"0","116352700","156/861/674/2568/9658374/153196043/","0.9540869304996142/0.010700697535121076/0.03521216896484984/2.0300041483003786E-7/0.0/0.0/","0/","no"
"1","114580600","43267/50/2147483647/958718/1783526897/44855997/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","106926400","153196043/153196043/50/596/9658374/153196043/","0.0/0.0/0.9999775877923999/2.2412207600209E-5/0.0/0.0/","2/","no"
"3","110869800","2147483647/2147483647/16809/4094/44520016/675/","0.0/0.0/4.285477745595525E-11/0.0063200232823622665/0.0/0.9936799766747829/","5/","no"
"4","106397800","14902303/14902303/78/78/144188/14902303/","0.0/0.0/0.5/0.5/0.0/0.0/","2/3/","no"
"5","111200500","2364241/3292/14902303/2364241/930399/17994/","4.200446050026E-312/0.9886219048066583/0.0/4.200446050026E-312/5.300518381149039E-123/0.011378095193341545/","1/","no"
"0","114718100","50/10334/478056859/91642/191073762/4763162/","1.0/2.6656004983505577E-88/0.0/0.0/0.0/0.0/","0/","no"
"1","112566900","12059/37284/5856331/301048/587572708/234390286/","0.890086524533928/0.10991347543118965/3.093644031482957E-211/3.488234631906141E-11/0.0/0.0/","0/","no"
"2","107735000","4783331/4783331/107/107/4783331/4783331/","0.0/0.0/0.5/0.5/0.0/0.0/","2/3/","no"
"3","113839900","294/17744/711813722/188/1783526897/2147483647/","0.3633516045095508/2.9024702323250347E-41/0.0/0.6366483954904493/0.0/0.0/","3/","no"
"4","109931800","48259941/48259941/175/511/50/48259941/","0.0/0.0/0.07935821499702235/1.09233954662433E-4/0.9205325510483152/0.0/","4/","no"
"5","108539900","2364241/3292/14902303/2364241/930399/17994/","4.200446050026E-312/0.9886219048066583/0.0/4.200446050026E-312/5.300518381149039E-123/0.011378095193341545/","1/","no"
