"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106328700","60/82/565/571/82/10317/565/97/","0.3400897329024569/0.23711701782645006/8.633855531554818E-5/7.825052993620374E-5/0.23711701782645006/3.2065965891054435E-74/8.633855531554818E-5/0.18542530380407576/","0/","no"
"1","109386000","112/50/2268/5961/112/40251/2268/155/","0.1723256673957642/0.5811868908725641/7.529456630857404E-20/2.6836989699279144E-51/0.1723256673957642/0.0/7.529456630857404E-20/0.07416177433590734/","1/","no"
"2","100725700","3989/73/68/565/1551/1551/78/1535/","7.485449611315995E-26/0.3326620580274204/0.3576628926150073/2.6625317192761986E-4/1.6568743898510972E-10/1.6568743898510972E-10/0.30940879564534235/2.0892747324368974E-10/","1/2/6/","no"
"3","107555800","5961/780/320/68/101165/331/274/15809/","7.377278680764235E-38/3.004326093486863E-5/0.02360715305788639/0.9102539939749829/0.0/0.020128354082962548/0.04598045562323332/7.644931755352054E-100/","3/","no"
"4","104351000","126/127/22844/137/50/127/22844/148/","0.11293390350830672/0.11074108175123527/3.943860971841519E-195/0.09102338471204408/0.5011967814449504/0.11074108175123527/3.943860971841519E-195/0.07336376683222821/","4/","no"
"5","101199900","141/141/234/780/141/54/15809/141/","0.11051980694290142/0.11051980694290142/0.02037453144580715/9.947818760033768E-7/0.11051980694290142/0.5375452460007111/2.1124508755326678E-125/0.11051980694290142/","5/","no"
"6","106816400","112/502/565/1484/112/10317/60/10317/","0.23000798863118516/3.8468572319086815E-4/1.3695327541417014E-4/3.923529011162778E-11/0.23000798863118516/5.086417119268288E-74/0.5394623836997894/5.086417119268288E-74/","6/","no"
"7","102216100","102/103/1535/10317/103/1551/1535/54/","0.18665790070390328/0.18329478709840233/9.030276696168863E-13/4.080531104845169E-82/0.18329478709840233/6.750887096340999E-13/9.030276696168863E-13/0.4467525250968109/","7/","no"
"0","104422700","50/69/592/592/69/69/592/97/","0.2886090543648114/0.1988446764573785/6.996271175019621E-6/6.996271175019621E-6/0.1988446764573785/0.1988446764573785/6.996271175019621E-6/0.11483592744952813/","0/","no"
"1","111485300","112/50/5922/2284/112/40251/272/155/","0.17104637051759786/0.5768723242362609/5.72275612067202E-51/5.461076760195234E-20/0.17104637051759786/0.0/0.007423716370865987/0.07361121835767741/","1/","no"
"2","101910600","529/529/50/535/83/10317/10317/565/","5.471311798210168E-5/5.471311798210168E-5/0.6562258946680936/4.864049618172262E-5/0.34358902822224496/2.4412555962935673E-88/2.4412555962935673E-88/2.7010377515687623E-5/","2/","no"
"3","102841500","2335/5961/297/79/101165/310/2335/40251/","5.048806060651929E-13/1.0442182909877194E-32/0.05845755069878803/0.8918525906110654/0.0/0.049689858689136814/5.048806060651929E-13/7.401487166575958E-219/","3/","no"
"4","104894400","126/127/22844/137/50/127/22844/148/","0.11293390350830672/0.11074108175123527/3.943860971841519E-195/0.09102338471204408/0.5011967814449504/0.11074108175123527/3.943860971841519E-195/0.07336376683222821/","4/","no"
"5","101421800","140/145/354/2351/145/60/15712/145/","0.13323556963361596/0.12275021873574445/0.003990521964186071/2.4167131737446455E-17/0.12275021873574445/0.4945232521949647/1.813403331726639E-112/0.12275021873574445/","5/","no"
