"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","229719300","821/2422/7538/8091/2308/5423/8091/77204/6674/7460/5423/10498/8383/11285/8383/159069/7538/","0.7598709884090539/0.10836011757973667/2.1472778272348458E-4/1.0957636542389169E-4/0.12448014604716727/0.002814004395752582/1.0957636542389169E-4/3.3468665045164634E-41/6.142892998382333E-4/2.3610145577389267E-4/0.002814004395752582/5.861454980950498E-6/7.681428026079367E-5/2.2501051275049853E-6/7.681428026079367E-5/1.8714735479843194E-84/2.1472778272348458E-4/","0/","no"
"1","220445600","7388/7941/679/7941/397065/3270/7941/161780/4004/352782/7388/6984/3270/4869/3270/3585/4869/","4.7512315530787576E-5/2.1067965364834702E-5/0.9154448695713705/2.1067965364834702E-5/6.345083427262717E-254/0.020269474309683996/2.1067965364834702E-5/1.1790206646378615E-103/0.006887473046106012/1.2150331693382651E-225/4.7512315530787576E-5/8.60653248187481E-5/0.020269474309683996/0.001930242103911866/0.020269474309683996/0.012754456393673133/0.001930242103911866/","2/","no"
"2","195571900","526/1979/599/1979/8000/489/2546/118625/6920/8338/416/1876/555/6583/416/555/2025/","0.1326701936125965/0.0040692301582595245/0.1113642487610502/0.0040692301582595245/2.1817241710652965E-9/0.14497992985816574/0.0010447123674213034/1.3359349429099381E-124/2.9079792754794593E-8/9.7002242383767E-10/0.17271714736292287/0.005209355946136582/0.12375724395852142/6.524810496712891E-8/0.17271714736292287/0.12375724395852142/0.003644219015577708/","5/10/14/","no"
"3","199567300","6920/45517/6920/5603/12059/857/38394/14664/42687/12503/118625/124438/750/43798/630/815/43798/","1.4326390293304065E-5/3.901372474082E-32/1.4326390293304065E-5/1.1549953967877407E-4/4.16053245304863E-9/0.2133439980368889/3.116884684697323E-27/6.702265310036658E-11/3.459426258783142E-30/2.0585421779695595E-9/1.8776936280098573E-82/1.873902717642685E-86/0.2527694946260186/5.947616441855089E-31/0.3057146991946107/0.22802764953611912/5.947616441855089E-31/","12/14/17/","no"
"4","205516000","6468/37284/108155/50/14893/1000/37284/334817/15602/46143/121662/121662/888/42687/661/846/42687/","2.2233973103333237E-55/8.53027E-318/0.0/0.9999934863584534/4.0111765822200965E-127/8.132011768032204E-9/8.53027E-318/0.0/3.678975747502801E-133/0.0/0.0/0.0/7.310426971354802E-8/0.0/6.265835174466228E-6/1.6657009070400767E-7/0.0/","3/","no"
"5","214531000","50/52127/18699/55205/133819/5599/48671/958718/126124/133819/355/52127/5874/161780/5422/5422/52127/","0.9974785390466507/0.0/1.555564456342065E-159/0.0/0.0/5.571354766215037E-48/0.0/0.0/0.0/0.0/0.0025214609533492863/0.0/2.5361611338477215E-50/0.0/1.791505448748286E-46/1.791505448748286E-46/0.0/","0/","no"
"6","206454000","649/4728/721/3666/5095/721/3941/7021/5429/5095/649/15157/523/48973/649/649/4728/","0.14242064351200856/5.927508647912673E-5/0.12413632747372139/4.4984660557377624E-4/2.942390418522113E-5/0.12413632747372139/2.661599617087559E-4/7.454515718072703E-7/1.555532200748983E-5/2.942390418522113E-5/0.14242064351200856/1.3466405184599704E-13/0.18113506568219764/1.2657241954918374E-41/0.14242064351200856/0.14242064351200856/5.927508647912673E-5/","12/17/","no"
"7","207070100","443/14220/188/661/48973/4530/15602/787/46143/48973/4353/14220/4805/42687/4353/4353/14220/","0.18754957461715477/4.1264443504478904E-33/0.7228845717593952/0.05918120775838099/5.731152616901705E-113/7.617020845051459E-11/2.7538558885190403E-36/0.030384645188177257/1.8246094933041258E-106/5.731152616901705E-113/1.9431457327071613E-10/4.1264443504478904E-33/1.777768405545364E-11/1.5942438197667427E-98/1.9431457327071613E-10/1.9431457327071613E-10/4.1264443504478904E-33/","2/","no"
"8","214185800","822/121662/12059/15602/16275/6468/15602/46143/15602/301048/17764/15602/3488/301048/6468/6468/108155/","0.9593837262400805/1.6410006725827504E-64/1.1278807750860936E-6/1.5227666786199245E-8/6.721921027900569E-9/0.0010060419914264876/1.5227666786199245E-8/1.1647824564947946E-24/1.5227666786199245E-8/3.578386239182546E-159/1.1009126009049907E-9/1.5227666786199245E-8/0.03759695117136425/3.578386239182546E-159/0.0010060419914264876/0.0010060419914264876/2.2014543847726514E-57/","0/","no"
"9","218579400","6468/14220/6737/3488/40113/1000/12059/334817/42687/40113/124438/15352/750/42687/661/661/14220/","4.44501929515557E-5/3.6500464234773433E-10/2.9607416635115784E-5/0.004007327650558068/3.76366574939879E-27/0.17181748074958547/9.549657084374318E-9/1.736915650443057E-220/7.708673158172397E-29/3.76366574939879E-27/1.8011393771151425E-82/6.601884844416703E-11/0.25065469115309963/7.708673158172397E-29/0.28672321624574254/0.28672321624574254/3.6500464234773433E-10/","12/14/15/17/19/","no"
"10","218311600","50/53809/18141/56066/138024/6119/50353/985003/148272/138024/50/44950/5691/130329/4004/4004/44950/","0.5/0.0/4.401969425286434E-155/0.0/0.0/1.0421414212908718E-52/0.0/0.0/0.0/0.0/0.5/0.0/4.598265829799994E-49/0.0/1.0675157461799564E-34/1.0675157461799564E-34/0.0/","0/10/","no"
"11","208722500","2149/128900/809/44378/58640/2495/141194/552/46097/141194/2149/126124/2149/133197/2259/2611/142407/","0.029390343387105083/8.41858774957506E-102/0.3315612762519021/2.0135859130521691E-35/1.2688590495172927E-46/0.01572085295607146/1.863102646705798E-111/0.527711868839787/8.994274957181314E-37/1.863102646705798E-111/0.029390343387105083/1.2745310542986188E-99/0.029390343387105083/3.553218409466853E-105/0.02408890003962123/0.012746071751302783/2.0778593941922066E-112/","7/","no"
"12","207472700","1091/6612/1937/1740/352782/47456/958718/24917/6612/352782/4497/8401/596/6984/46345/51263/20443/","0.2580944934601454/2.4857881193771397E-5/0.06256714777668648/0.0870274506878027/3.716517088811968E-257/4.819798703752506E-35/0.0/1.2002794777540896E-18/2.4857881193771397E-5/3.716517088811968E-257/8.591026555775385E-4/1.241754050176084E-6/0.591387517341599/1.333056174917636E-5/3.099121225866962E-34/8.195645866509968E-38/2.1574705681942866E-15/","12/17/","no"
"13","208932400","862/175/15155/969/372018/126124/1227/1209/940/372018/862/1088/18040/862/126124/138418/2924/","0.01841639193757539/0.9129217998921875/9.909482393646706E-38/0.010027051480810019/0.0/1.4822195872894E-311/0.002314925482043704/0.0025642094515929584/0.011823148132938043/0.0/0.01841639193757539/0.005099539416239977/7.534875527352863E-45/0.01841639193757539/1.4822195872894E-311/0.0/1.5033146175848135E-7/","1/18/","no"
"14","201788000","682/7519/8435/8383/9715/2200/2538/3353/2654/3071/216/152634/19475/442671/18092/1576/2760/","0.10437664686708673/2.16433820327891E-15/3.1774743899955105E-17/4.0378727273430036E-17/8.716557969384152E-20/9.561880782959696E-5/2.0141167376436972E-5/4.7095415744279776E-7/1.1801228505750948E-5/1.7272743581059502E-6/0.8937904924340686/8.098329470546156E-306/2.5532898712983267E-39/0.0/1.4961561967190834E-36/0.0016958605196427548/7.2407469722367E-6/","10/","no"
"15","200826600","4004/958718/722/1227/940/204/940/3491/958718/940/254/862/51014/386551/43267/43267/958718/","4.467495608258903E-9/0.0/0.0400878591690198/0.0034132294313955398/0.013841327877028464/0.5016500639736777/0.013841327877028464/5.455814476587117E-8/0.0/0.013841327877028464/0.3930749687573789/0.020249836011802313/1.145314212420571E-108/0.0/2.9581421972382864E-92/2.9581421972382864E-92/0.0/","5/","no"
"16","207954500","2259/48671/721/51014/145491/2330/51014/188/145491/145491/6976/46097/2500/133197/2259/2259/46097/","1.6442710497699207E-5/3.6978979603760825E-112/0.056243647802095655/1.5278547197662716E-117/0.0/1.1293426971082835E-5/1.5278547197662716E-117/0.943691136644637/0.0/0.0/2.382287642666266E-16/3.038310488230573E-106/4.593994803094473E-6/2.1853136228310292E-306/1.6442710497699207E-5/1.6442710497699207E-5/3.038310488230573E-106/","7/","no"
"17","205546000","1021/2578733/1147/1248/2546/357269/1322/532/1383/771/1786/2578733/43267/7537/352782/352782/1107/","0.11407952160525821/0.0/0.09006197230755188/0.07451530802816539/0.006525597605978227/6.0572047205368576E-292/0.06485589496563968/0.2855291622628907/0.05784235420831664/0.18235200547265715/0.027156697963991203/0.0/4.312060393675733E-36/5.596242677940971E-7/2.7436648028539274E-288/2.7436648028539274E-288/0.09708092595528331/","7/","no"
