"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99279100","246/181/210/58441/200/181/8282/","0.15711513539204094/0.2245552412010755/0.19147956271861988/2.1348350216527706E-140/0.2022948194871882/0.2245552412010755/1.0482051390164523E-20/","1/2/4/5/7/8/9/","no"
"1","105173900","1029/79/8674/1160/93/93/111/","2.0787700273867753E-6/0.2985749848572217/6.539431869376103E-48/4.042492587455305E-7/0.2506408672644545/0.2506408672644545/0.20014079759458314/","1/4/5/7/","no"
"2","105421900","529/529/529/182/529/592/1535/","0.08792592579191733/0.08792592579191733/0.08792592579191733/0.5856190957798696/0.08792592579191733/0.0623168847631798/3.6031628928131566E-4/","3/8/","no"
"3","102449800","78/228/228/157/228/10317/231/","0.5098577635604055/0.07635531284387417/0.07635531284387417/0.1875661891355233/0.07635531284387417/2.627760274755455E-57/0.07351010877244868/","0/","no"
"4","103253100","152/50/22425/200/50/272/272/","0.061130452839668316/0.4516963453853437/1.314580283490483E-191/0.0238511797433015/0.4516963453853437/0.005812838323171432/0.005812838323171432/","1/4/7/","no"
"5","101027100","2884/246/22425/22425/246/246/249/","5.76653351284781E-6/0.2507553560288297/2.52591648245949E-40/2.52591648245949E-40/0.2507553560288297/0.2507553560288297/0.2477281653799981/","1/4/5/6/7/","no"
"6","100659000","502/79/3989/3989/1468/502/50/","9.036591663309508E-5/0.36148824941222757/1.8288745033129769E-34/1.8288745033129769E-34/5.369776826145592E-13/9.036591663309508E-5/0.6383310187539692/","6/","no"
"7","102336400","246/152/22425/22425/181/2884/2899/","0.22842267735177207/0.4222412552983143/2.529708603551757E-64/2.529708603551757E-64/0.34933605319294747/7.425189849646551E-9/6.7317762409452874E-9/","1/4/7/","no"
"8","101045100","228/157/565/502/157/83/535/","0.08803938478283198/0.20500253890088646/0.0015934149921115707/0.0033732595647710767/0.20500253890088646/0.49471149036353157/0.002277372494980832/","5/","no"
"9","100579600","1484/1484/508/571/1551/1484/571/","0.04404518154391275/0.04404518154391275/0.29967580057341964/0.26478789874116987/0.038612857312502295/0.04404518154391275/0.26478789874116987/","2/3/6/8/9/","no"
