"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","97068600","79/25963/79/","0.5/1.5240190110066674E-141/0.5/","0/2/3/5/","no"
"1","96094600","148646/354/132/","0.0/0.1585344795889814/0.8414655204110186/","2/3/5/","no"
"2","97952200","15809/101165/101165/","0.9910375988692659/0.004481200565367026/0.004481200565367026/","0/","no"
"3","94148400","373066/22942/331/","0.0/2.643572185403759E-30/1.0/","2/3/5/","no"
"4","95139200","101165/6089/141/","1.064147508214373E-309/6.435263725711722E-19/1.0/","2/3/5/","no"
"5","90509700","101165/6128/97/","0.0/1.8756986142792493E-27/1.0/","2/3/5/","no"
"0","91049500","157/25963/80/","0.27876069813392873/1.2084442101963587E-139/0.7212393018660713/","2/3/5/","no"
"1","89595700","58686/320/98/","8.741159185644559E-258/0.09600494042300449/0.9039950595769956/","2/3/5/","no"
"2","90361600","40251/15712/15712/","0.09493213316247441/0.45253393341876275/0.45253393341876275/","1/2/3/4/5/","no"
"3","88763600","373066/373066/367/","0.0/0.0/1.0/","2/3/5/","no"
"4","89855000","40251/101165/78/","1.4223610611018407E-221/0.0/1.0/","2/3/5/","no"
"5","91019200","101165/2351/212/","1.4546119401669027E-206/4.351969160319351E-5/0.9999564803083969/","2/3/5/","no"
"0","92297900","203/25963/25963/","1.0/1.4443657686019753E-55/1.4443657686019753E-55/","0/","no"
"1","90061600","58686/246/98/","7.898222003175434E-258/0.18317999722065179/0.8168200027793482/","2/3/5/","no"
"2","90145700","15809/2284/2284/","0.0013420897419995559/0.4993289551290003/0.4993289551290003/","1/2/3/4/5/","no"
"3","91137200","373066/22942/83/","0.0/6.531742057921073E-119/1.0/","2/3/5/","no"
"4","89572500","101165/895/83/","0.0/6.335669174983589E-5/0.9999366433082502/","2/3/5/","no"
"5","90496700","101165/40251/115/","0.0/5.4213726622294454E-151/1.0/","2/3/5/","no"
"0","90545800","97/25963/25963/","1.0/2.3596426406329447E-115/2.3596426406329447E-115/","0/","no"
"1","92523800","8881/292/64/","1.1934411551534E-59/0.029094152004533684/0.9709058479954663/","2/3/5/","no"
"2","90103000","40251/272/89/","1.396614617565558E-194/0.1157473185890222/0.8842526814109778/","2/3/5/","no"
"3","88068400","373066/373066/93/","0.0/0.0/1.0/","2/3/5/","no"
"4","90228500","101165/2335/155/","6.2276270612365294E-282/8.531249412101411E-7/0.9999991468750588/","2/3/5/","no"
"5","90333700","101165/15809/122/","0.0/4.088506898094409E-56/1.0/","2/3/5/","no"
"0","91330000","68/25963/25963/","1.0/1.032016944037623E-163/1.032016944037623E-163/","0/","no"
"1","90827900","148646/320/132/","0.0/0.19567727614301628/0.8043227238569838/","2/3/5/","no"
"2","90767700","101165/40251/89/","0.0/1.5794293270753992E-194/1.0/","2/3/5/","no"
"3","93195800","22523/373066/373066/","0.9999996516093499/1.7419532500981835E-7/1.7419532500981835E-7/","0/","no"
"4","90096000","101165/5961/145/","3.1909056267205802E-301/5.007392074409526E-18/1.0/","2/3/5/","no"
"5","90764300","101165/40251/255/","6.455603381420456E-172/1.4069318261179164E-68/1.0/","2/3/5/","no"
"0","92114600","68/25963/68/","0.5/5.160084720188115E-164/0.5/","0/2/3/5/","no"
"1","91941200","58686/246/128/","5.139445175470537E-198/0.2860331780444577/0.7139668219555424/","2/3/5/","no"
"2","91444700","40251/209/79/","6.933680232424559E-219/0.16451646289656313/0.8354835371034368/","2/3/5/","no"
"3","91740000","58441/373066/377/","1.9439765090349082E-67/0.0/1.0/","2/3/5/","no"
"4","89058200","101165/145/812/","3.1581443654914678E-301/0.9897329269299694/0.010267073070030696/","1/4/","no"
"5","88709900","101165/2351/226/","7.661622781570973E-194/8.598656709844986E-5/0.9999140134329015/","2/3/5/","no"
