"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","122550700","93/13197/875518/15680/","1.0/2.867485041629131E-61/0.0/9.67517041191288E-73/","0/5/6/","no"
"1","123326300","2579/3633/702749/11061/","0.5875537588893227/0.39050493800595837/8.102053948324907E-119/0.02194130310471898/","0/5/6/","no"
"2","124246700","103148/95948/55305/19166/","0.01057568634304671/0.015397470861927122/0.12833842707408494/0.8456884157209412/","3/4/6/","no"
"3","121747900","30068/540797/1324/60/","2.2677398398285677E-214/0.0/1.0019562715418982E-9/0.9999999989980438/","3/4/6/","no"
"4","127891500","13865/295835/4972/5990266/","0.1432866042175393/3.401181976523298E-26/0.8567133957824606/0.0/","2/","no"
"5","116476200","853/396442/375112/375112/","1.0/6.707452554294171E-202/4.717901027282535E-191/4.717901027282535E-191/","0/5/6/","no"
"6","115750600","3788/43169/43169/43169/","0.999908116319293/3.06278935690356E-5/3.06278935690356E-5/3.06278935690356E-5/","0/5/6/","no"
"0","117414000","68/13259/877929/15741/","1.0/9.423765732754656E-84/0.0/2.2501495263834695E-99/","0/5/6/","no"
"1","123095900","2393/3436/682748/10750/","0.5961942474459192/0.385636037986924/2.2515828583245958E-124/0.01816971456715675/","0/5/6/","no"
"2","128680800","103148/95948/55305/19166/","0.01057568634304671/0.015397470861927122/0.12833842707408494/0.8456884157209412/","3/4/6/","no"
"3","120765600","30189/542684/1353/50/","2.233532886131394E-257/0.0/8.020505967275342E-12/0.9999999999919795/","3/4/6/","no"
"4","123083800","13841/295509/4953/6001484/","0.14257008102032184/2.893912361122239E-26/0.8574299189796781/0.0/","2/","no"
"5","114415400","941/390007/373818/365666/","1.0/4.237973964252469E-180/1.2326662661674048E-172/7.066406339443905E-169/","0/5/6/","no"
"6","117487100","3865/44043/44043/44043/","0.9999080378596498/3.065404678333046E-5/3.065404678333046E-5/3.065404678333046E-5/","0/5/6/","no"
"0","118479100","68/13259/877929/15741/","1.0/9.423765732754656E-84/0.0/2.2501495263834695E-99/","0/5/6/","no"
"1","123361000","2409/3436/686237/10839/","0.5940767083875411/0.3879464718227664/3.5034444415497722E-124/0.01797681978969243/","0/5/6/","no"
"2","135221600","103279/96078/55592/19051/","0.01021932324619645/0.01491318814583133/0.12486987260362638/0.8499976160043459/","3/4/6/","no"
"3","122465800","30274/544022/1367/50/","4.2185987032636665E-258/0.0/6.0951398283673094E-12/0.9999999999939049/","3/4/6/","no"
"4","121461300","13926/296799/4996/5990266/","0.14343205023121108/3.731287712393755E-26/0.8565679497687889/0.0/","2/","no"
"5","115151400","1108/400327/378997/378997/","1.0/4.5942043188215096E-157/1.0356958033084361E-148/1.0356958033084361E-148/","0/5/6/","no"
"6","120917000","3626/41526/41526/41526/","0.9999131112355981/2.8962921467265323E-5/2.8962921467265323E-5/2.8962921467265323E-5/","0/5/6/","no"
"0","118500400","68/13259/877929/15741/","1.0/9.423765732754656E-84/0.0/2.2501495263834695E-99/","0/5/6/","no"
"1","126836600","2436/3585/687080/10659/","0.6030193511115999/0.3763305795704991/5.899942210563857E-123/0.020650069317901008/","0/5/6/","no"
