"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101787700","50/50/952/952/952/968/952/","0.4999999753500657/0.4999999753500657/1.0421219846573465E-8/1.0421219846573465E-8/1.0421219846573465E-8/7.614989496938312E-9/1.0421219846573465E-8/","0/1/","no"
"1","107196800","4494307/50/711063/50/513/1839/4824/","0.0/0.499971476515209/0.0/0.499971476515209/5.704696958165916E-5/2.914580463739181E-16/1.110645576092947E-41/","1/3/","no"
"2","106085900","5922/691/198/2111/2111/2284/2268/","2.971261927256274E-13/0.07744499827837967/0.9223778169968841/6.166058264867638E-5/6.166058264867638E-5/2.584967783782741E-5/2.8013881303725558E-5/","2/","no"
"3","104922600","1317511/97/207616/80624/3787/97/50/","0.0/0.22157082268886494/0.0/0.0/8.375861122216464E-33/0.22157082268886494/0.5568583546222701/","6/7/8/9/","no"
"4","107912600","80624/80624/30484/558/50/162/138/","0.0/0.0/5.3274423420301235E-260/3.6619151450518694E-5/0.775571674521619/0.08627345583063027/0.1381182504963002/","4/","no"
"5","105865000","5951414/930399/930399/360971/137249/50/17994/","0.0/0.0/0.0/0.0/0.0/1.0/1.5720523157415056E-153/","5/","no"
"6","107478400","14902303/50724/2364241/930399/50724/93/93/","0.0/5.969660741513842E-235/0.0/0.0/5.969660741513842E-235/0.5/0.5/","5/6/7/8/9/","no"
"7","107893700","58441/58441/3108/1004/249/64/64/","0.0/0.0/2.229439400979316E-21/2.546677660591258E-7/0.02821443918940445/0.48589265307141477/0.48589265307141477/","5/6/7/8/9/","no"
"8","106914100","148646/246/22425/8282/246/109/109/","0.0/0.11174398521758074/3.038170966834009E-89/2.094296596979743E-33/0.11174398521758074/0.3882560147824192/0.3882560147824192/","5/6/7/8/9/","no"
"9","106091500","58441/58441/22425/8282/2884/54/257/","0.0/0.0/2.1978151565797556E-177/1.0443429026839832E-65/4.394125459811615E-23/0.9756580054431945/0.02434199455680558/","5/","no"
"0","101400100","952/952/83/83/159/83/83/","7.297995642293351E-6/7.297995642293351E-6/0.22703008850103182/0.22703008850103182/0.0918650500045881/0.22703008850103182/0.22703008850103182/","2/3/5/6/7/8/9/","no"
"1","107558000","14902303/109/2364241/128/780/2290/6926/","0.0/0.542414092333735/0.0/0.4563693432791872/0.001216563058289526/1.3287883984367408E-9/6.605679239487295E-28/","1/3/","no"
"2","104881500","5922/5922/50/50/691/760/753/","4.9601449044073074E-51/4.9601449044073074E-51/0.4999986473681985/0.4999986473681985/1.7397357278695407E-6/4.496849937126172E-7/5.158428813617398E-7/","2/3/","no"
"3","106363800","525508/50/80624/50/128/50/302/","0.0/0.31019204855001825/0.0/0.31019204855001825/0.06720716422965742/0.31019204855001825/0.002216690120287768/","1/3/5/","no"
"4","107425500","208227/11244/3787/312/54/51/133/","0.0/1.528376854660951E-94/2.9089048821110747E-32/0.0030640331201798885/0.437584803163653/0.4635725181630492/0.0957786455531178/","4/5/","no"
"5","108987600","2368056/363588/360971/138296/51142/1804/6063/","0.0/8.189690939898836E-88/3.490875497816515E-87/1.3181226792155097E-33/1.2295965428583188E-12/0.913690860166957/0.08630913983181346/","5/","no"
"6","110195700","48259941/7671210/7671210/1184063/455732/50/68/","0.0/0.0/0.0/0.0/0.0/0.5873306243819909/0.41266937561800915/","5/","no"
"7","105014700","80624/302/30484/11076/302/1235/1235/","3.570285146450226E-116/0.47801344902014775/2.6249625381776097E-44/1.7254524422694028E-16/0.47801344902014775/0.021986550979852148/0.021986550979852148/","1/4/","no"
"8","107853700","373066/58441/58441/22425/914/97/50/","0.0/0.0/0.0/2.0819301654829954E-191/3.140987167842843E-8/0.28463837454642693/0.7153615940437014/","6/7/8/9/","no"
"9","106936900","373066/58441/58441/246/8282/109/246/","0.0/3.1632452373808384E-231/3.1632452373808384E-231/0.18266462428369679/3.423485391907627E-33/0.6346707514326064/0.18266462428369679/","5/","no"
