"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","120614100","50/50/201/40251/198/691/198/","0.46261757514713764/0.46261757514713764/0.023953547343825727/0.0/0.02540484634644828/1.6096690022266595E-6/0.02540484634644828/","0/1/","no"
"1","120961000","78/50/269/101165/40251/269/101165/","0.3598648223773254/0.6231255824137579/0.008504797604458379/0.0/0.0/0.008504797604458379/0.0/","1/","no"
"2","172374200","2147483647/2147483647/5085/709/216862/216862/16420/","0.0/0.0/0.002100703070982908/0.9978992966841417/6.0549092234691005E-133/6.0549092234691005E-133/2.448753214454896E-10/","3/","no"
"3","163448500","2147483647/2147483647/5085/709/216862/216862/20541/","0.0/0.0/0.0021007030714957674/0.9978992969277659/6.0549092249473276E-133/6.0549092249473276E-133/7.382474865919624E-13/","3/","no"
"4","158049100","4496716/31331541/535/534/50/50/50/","0.0/0.0/2.4705958401058976E-5/2.51951694711914E-5/0.3333166996240426/0.3333166996240426/0.3333166996240426/","4/5/6/7/8/9/","no"
"5","152922600","4496716/31331541/51/51/51/51/50/","0.0/0.0/0.1992110707907644/0.1992110707907644/0.1992110707907644/0.1992110707907644/0.20315571683694242/","2/3/4/5/6/7/8/9/","no"
"6","157464900","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/7/8/9/","no"
"7","159132400","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/7/8/9/","no"
"8","162299800","131258114/879781035/54/51/54/54/54/","0.0/0.0/0.19765232600400037/0.20939069598399868/0.19765232600400037/0.19765232600400037/0.19765232600400037/","2/3/4/5/6/7/8/9/","no"
"9","155949000","340908187/2147483647/50/51/50/50/50/","0.0/0.0/0.20077970226091346/0.19688119095634607/0.20077970226091346/0.20077970226091346/0.20077970226091346/","2/3/4/5/6/7/8/9/","no"
"0","122576900","50/50/2899/148646/58441/2884/2884/","0.5/0.5/2.7421301524255397E-25/0.0/0.0/3.6797789899951505E-25/3.6797789899951505E-25/","0/1/","no"
"1","123105900","50/50/502/25963/10317/502/25963/","0.4999292270600556/0.4999292270600556/7.077293994445374E-5/1.0832628018175066E-221/1.8598093022957605E-88/7.077293994445374E-5/1.0832628018175066E-221/","0/1/","no"
"2","172061100","2147483647/2147483647/3439/51/191147/191147/16420/","0.0/0.0/5.05876075376676E-29/1.0/0.0/0.0/1.9458447503411742E-137/","3/","no"
"3","168343200","2147483647/2147483647/16420/50/576679/576679/59379/","0.0/0.0/3.9809515048899197E-140/1.0/0.0/0.0/0.0/","3/","no"
"4","158544100","4496716/747002/600/600/600/600/600/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/7/8/9/","no"
"5","153738800","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/7/8/9/","no"
"6","164129800","4496716/31331541/50/51/50/50/50/","0.0/0.0/0.20077970226091346/0.19688119095634607/0.20077970226091346/0.20077970226091346/0.20077970226091346/","2/3/4/5/6/7/8/9/","no"
"7","151779000","1775085/12631480/229/229/229/229/229/","0.0/0.0/0.2/0.2/0.2/0.2/0.2/","2/3/4/5/6/7/8/9/","no"
"8","165216800","340908187/2147483647/34028/34487/1846/34487/1846/","0.0/0.0/1.3547308911399774E-8/1.0566375368623008E-8/0.4999999826599701/1.0566375368623008E-8/0.4999999826599701/","4/6/7/8/9/","no"
