"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","90065400","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","90218700","502/50/","1.4154587988890748E-4/0.9998584541201111/","1/2/3/4/","no"
"2","84260801","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","85432900","40251/15809/","0.17566712487808364/0.8243328751219164/","1/2/3/4/","no"
"4","80590899","15712/15712/","0.5/0.5/","0/1/2/3/4/","no"
"0","85670301","50/60/","0.5488631556012363/0.4511368443987638/","0/1/2/3/4/","no"
"1","83941100","348/348/","0.5/0.5/","0/1/2/3/4/","no"
"2","82395399","15809/15712/","0.49845669681227234/0.5015433031877277/","0/1/2/3/4/","no"
"3","79525500","40251/15809/","0.17566712487808364/0.8243328751219164/","1/2/3/4/","no"
"4","84326101","8282/3041/","0.15150061385595487/0.8484993861440451/","1/2/3/4/","no"
"0","86656600","51/68/","0.5810105262638605/0.41898947373613943/","0/","no"
"1","85136100","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","83080899","15712/5922/","0.16072027680654238/0.8392797231934577/","1/2/3/4/","no"
"3","82599001","1468/502/","0.12780836877448745/0.8721916312255126/","1/2/3/4/","no"
"4","79901400","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"0","82325101","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","83705500","51/50/","0.4950981962633707/0.5049018037366292/","0/1/2/3/4/","no"
"2","82314900","15712/15712/","0.5/0.5/","0/1/2/3/4/","no"
"3","86959200","502/508/","0.502982071996669/0.49701792800333106/","0/1/2/3/4/","no"
"4","81628100","15712/15712/","0.5/0.5/","0/1/2/3/4/","no"
"0","85125901","90/157/","0.6761782985279606/0.32382170147203937/","0/","no"
"1","84938400","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","86631699","5961/691/","4.924589177184026E-4/0.9995075410822817/","1/2/3/4/","no"
"3","86525200","691/201/","0.08123064240779503/0.918769357592205/","1/2/3/4/","no"
"4","83795201","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/2/3/4/","no"
"0","83774200","97/50/","0.28463838348688203/0.7153616165131179/","1/2/3/4/","no"
"1","84783100","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","82475500","15712/15712/","0.5/0.5/","0/1/2/3/4/","no"
"3","86147701","502/157/","0.1012379796714515/0.8987620203285486/","1/2/3/4/","no"
"4","82964900","15712/15712/","0.5/0.5/","0/1/2/3/4/","no"
"0","85261099","160/203/","0.566376092316012/0.43362390768398795/","0/","no"
"1","84672400","50/157/","0.8907124548274352/0.10928754517256477/","0/","no"
"2","81367300","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","86200100","15712/2111/","0.0015940732129411997/0.9984059267870588/","1/2/3/4/","no"
"4","88747399","5961/2111/","0.13908426401107077/0.8609157359889292/","1/2/3/4/","no"
"0","84189599","50/148/","0.8723132539256138/0.12768674607438618/","0/","no"
"1","87048200","69/157/","0.778533874465742/0.2214661255342581/","0/","no"
"2","84703801","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/2/3/4/","no"
"3","83802499","40251/15809/","0.17566712487808364/0.8243328751219164/","1/2/3/4/","no"
"4","83637600","8282/8282/","0.5/0.5/","0/1/2/3/4/","no"
"0","82433700","50/157/","0.8907124548274352/0.10928754517256477/","0/","no"
"1","83873800","60/50/","0.4511368443987638/0.5488631556012363/","0/1/2/3/4/","no"
"2","81348301","10317/10317/","0.5/0.5/","0/1/2/3/4/","no"
"3","85760100","5922/2127/","0.1438881635737229/0.8561118364262771/","1/2/3/4/","no"
"4","86631700","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/2/3/4/","no"
"0","84070899","157/203/","0.5722750149653729/0.42772498503462714/","0/","yes"
"1","89121399","157/157/","0.5/0.5/","0/1/2/3/4/","yes"
"2","81473000","40251/15712/","0.17340277134489332/0.8265972286551067/","1/2/3/4/","yes"
"3","95892400","812/201/65/","1.0777110535703197E-5/0.11298385911119896/0.8870053637782653/","2/","yes"
"4","98146501","10317/4028/160/157/","5.974328189372437E-29/1.1557360908016064E-11/0.49525330715651933/0.5047466928319234/","2/3/","yes"
