"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","109835300","768/852/180039/180039/7671210/","0.5272810718307049/0.4727189281692951/3.0084388354932096E-102/3.0084388354932096E-102/0.0/","0/1/","no"
"1","103502200","1184063/51/187208/395/187208/","0.0/0.998662192659616/0.0/0.001337807340384016/0.0/","1/","no"
"2","113255500","743739/682183/1033/11916807/1890933/","1.129998522896E-312/8.080905186739358E-287/1.0/0.0/0.0/","2/","no"
"3","112677200","186964/1184063/22128/24553/186964/","3.0679310797187436E-4/8.283205034783474E-24/0.5270452073374424/0.47234120644661387/3.0679310797187436E-4/","2/3/","no"
"4","102376201","187208/187208/19280164/187208/511/","4.342506261542725E-159/4.342506261542725E-159/0.0/4.342506261542725E-159/1.0/","4/5/6/7/","no"
"5","106992700","15715/45221/76174004/45221/269066/","0.765720473546548/0.11713972503561434/0.0/0.11713972503561434/7.638222323372515E-8/","0/","no"
"6","108988901","6467/6467/278324/6467/106872/","0.3333333131935829/0.3333333131935829/1.857865691181923E-19/0.3333333131935829/6.041925139983415E-8/","0/1/3/","no"
"7","104802001","56786/56786/2364241/56786/2185/","1.4202762478495464E-11/1.4202762478495464E-11/0.0/1.4202762478495464E-11/0.9999999999573916/","4/5/6/7/","no"
"0","100910700","768/852/7671210/7671210/177342/","0.5272810718307049/0.4727189281692951/0.0/0.0/1.003409042173368E-100/","0/1/","no"
"1","110593500","63038/511/7671210/7671210/7671210/","9.175603301203752E-54/1.0/0.0/0.0/0.0/","1/","no"
"2","108052400","15731/102008/869/98715/76174004/","3.8111160972515427E-8/3.2547503217605635E-51/0.9999999618888391/1.433333502321926E-49/0.0/","2/","no"
"3","109877401","180039/24592/50/22128/1687/","0.0/1.0249031919436505E-209/0.9999999999999885/9.841634367802492E-189/1.1481501548252955E-14/","2/","no"
"4","115193900","7671210/19280164/3030195/180039/9465/","0.0/0.0/2.574506678199195E-139/1.493364245928816E-8/0.9999999850663576/","4/5/6/7/","no"
"5","105357001","15715/45221/76174004/45221/669/","1.7667372993472228E-10/1.3223960871118218E-29/0.0/1.3223960871118218E-29/0.9999999998233263/","4/5/6/7/","no"
"6","105125501","711063/711063/711063/711063/1678/","3.225829628443103E-184/3.225829628443103E-184/3.225829628443103E-184/3.225829628443103E-184/1.0/","4/5/6/7/","no"
"7","106855700","56786/56786/2364241/56786/935/","1.218158902953669E-26/1.218158902953669E-26/0.0/1.218158902953669E-26/1.0/","4/5/6/7/","no"
"0","105331900","50/294/11124/11124/11124/","0.9917094488998592/0.008290551100140825/4.953051362946206E-95/4.953051362946206E-95/4.953051362946206E-95/","0/","no"
"1","104961000","63038/511/7671210/1122/7671210/","7.040819799502742E-54/0.7673413473072722/0.0/0.23265865269272776/0.0/","1/","no"
"2","108171200","583333/854/76575/76575/24385354/","1.354184221054539E-296/1.0/3.449556000839887E-39/3.449556000839887E-39/0.0/","1/","no"
"3","105434300","186964/24553/50/22128/7671210/","0.0/2.2018634918980506E-209/1.0/9.841634367802605E-189/0.0/","2/","no"
"4","107309399","4323/4323/19280164/4323/50/","4.101425988398207E-37/4.101425988398207E-37/0.0/4.101425988398207E-37/1.0/","4/5/6/7/","no"
"5","110327900","9658374/235222/600646/600646/1446/","0.0/6.851405644379556E-71/1.443661606440806E-180/1.443661606440806E-180/1.0/","4/5/6/7/","no"
"6","103684200","395/4494307/395/395/711063/","0.3333333333333333/0.0/0.3333333333333333/0.3333333333333333/0.0/","0/2/3/","no"
"7","103618900","930399/22140/22140/22140/699/","0.0/4.983793270117345E-14/4.983793270117345E-14/4.983793270117345E-14/0.9999999999998506/","4/5/6/7/","no"
"0","109519400","7387/514/1689/1689/48259941/","1.3284601120893726E-6/0.8303906477238253/0.08480401190803129/0.08480401190803129/0.0/","1/","no"
"1","104907601","656/511/7671210/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/","1/","no"
"2","105826100","76174004/11916807/253666/253666/1884392/","5.224433917072862E-131/5.377246007641012E-21/0.4995966518784632/0.4995966518784632/8.066962430736283E-4/","2/3/","no"
"3","106208100","3050363/10111/1184063/511/186964/","0.0/7.194132978569833E-9/0.0/0.999999992805867/6.993730842613583E-159/","3/","no"
"4","108386600","476308/476308/7671210/72789/8436/","8.242948014045512E-25/8.242948014045512E-25/0.0/4.8665213533159295E-4/0.9995133478646684/","4/5/6/7/","no"
"5","106404501","720682/17025/1077/1077/42796/","6.184269814445298E-291/1.8792733810564745E-7/0.4999999060363309/0.4999999060363309/7.791343018346521E-18/","2/3/","no"
"6","101846900","294/4494307/5810/16776/1861/","0.9950914832678184/0.0/7.53862759695064E-9/5.4114673273708225E-25/0.004908509193554144/","0/","no"
"7","106658400","936940/1297/1284/1297/145479/","1.9949724E-317/0.33220736313398364/0.3355852737320327/0.33220736313398364/6.192678343167206E-50/","1/2/3/","no"
"0","106758901","22128/24385/1687/1687/1687/","1.8354667253701396E-6/4.820118825509352E-7/0.33333256084046403/0.33333256084046403/0.33333256084046403/","2/3/4/5/6/7/","no"
"1","103934499","63038/511/7671210/7671210/7671210/","9.175603301203752E-54/1.0/0.0/0.0/0.0/","1/","no"
"2","107074900","1890933/268822/1254/253666/76174004/","0.0/2.5569624804916433E-93/1.0/4.492406746581958E-88/0.0/","2/","no"
"3","116195701","186964/24553/50/22128/7671210/","0.0/2.2018634918980506E-209/1.0/9.841634367802605E-189/0.0/","2/","no"
"4","104029200","4317/4323/4323/4323/79/","9.845773057446038E-24/9.134351821914761E-24/9.134351821914761E-24/9.134351821914761E-24/1.0/","4/5/6/7/","no"
"5","104251301","225755/600646/24385354/600646/24385354/","0.724612017981432/0.137693991009284/2.4180467173652265E-47/0.137693991009284/2.4180467173652265E-47/","0/","no"
"6","104600601","711063/1793938/278324/711063/106872/","0.0029019788036340533/1.1541681503844607E-7/0.16641563860497208/0.0029019788036340533/0.8277802883709449/","4/5/6/7/","no"
