"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104574599","60/6039/137/6023/899/50/899/","0.4102436587541909/4.993448293487499E-52/0.09064468933947793/6.833603970150278E-52/2.940843207894069E-8/0.49911159308946695/2.940843207894069E-8/","0/5/7/8/9/","no"
"1","106328500","4706/128/4773/705/4773/4706/4773/","3.8253100376356736E-16/0.9887142915465208/2.2756362294995387E-16/0.011285708453477431/2.2756362294995387E-16/3.8253100376356736E-16/2.2756362294995387E-16/","1/","no"
"2","109289801","210/395/50/394/301/210/301/","0.03932355606520085/0.0010453719445536855/0.9060356302396374/0.0010660717093383457/0.006602906988034385/0.03932355606520085/0.006602906988034385/","2/","no"
"3","107289701","291/213/2433/93/621/281/621/","0.07884386261487188/0.18077564069513644/1.0009165953862494E-11/0.6479752187125405/0.002355684106337172/0.08769390975476775/0.002355684106337172/","3/","no"
"4","102676700","355/395/305/193/50/355/50/","0.0012191034789980056/5.564388540844426E-4/0.0032495219466716673/0.02921219688385451/0.48227181767869665/0.0012191034789980056/0.48227181767869665/","4/6/8/","no"
"5","105092701","50/6180/128/6180/891/50/891/","0.45112852170187795/2.8431951930965925E-53/0.09774289440501809/2.8431951930965925E-53/3.1095613025232524E-8/0.45112852170187795/3.1095613025232524E-8/","0/5/7/8/9/","no"
"6","103867000","364/395/311/200/50/364/50/","0.0010265020380883182/5.589550646460098E-4/0.002901920122854788/0.02558082935048404/0.4844526456929193/0.0010265020380883182/0.4844526456929193/","4/6/8/","no"
"7","107249500","483/109/716/1626/716/483/716/","0.030935922125570874/0.9269670656290884/0.0037200466883748427/9.500546450843182E-7/0.0037200466883748427/0.030935922125570874/0.0037200466883748427/","1/","no"
"8","103685001","767/6180/891/109/128/778/128/","9.389488823741024E-4/3.993974686757402E-25/3.041400579007076E-4/0.3719739936164844/0.3129666606804228/8.495960823951329E-4/0.3129666606804228/","3/4/6/8/","no"
"9","105147900","207/395/50/391/305/207/305/","0.04154682462416838/0.0010413798218480055/0.9025756125583908/0.0011263450912534206/0.006081506640085536/0.04154682462416838/0.006081506640085536/","2/","no"
