"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111747701","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","107873501","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","118056901","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","102988699","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","106718399","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","113614901","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","107790100","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","107254900","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","112206600","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","106795701","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","106802200","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","105809799","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","107787200","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","109470400","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","101910999","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","106009200","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","108265800","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","107537399","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","109295300","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","106653000","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","104825700","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","106238000","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","107659401","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","105356499","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","109763501","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","107657000","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","105472800","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","106493600","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","108441800","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","111747200","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
