"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96735800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"1","98354201","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","92828800","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","94715099","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"4","89954600","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","93566400","691/79/5922/","4.758176188383357E-4/0.9995241823811617/1.9055049612076375E-32/","1/3/5/","no"
"0","92419400","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"1","88577600","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"2","93751300","2111/2111/5922/","0.46198662742954716/0.46198662742954716/0.07602674514090568/","0/1/3/4/5/","no"
"3","89335001","691/79/5922/","4.758176188383357E-4/0.9995241823811617/1.9055049612076375E-32/","1/3/5/","no"
"4","90913500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","93372801","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"0","88258400","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"1","88645299","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"2","90031000","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","90951700","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"4","87353000","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/3/4/","no"
"5","89325499","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"0","89550001","140/2111/2111/","0.9999983011821353/8.494089323310916E-7/8.494089323310916E-7/","0/3/4/","no"
"1","93912200","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"2","91651100","79/2111/50/","0.36155359365622713/1.796875681302703E-18/0.6384464063437728/","2/","no"
"3","88818499","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"4","88930899","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/3/4/","no"
"5","88743100","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"0","91535900","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"1","89639800","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","94053100","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","87614100","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"4","89102100","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"5","89805000","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"0","90420800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"1","89758700","2111/50/140/","2.4029722069526365E-18/0.8537980596190329/0.1462019403809671/","1/3/5/","no"
"2","91435400","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","91246700","2111/50/5922/","2.8144503022469383E-18/1.0/9.920316645886167E-51/","1/3/5/","no"
"4","92264600","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","89394799","691/691/140/","0.019308983398609984/0.019308983398609984/0.96138203320278/","2/","no"
"0","88052499","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"1","88627600","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","90010899","5922/198/691/","2.971788482779686E-13/0.9225412772188718/0.07745872278083099/","1/3/5/","no"
"3","89898600","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"4","91654500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","89403799","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"0","96548400","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"1","91430301","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","88941100","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","90402000","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"4","92855800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","89854999","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"0","91094800","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"1","90119600","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"2","93821101","691/272/5922/","0.17729268723024227/0.8227073119242853/8.454725001275671E-10/","1/3/5/","no"
"3","90362100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"4","88557100","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"5","90763801","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"0","93521700","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","yes"
"1","95855900","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","yes"
"2","100686501","272/2111/691/","0.8219046286046497/9.756616999742153E-4/0.17711970969537608/","0/3/4/","yes"
"3","93482100","50/2111/2111/","1.0/2.8144503022469383E-18/2.8144503022469383E-18/","0/3/4/","yes"
"4","98207600","50/2111/2111/50/","0.5/1.4072251511234692E-18/1.4072251511234692E-18/0.5/","0/3/4/","yes"
"5","100073001","79/691/2111/50/2111/","0.3615527904804217/2.2214571216500936E-6/1.796871689620424E-18/0.6384449880624566/1.796871689620424E-18/","3/","yes"
