"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","116234201","1261/2147483647/181867042/","1.0/0.0/0.0/","0/","no"
"1","114360299","5592204/388/17607/","0.0/1.0/5.971035535398602E-20/","1/","no"
"2","117338100","14449899/115228/3941/","0.0/5.48767816304731E-13/0.9999999999994512/","2/3/4/5/","no"
"3","107687500","98715/11916807/98715/","0.5/5.082291989471985E-53/0.5/","0/2/3/4/5/","no"
"4","109875700","453/1286209/156530707/","1.0/0.0/0.0/","0/","no"
"5","113077000","302339/5635880/302339/","0.499999994547358/1.0905283983239918E-8/0.499999994547358/","0/2/3/4/5/","no"
"0","105615100","355/11662666/181867042/","1.0/0.0/0.0/","0/","no"
"1","115973599","11945988/50/39045/","0.0/1.0/0.0/","1/","no"
"2","113769101","14449899/115228/968/","0.0/6.165986615107377E-52/1.0/","2/3/4/5/","no"
"3","112493700","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/3/4/5/","no"
"4","109129900","50/1286209/156530707/","1.0/0.0/0.0/","0/","no"
"5","114514400","2155485/36824800/2155485/","0.4999999741386498/5.172270033936153E-8/0.4999999741386498/","0/2/3/4/5/","no"
"0","106426100","1261/2147483647/181867042/","1.0/0.0/0.0/","0/","no"
"1","111208501","5099228/65/16286/","0.0/1.0/1.8291981064750756E-107/","1/","no"
"2","113296000","14449899/36824800/138589/","1.422866926170985E-45/1.0907982474422368E-115/1.0/","2/3/4/5/","no"
"3","111657999","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/3/4/5/","no"
"4","107325600","64/167876/23862523/","1.0/0.0/0.0/","0/","no"
"5","111331000","92159/1804279/92159/","0.49999999786326177/4.273476565330563E-9/0.49999999786326177/","0/2/3/4/5/","no"
"0","107604001","112/717842/3123/","0.9999999999973221/0.0/2.67782103401332E-12/","0/","no"
"1","112657100","1872973/390/6176/","0.0/0.9999996256049594/3.743950406381526E-7/","1/","no"
"2","112986399","14449899/138589/814132/","1.4120790910386177E-45/0.9924182402908205/0.007581759709179534/","1/","no"
"3","111851200","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/3/4/5/","no"
