"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99249601","89/3989/1468/","0.9999997783624492/1.5155572784959572E-19/2.2163755068927952E-7/","0/","no"
"1","100221299","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","96897200","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","94368300","61/231/565/","0.9391961180737655/0.060526956753058456/2.769251731760762E-4/","0/","no"
"4","91800300","1535/565/502/","0.06379495075477769/0.43882621491548846/0.4973788343297339/","1/2/3/4/5/","no"
"5","93088099","133/812/272/","0.7349127197532145/0.004630142126161283/0.2604571381206242/","0/","no"
"0","94486799","79/214/1468/","0.8438950820363558/0.15610489364997449/2.4313669777177398E-8/","0/","no"
"1","91862100","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","89882400","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","90691400","25963/1484/89/","1.3968889003832752E-125/1.855391018368328E-7/0.9999998144608981/","2/4/5/","no"
"4","91079100","1484/185/157/","1.2251013371095972E-4/0.45575594554148924/0.5441215443247998/","1/2/3/4/5/","no"
"5","95523100","104/247/2111/","0.7960690938711017/0.20393090215037463/3.978523724924813E-9/","0/","no"
"0","92129900","79/168/1468/","0.75259487856231/0.247405099754493/2.1683197050045873E-8/","0/","no"
"1","90200899","60/50/348/","0.45041997596967065/0.5479909974677827/0.0015890265625467142/","0/1/3/","no"
"2","90488701","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","91858400","25963/1484/89/","1.3968889003832752E-125/1.855391018368328E-7/0.9999998144608981/","2/4/5/","no"
"4","92271700","15712/780/247/","7.413056701727469E-28/0.1044066070230275/0.8955933929769725/","2/4/5/","no"
"5","91759800","185/69/502/","0.15986950105289888/0.8384045337381052/0.0017259652089960166/","1/3/","no"
"0","94313599","50/83/1468/","0.6563473695418198/0.3436526304576279/5.521334215822746E-13/","0/","no"
"1","93598601","54/348/348/","0.9905505781176954/0.00472471094115231/0.00472471094115231/","0/","no"
"2","90722401","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","88770300","90/160/1468/","0.6833543463558354/0.31664547243228547/1.8121187900146558E-7/","0/","no"
"4","92068500","231/98/83/","0.0855089280557935/0.4165281829773088/0.49796288896689767/","1/2/3/4/5/","no"
"5","91000801","151/299/2268/","0.7258527587365718/0.2741465923974687/6.488659595910359E-7/","0/","no"
"0","92599101","79/214/1468/","0.8438950820363558/0.15610489364997449/2.4313669777177398E-8/","0/","no"
"1","91703300","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","97235400","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","90955300","90/160/1468/","0.6833543463558354/0.31664547243228547/1.8121187900146558E-7/","0/","no"
"4","92085099","150/15712/2268/","0.9999991902099951/1.7449496928650153E-45/8.097900049698268E-7/","0/","no"
"5","92519200","25963/1484/60/","3.8148370144515104E-185/7.273035394921734E-11/0.9999999999272696/","2/4/5/","no"
"0","93712401","54/193/535/","0.9258952754275283/0.07395733755953003/1.4738701294180818E-4/","0/","no"
"1","94184401","508/502/113/","0.029387825568031586/0.03097598017879915/0.9396361942531692/","2/4/5/","no"
"2","92252000","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","91486801","61/206/502/","0.9113555954487413/0.08790208099366728/7.423235575913979E-4/","0/","no"
"4","93683800","15712/780/247/","7.413056701727469E-28/0.1044066070230275/0.8955933929769725/","2/4/5/","no"
"5","90941899","133/274/5922/","0.7412045795810455/0.2587954204189546/1.2816465565741886E-19/","0/","no"
"0","93334400","83/565/1484/","0.9967893866670259/0.003210556422543972/5.691043009039381E-8/","0/","no"
"1","93413600","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","92907801","61/80/157/","0.513177179293561/0.37772618369833516/0.1090966370081039/","0/","no"
"3","89763500","69/113/1468/","0.6521654665447161/0.3478345320917299/1.3635540798272651E-9/","0/","no"
"4","90917700","529/1468/502/","0.4525373222455208/0.06997031180871288/0.4774923659457664/","0/2/4/5/","no"
"5","92597901","104/247/2178/","0.7960690953650674/0.20393090253308738/2.1018451270418075E-9/","0/","no"
"0","92860201","50/148/348/","0.8701123274939092/0.1273645806903928/0.0025230918156980394/","0/","no"
"1","92694900","508/502/113/","0.029387825568031586/0.03097598017879915/0.9396361942531692/","2/4/5/","no"
"2","91107200","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","92348999","25963/1484/182/","6.551418915964657E-62/8.123601443166461E-4/0.9991876398556834/","2/4/5/","no"
"4","92221200","565/1468/79/","0.0022943698810747055/2.874514266407028E-8/0.9977056013737826/","2/4/5/","no"
"5","91680200","112/226/2111/","0.7327949342991419/0.26720505048845655/1.521240132382426E-8/","0/","no"
"0","93540200","50/214/1484/","0.9614203309940241/0.03857966900538495/5.909821179191142E-13/","0/","no"
"1","94838299","54/134/354/","0.8078958574189221/0.18864891713802712/0.0034552254430508435/","0/","no"
"2","92343100","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/4/5/","no"
"3","92202299","25963/1484/60/","3.8148370144515104E-185/7.273035394921734E-11/0.9999999999272696/","2/4/5/","no"
"4","95854100","3989/529/502/","5.006643244683382E-4/0.4863401230044942/0.5131592126710374/","1/2/3/4/5/","no"
"5","90876000","69/185/502/","0.8384045337381052/0.15986950105289888/0.0017259652089960166/","0/","no"
"0","92612899","54/592/529/","0.9997660544133969/5.64558210060515E-5/1.7748976559696448E-4/","0/","yes"
"1","99006399","83/168/1484/","0.7333927180115107/0.26660724011635906/4.1872130226784126E-8/","0/","yes"
"2","91285700","241/113/50/","0.0179805430254133/0.22120594641012364/0.760813510564463/","2/4/5/","yes"
"3","93987701","51/571/3989/","0.9999546021312976/4.5397868702434354E-5/1.289808089058837E-33/","0/","yes"
"4","96498800","61/80/529/72/","0.38849893602324675/0.2859562474639565/2.047231571100284E-4/0.32534009335568664/","0/3/","yes"
"5","104401200","116/285/2178/282/282/","0.5814345800930142/0.13714709269935552/1.2898066258288665E-8/0.14070915715478202/0.14070915715478202/","0/","yes"
