(at obj11 pos21), (at obj23 pos11), (at obj66 pos22)
(at obj12 pos23), (at obj21 pos13), (at obj44 pos21)
(at obj13 pos21), (at obj22 pos23), (at obj55 pos13)
(at obj11 pos23), (at obj21 pos12), (at obj66 pos22)
(at obj12 pos22), (at obj22 pos12), (at obj44 pos21)
(at obj13 pos22), (at obj23 pos12), (at obj55 pos21)
(at obj11 pos23), (at obj22 pos13), (at obj66 pos22)
(at obj12 pos22), (at obj21 pos13), (at obj44 pos21)
(at obj13 pos22), (at obj23 pos23), (at obj55 pos11)
(at obj11 pos23), (at obj21 pos12), (at obj66 pos13)
(at obj66 pos22), (at obj22 pos13), (at obj44 pos21)
(at obj44 pos21), (at obj23 pos13), (at obj55 pos22)
